,survey_id,school_number,school_sliders,school_poppers,school_dimpling
1,DE426,1,0,0,10
2,DE426,2,0,1,0
3,DE426,3,0,1,1
4,DE426,4,0,0,10
5,DE426,5,0,1,10
6,DE426,6,0,1,0
7,DE428,1,0,1,10
8,DE440,1,1,1,1
9,DE440,2,0,0,10
10,DE440,3,0,0,10
11,DE440,4,0,0,1
12,DE440,5,0,0,10
13,DE440,6,0,1,0
14,DE440,7,0,0,10
15,DE440,8,0,0,1
16,DE440,9,0,0,1
17,DE440,10,0,0,1
18,DE440,11,0,0,1
19,DE440,12,0,0,10
20,DE440,13,0,1,10
21,DE440,14,0,0,1
22,DE440,15,0,0,10
23,DE440,16,0,0,10
24,DE440,17,0,0,10
25,DE440,18,0,0,10
26,DE440,19,0,0,1
27,DE403,1,0,0,1
28,DE403,2,0,0,1
29,DE403,3,0,0,1
30,DE403,4,0,0,10
31,DE403,5,0,0,1
32,DE403,6,0,1,0
33,DE403,7,0,0,1
34,DE403,8,0,1,0
35,DE403,9,0,0,1
36,DE403,10,0,1,0
37,DE403,11,0,0,1
38,DE403,12,0,0,10
39,DE403,13,0,0,10
40,DE403,14,0,1,1
41,DE403,15,0,1,0
42,DE403,16,0,0,1
43,DE415,1,0,1,0
44,DE427,1,0,1,0
45,DE365,1,1,0,0
46,DE365,2,1,0,0
47,JE326,1,0,0,10
48,JE326,2,0,0,10
49,JE326,3,0,0,10
50,JE326,4,0,0,1
51,JE326,5,0,0,1
52,JE326,6,0,1,1
53,JE326,7,0,1,0
54,JE326,8,0,1,0
55,JE326,9,0,1,0
56,JE326,10,0,1,1
57,JE326,11,0,1,1
58,JE326,12,0,1,1
59,JE326,13,0,0,1
60,JE326,14,0,0,10
61,JE326,15,0,0,1
62,JE326,16,0,0,10
63,JE326,17,0,0,1
64,JE326,18,0,1,0
65,JE326,19,0,1,0
66,JE326,20,0,0,1
67,JE326,21,0,0,1
68,JE326,22,0,0,1
69,JE326,23,0,0,1
70,JE326,24,0,1,1
71,JE326,25,0,0,1
72,JE326,26,0,0,1
73,JE326,27,0,0,10
74,JE326,28,0,0,1
75,JE326,29,0,0,10
76,JE326,30,0,1,0
77,JE326,31,0,1,1
78,JE326,32,0,1,0
79,JE326,33,0,0,10
80,JE327,1,0,1,0
81,JE327,2,0,1,0
82,JE327,3,0,1,0
83,JE327,4,0,1,0
84,JE327,5,0,0,1
85,JE327,6,0,1,10
86,JE327,7,0,1,0
87,JE327,8,0,1,0
88,JE327,9,0,1,0
89,DE439,1,0,1,0
90,DE439,2,0,1,0
91,DE405,1,1,0,0
92,DE429,1,1,1,10
93,DE429,2,0,1,0
94,DE429,3,1,1,0
95,DE429,4,0,1,0
96,DE367,1,0,0,10
97,DE367,2,0,0,10
98,DE367,3,0,0,1
99,DE367,4,1,0,0
100,DE367,5,0,0,10
101,DE367,6,0,0,10
102,DE367,7,1,0,100
103,DE367,8,0,1,100
104,DE367,9,0,0,10
105,DE367,10,0,0,100
106,DE367,11,0,0,10
107,DE441,1,0,1,0
108,DE424,1,1,0,0
109,DE412,1,0,1,0
110,DE412,2,1,0,0
111,DE412,3,0,0,1
112,DE436,1,1,0,1
113,DE436,2,1,0,0
114,DE436,3,1,0,0
115,DE436,4,1,0,0
116,DE436,5,1,0,0
117,DE436,6,10,0,0
118,DE436,7,1,0,1
119,DE436,8,1,0,0
120,DE436,9,1,0,0
121,DE436,10,1,0,0
122,DE436,11,1,0,0
123,DE436,12,1,0,0
124,DE436,13,1,0,0
125,DE436,14,0,1,0
126,DE436,15,0,1,0
127,DE369,1,1,0,0
128,DE369,2,1,0,0
129,DE369,3,0,0,1
130,DE369,4,1,0,0
131,DE369,5,1,0,0
132,DE369,6,0,1,0
133,DE369,7,0,1,0
134,JE328,1,0,0,1
135,JE328,2,0,1,0
136,JE328,3,0,1,0
137,JE328,4,0,1,0
138,JE328,5,0,1,0
139,JE328,6,0,1,0
140,JE332,1,0,0,10
141,JE332,2,0,0,10
142,JE332,3,0,1,10
143,JE332,4,0,0,10
144,JE332,5,0,0,1
145,JE332,6,0,0,10
146,JE332,7,0,0,10
147,JE332,8,0,0,1
148,JE332,9,0,0,10
149,JE333,1,0,0,1
150,JE333,2,0,0,10
151,JE333,3,0,0,0
152,JE333,4,0,0,10
153,JE333,5,0,0,100
154,JE333,6,0,0,10
155,JE333,7,0,0,10
156,DE422,1,0,1,0
157,DE422,2,0,1,0
158,DE422,3,0,0,1
159,DE422,4,1,0,0
160,DE370,1,0,1,0
161,DE370,2,0,0,100
162,DE370,3,0,0,100
163,DE370,4,0,1,0
164,DE370,5,1,1,0
165,DE370,6,1,1,0
166,DE370,7,1,0,0
167,DE370,8,0,0,1
168,DE370,9,0,1,0
169,DE370,10,0,0,10
170,DE370,11,1,0,0
171,DE370,12,0,0,1
172,DE370,13,1,0,0
173,DE370,14,0,0,10
174,DE370,15,1,0,0
175,DE370,16,0,0,1
176,JE304,1,1,0,0
177,JE304,2,0,1,100
178,JE304,3,10,0,100
179,JE304,4,1,0,10
180,JE304,5,0,0,10
181,JE304,6,10,0,10
182,JE304,7,0,0,100
183,JE304,8,10,0,0
184,JE304,9,1,1,10
185,JE304,10,0,1,0
186,JE304,11,0,1,0
187,JE304,12,10,0,100
188,JE304,13,10,0,100
189,JE304,14,0,0,10
190,JE304,15,1,1,10
