ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,qc_log
U49,2015-05-23-J09-SO-22,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U50,2015-05-23-J09-SO-26,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U28,2015-05-23-J10-SO-19,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U29,2015-05-23-J10-SO-28,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U30,2015-05-23-J10-SO-23,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U61,2015-05-23-J09-SO-17,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U62,2015-05-23-J09-SO-23,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U19,2015-05-23-J10-SO-17,JE109N3,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U53,2015-05-23-J09-SO-19,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U54,2015-05-23-J09-SO-28,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U71,2015-05-23-J09-SO-24,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U72,2015-05-23-J09-SO-20,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U73,2015-05-23-J09-SO-27,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U63,2015-05-23-J09-SO-29,JE108N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U101,2015-05-23-J03-SO-23,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U102,2015-05-23-J03-SO-21,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U103,2015-05-22-J08-SO-13,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U20,2015-05-23-J03-SO-27,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U55,2015-05-22-J08-SO-7,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U56,2015-05-22-J08-SO-8,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U57,2015-05-23-J03-SO-20,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U58,2015-05-22-J08-SO-26,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U60,2015-05-23-J03-SO-25,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U64,2015-05-22-J08-SO-3,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U65,2015-05-22-J08-SO-4,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U66,2015-05-22-J08-SO-2,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U74,2015-05-22-J08-SO-6,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U75,2015-05-22-J08-SO-1,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U59,2015-05-22-J08-SO-9,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U68,2015-05-22-J08-SO-5,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U69,2015-05-23-J03-SO-19,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U70,2015-05-22-J08-SO-27,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U76,2015-05-23-J03-SO-29,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U77,2015-05-22-J08-SO-10,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U78,2015-05-23-J03-SO-17,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U79,2015-05-22-J08-SO-30,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U80,2015-05-22-J08-SO-11,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U81,2015-05-23-J03-SO-16,JE107N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U91,2015-05-22-J08-SO-28,JE105N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
