seine_id,jsp_survey_id,gather_long,gather_lat,set_time,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
DE100N2,DE100,NA,NA,NA,2,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
DE100N1,DE100,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,1: No sockeye in set; did not enumerate
DE100N3,DE100,-124.747,49.9613,11:40:00,3,targeted,40,NA,NA,NA,yes,30,NA,0,0,10,NA,1,NA,2,NA,NA,NA,1,SEMSP,NA
DE101N1,DE101,-124.8509,50.07902,9:49:00,1,targeted,NA,NA,NA,NA,yes,30,400,0,0,10,40,0,0,0,0,NA,NA,1,SEMSP,NA
DE102N1,DE102,-125.1395,49.99932,7:38:00,1,targeted,NA,NA,NA,NA,yes,30,300,0,0,0,0,0,0,7,10,NA,NA,1,SEMSP,NA
DE103N1,DE103,-124.8842,50.16142,7:50:00,1,targeted,NA,NA,NA,NA,yes,30,200,1,1,5,6,0,0,0,0,NA,NA,1,SEMSP,NA
DE104N1,DE104,-124.8511,50.08007,10:21:00,1,targeted,NA,NA,NA,NA,yes,30,300,0,0,10,10,0,0,1,1,NA,NA,1,SEMSP,NA
DE105N1,DE105,-125.07512,50.11842,13:28:00,1,targeted,NA,NA,NA,NA,yes,30,40,0,0,10,20,0,0,2,2,NA,NA,1,SEMSP,NA
DE106N1,DE106,-125.2468,50.08005,8:00:00,1,targeted,NA,NA,NA,NA,yes,30,600,2,2,10,1000,4,4,0,0,NA,NA,1,SEMSP,NA
DE107N1,DE107,-125.1602,50.16412,12:30:00,1,targeted,NA,NA,NA,NA,yes,30,500,1,1,10,300,1,1,10,10,NA,NA,1,SEMSP,NA
