survey_id,school_number,school_sliders,school_poppers,school_dimpling
DE426,1,0,0,10
DE426,2,0,1,0
DE426,3,0,1,1
DE426,4,0,0,10
DE426,5,0,1,10
DE426,6,0,1,0
DE428,1,0,1,10
DE440,1,1,1,1
DE440,2,0,0,10
DE440,3,0,0,10
DE440,4,0,0,1
DE440,5,0,0,10
DE440,6,0,1,0
DE440,7,0,0,10
DE440,8,0,0,1
DE440,9,0,0,1
DE440,10,0,0,1
DE440,11,0,0,1
DE440,12,0,0,10
DE440,13,0,1,10
DE440,14,0,0,1
DE440,15,0,0,10
DE440,16,0,0,10
DE440,17,0,0,10
DE440,18,0,0,10
DE440,19,0,0,1
DE403,1,0,0,1
DE403,2,0,0,1
DE403,3,0,0,1
DE403,4,0,0,10
DE403,5,0,0,1
DE403,6,0,1,0
DE403,7,0,0,1
DE403,8,0,1,0
DE403,9,0,0,1
DE403,10,0,1,0
DE403,11,0,0,1
DE403,12,0,0,10
DE403,13,0,0,10
DE403,14,0,1,1
DE403,15,0,1,0
DE403,16,0,0,1
DE415,1,0,1,0
DE427,1,0,1,0
DE365,1,1,0,0
DE365,2,1,0,0
JE326,1,0,0,10
JE326,2,0,0,10
JE326,3,0,0,10
JE326,4,0,0,1
JE326,5,0,0,1
JE326,6,0,1,1
JE326,7,0,1,0
JE326,8,0,1,0
JE326,9,0,1,0
JE326,10,0,1,1
JE326,11,0,1,1
JE326,12,0,1,1
JE326,13,0,0,1
JE326,14,0,0,10
JE326,15,0,0,1
JE326,16,0,0,10
JE326,17,0,0,1
JE326,18,0,1,0
JE326,19,0,1,0
JE326,20,0,0,1
JE326,21,0,0,1
JE326,22,0,0,1
JE326,23,0,0,1
JE326,24,0,1,1
JE326,25,0,0,1
JE326,26,0,0,1
JE326,27,0,0,10
JE326,28,0,0,1
JE326,29,0,0,10
JE326,30,0,1,0
JE326,31,0,1,1
JE326,32,0,1,0
JE326,33,0,0,10
JE327,1,0,1,0
JE327,2,0,1,0
JE327,3,0,1,0
JE327,4,0,1,0
JE327,5,0,0,1
JE327,6,0,1,10
JE327,7,0,1,0
JE327,8,0,1,0
JE327,9,0,1,0
DE439,1,0,1,0
DE439,2,0,1,0
DE405,1,1,0,0
DE429,1,1,1,10
DE429,2,0,1,0
DE429,3,1,1,0
DE429,4,0,1,0
DE367,1,0,0,10
DE367,2,0,0,10
DE367,3,0,0,1
DE367,4,1,0,0
DE367,5,0,0,10
DE367,6,0,0,10
DE367,7,1,0,100
DE367,8,0,1,100
DE367,9,0,0,10
DE367,10,0,0,100
DE367,11,0,0,10
DE441,1,0,1,0
DE424,1,1,0,0
DE412,1,0,1,0
DE412,2,1,0,0
DE412,3,0,0,1
DE436,1,1,0,1
DE436,2,1,0,0
DE436,3,1,0,0
DE436,4,1,0,0
DE436,5,1,0,0
DE436,6,10,0,0
DE436,7,1,0,1
DE436,8,1,0,0
DE436,9,1,0,0
DE436,10,1,0,0
DE436,11,1,0,0
DE436,12,1,0,0
DE436,13,1,0,0
DE436,14,0,1,0
DE436,15,0,1,0
DE369,1,1,0,0
DE369,2,1,0,0
DE369,3,0,0,1
DE369,4,1,0,0
DE369,5,1,0,0
DE369,6,0,1,0
DE369,7,0,1,0
JE328,1,0,0,1
JE328,2,0,1,0
JE328,3,0,1,0
JE328,4,0,1,0
JE328,5,0,1,0
JE328,6,0,1,0
JE332,1,0,0,10
JE332,2,0,0,10
JE332,3,0,1,10
JE332,4,0,0,10
JE332,5,0,0,1
JE332,6,0,0,10
JE332,7,0,0,10
JE332,8,0,0,1
JE332,9,0,0,10
JE333,1,0,0,1
JE333,2,0,0,10
JE333,3,0,0,0
JE333,4,0,0,10
JE333,5,0,0,100
JE333,6,0,0,10
JE333,7,0,0,10
DE422,1,0,1,0
DE422,2,0,1,0
DE422,3,0,0,1
DE422,4,1,0,0
DE370,1,0,1,0
DE370,2,0,0,100
DE370,3,0,0,100
DE370,4,0,1,0
DE370,5,1,1,0
DE370,6,1,1,0
DE370,7,1,0,0
DE370,8,0,0,1
DE370,9,0,1,0
DE370,10,0,0,10
DE370,11,1,0,0
DE370,12,0,0,1
DE370,13,1,0,0
DE370,14,0,0,10
DE370,15,1,0,0
DE370,16,0,0,1
JE304,1,1,0,0
JE304,2,0,1,100
JE304,3,10,0,100
JE304,4,1,0,10
JE304,5,0,0,10
JE304,6,10,0,10
JE304,7,0,0,100
JE304,8,10,0,0
JE304,9,1,1,10
JE304,10,0,1,0
JE304,11,0,1,0
JE304,12,10,0,100
JE304,13,10,0,100
JE304,14,0,0,10
JE304,15,1,1,10
JE304,16,0,0,1
JE304,17,10,10,0
JE304,18,10,1,10
JE304,19,1,1,0
JE304,20,1,1,1
JE304,21,10,0,1
JE304,22,0,0,1
JE304,23,0,1,0
JE304,24,0,10,0
JE304,25,0,0,10
JE305,1,1,0,0
JE305,2,1,1,100
JE305,3,1,0,0
JE305,4,1,0,0
JE334,1,0,1,0
JE334,2,0,1,0
JE334,3,0,1,0
JE334,4,0,1,0
JE334,5,0,1,0
JE334,6,0,1,0
JE334,7,0,1,0
JE334,8,0,1,0
JE334,9,0,1,0
JE334,10,0,1,0
JE334,11,0,1,0
JE334,12,0,1,0
JE334,13,0,1,0
JE334,14,0,1,0
JE334,15,0,1,0
JE334,16,0,1,0
JE334,17,0,1,0
JE334,18,0,1,0
JE334,19,0,1,0
JE334,20,0,1,0
JE334,21,0,1,0
JE334,22,0,1,0
JE334,23,0,0,1
JE336,1,0,1,0
JE336,2,0,1,0
DE371,1,0,0,1
DE371,2,0,0,1
DE371,3,1,0,0
DE371,4,1,0,0
DE371,5,10,0,100
DE371,6,0,0,1
DE371,7,1,0,1
DE371,8,0,0,1
DE371,9,0,0,1
DE371,10,0,0,1
DE371,11,1,0,0
DE371,12,0,0,10
DE371,13,1,0,0
DE371,14,10,0,0
DE371,15,1,0,10
DE371,16,0,0,1
DE371,17,1,0,0
DE371,18,1,0,1
DE371,19,0,0,1
DE371,20,0,0,1
DE371,21,0,0,1
DE371,22,1,0,0
DE371,23,10,0,0
DE371,24,10,0,1
DE371,25,10,0,0
