sample_id,tow_id
JSPK1001,2015-05-20_J05_1
JSPK1002,2015-05-21_J06_1
JSPK1003,2015-05-22_J07_1
JSPK1004,2015-05-22_J08_1
JSPK1005,2015-05-22_J04_1
JSPK1006,2015-05-23_J03_1
JSPK1007,2015-05-23_J09_1
JSPK1008,2015-05-23_J10_1
JSPK1009,2015-05-24_J02_1
JSPK1010,2015-05-24_J06_1
JSPK1011,2015-05-25_J05_1
JSPK1012,2015-05-25_J04_1
JSPK1013,2015-05-25_J08_1
JSPK1014,2015-05-26_J07_1
JSPK1015,2015-05-26_J03_1
JSPK1016,2015-05-26_J09_1
JSPK1017,2015-05-27_J10_1
JSPK1018,2015-05-27_J09_1
JSPK1019,2015-05-28_J01_1
JSPK1020,2015-05-29_J06_1
JSPK1021,2015-05-30_J05_1
JSPK1022,2015-05-30_J07_1
JSPK1023,2015-05-30_J08_1
JSPK1024,2015-05-31_J04_1
JSPK1025,2015-05-31_J03_1
JSPK1026,2015-05-31_J09_1
JSPK1027,2015-06-01_J02_1
JSPK1028,2015-06-01_J01_1
JSPK1029,2015-06-01_J10_1
JSPK1030,2015-06-02_J05_1
JSPK1031,2015-06-02_J07_1
JSPK1032,2015-06-03_J06_1
JSPK1033,2015-06-03_J08_1
JSPK1034,2015-06-03_J09_1
JSPK1035,2015-06-04_J04_1
JSPK1036,2015-06-04_J03_1
JSPK1037,2015-06-04_J02_1
JSPK1038,2015-06-05_J10_1
JSPK1039,2015-06-05_J01_1
JSPK1040,2015-06-06_J07_1
JSPK1041,2015-06-07_J06_1
JSPK1042,2015-06-07_J05_1
JSPK1043,2015-06-07_J08_1
JSPK1044,2015-06-07_J09_1
JSPK1045,2015-06-08_J04_1
JSPK1046,2015-06-08_J03_1
JSPK1047,2015-06-08_J01_1
JSPK1048,2015-06-09_J02_1
JSPK1049,2015-06-11_J05_1
JSPK1050,2015-06-11_J07_1
JSPK1051,2015-06-12_J06_1
JSPK1052,2015-06-13_J09_1
JSPK1053,2015-06-14_J06_1
JSPK1054,2015-06-14_J07_1
JSPK1055,2015-06-14_J05_1
JSPK1056,2015-06-15_J04_1
JSPK1057,2015-06-15_J08_1
JSPK1058,2015-06-15_J03_1
JSPK1059,2015-06-15_J10_1
JSPK1060,2015-06-16_J01_1
JSPK1061,2015-06-16_J02_1
JSPK1062,2015-06-16_J09_1
JSPK1063,2015-06-17_J04_1
JSPK1064,2015-06-17_J08_1
JSPK1065,2015-06-17_J03_1
JSPK1066,2015-06-18_J06_1
JSPK1067,2015-06-18_J07_1
JSPK1068,2015-06-18_J05_1
JSPK1069,2015-06-18_J01_1
JSPK1070,2015-06-19_J09_1
JSPK1071,2015-06-19_J10_1
JSPK1072,2015-06-19_J02_1
JSPK1073,2015-06-20_J04_1
JSPK1074,2015-06-20_J08_1
JSPK1075,2015-06-20_J07_1
JSPK1076,2015-06-21_J06_1
JSPK1077,2015-06-21_J05_1
JSPK1078,2015-06-21_J10_1
JSPK1079,2015-06-23_J03_1
JSPK1080,2015-06-23_J01_1
JSPK1081,2015-06-23_J02_1
JSPK1082,2015-06-23_J09_1
JSPK1083,2015-06-24_J06_1
JSPK1084,2015-06-24_J07_1
JSPK1086,2015-06-24_J05_1
JSPK1085,2015-06-24_J08_1
JSPK1087,2015-06-27_J10_1
JSPK1088,2015-06-27_J01_1
JSPK1089,2015-06-27_J09_1
JSPK1090,2015-06-28_J02_1
JSPK1091,2015-06-28_J03_1
JSPK1092,2015-06-29_J08_1
JSPK1093,2015-06-29_J07_1
JSPK1094,2015-07-01_J10_1
JSPK1095,2015-07-01_J03_1
JSPK1096,2015-07-01_J09_1
JSPK1097,2015-07-07_J09_1
JSPK1098,2016-05-26_J08_1
JSPK1099,2016-05-27_J06_1
JSPK1100,2016-05-27_J07_1
JSPK1101,2016-05-27_J10_1
JSPK1102,2016-05-27_J09_1
JSPK1103,2016-05-27_J01_1
JSPK1104,2016-05-28_J02_1
JSPK1105,2016-05-28_J03_1
JSPK1106,2016-06-01_J02_1
JSPK1107,2016-06-01_J01_1
JSPK1108,2016-06-02_J10_1
JSPK1109,2016-06-02_J09_1
JSPK1110,2016-06-02_J08_1
JSPK1111,2016-06-03_J05_1
JSPK1112,2016-06-03_J07_1
JSPK1113,2016-06-04_J06_1
JSPK1114,2016-06-04_J04_1
JSPK1115,2016-06-04_J03_1
JSPK1116,2016-06-09_J09_1
JSPK1117,2016-06-09_J10_1
JSPK1118,2016-06-09_J02_1
JSPK1119,2016-06-10_J01_1
JSPK1120,2016-06-10_J03_1
JSPK1121,2016-06-10_J04_1
JSPK1122,2016-06-10_J08_1
JSPK1123,2016-06-11_J06_1
JSPK1124,2016-06-11_J07_1
JSPK1125,2016-06-11_J05_3
JSPK1126,2016-06-17_J02_1
JSPK1127,2016-06-17_J01_1
JSPK1128,2016-06-18_J09_1
JSPK1129,2016-06-18_J10_1
JSPK1130,2016-06-18_J03_1
JSPK1131,2016-06-19_J04_1
JSPK1132,2016-06-19_J08_2
JSPK1133,2016-06-19_J05_3
JSPK1134,2016-06-19_J06_1
JSPK1135,2016-06-20_J07_1
JSPK1136,2016-06-23_J09_1
JSPK1137,2016-06-23_J10_1
JSPK1138,2016-06-23_J03_1
JSPK1139,2016-06-24_J01_1
JSPK1140,2016-06-24_J02_1
JSPK1141,2016-06-24_J04_1
JSPK1142,2016-06-24_J08_1
JSPK1143,2016-06-25_J06_1
JSPK1144,2016-06-25_J07_1
JSPK1145,2016-06-25_J05_1
JSPK1146,2016-07-04_J02_1
JSPK1147,2016-07-04_J01_1
JSPK1148,2016-07-04_J03_1
JSPK1149,2016-07-04_J10_1
JSPK1150,2016-07-04_J09_1
JSPK1151,2016-07-05_J04_1
JSPK1152,2016-07-05_J08_1
JSPK1153,2016-07-05_J05_1
JSPK1154,2016-07-05_J07_1
JSPK1155,2016-07-06_J06_2
JSPK1158,2017-06-06_J03_2
JSPK1160,2017-06-13_J09_3
JSPK1161,2017-06-14_J03_3
JSPK1163,2017-06-20_J02_3
JSPK1167,2017-06-21_J09_2
JSPK1164,2017-06-27_J09_2
JSPK1165,2017-06-28_J02_2
JSPK1168,2017-07-07_J03_2
JSPK1166,2017-07-06_J09_3
JSPK1170,2017-07-12_J03_3
JSPK1169,2017-07-12_J09_3
JSPK1156,2017-06-02_J09_2
JSPK1157,2017-06-03_J03_2
JSPK1159,2017-06-07_J09_2
JSPK1162,2017-06-20_J03_2
QPK1095,2018-05-09_D09_3
QPK1099,2018-05-10_D22_4
QPK1102,2018-05-11_D10_3
QPK1096,2018-05-14_D07_3
QPK1097,2018-05-14_D09_3
QPK1098,2018-05-15_D22_3
QPK1101,2018-05-15_D09_3
JSPK1171,2018-05-16_J03_3
JSPK1172,2018-05-17_J09_3
JSPK1173,2018-05-17_J03_3
QPK1100,2018-05-17_D10_3
QPK1105,2018-05-17_D08_3
JSPK1174,2018-05-21_J09_3
JSPK1175,2018-05-21_J11_3
JSPK1176,2018-05-22_J03_3
JSPK1177,2018-05-22_J01_3
QPK1103,2018-05-22_D09_3
QPK1104,2018-05-23_D22_3
QPK1106,2018-05-23_D27_3
QPK1107,2018-05-24_D10_2
QPK1108,2018-05-24_D08_3
QPK1109,2018-05-28_D09_3
QPK1111,2018-05-29_D27_3
JSPK1178,2018-05-30_J09_3
JSPK1179,2018-05-30_J03_3
QPK1110,2018-05-30_D10_3
JSPK1180,2018-06-03_J03_3
QPK1112,2018-06-04_D09_3
QPK1113,2018-06-05_D27_3
JSPK1181,2018-06-07_J09_3
QPK1114,2018-06-07_D10_3
QPK1115,2018-06-11_D09_3
JSPK1182,2018-06-12_J02_3
QPK1116,2018-06-12_D27_3
QPK1117,2018-06-12_D22_4
QPK1120,2018-06-13_D10_3
JSPK1183,2018-06-14_J09_3
QPK1118,2018-06-18_D09_3
QPK1119,2018-06-19_D27_3
QPK1131,2018-06-19_D22_3
JSPK1184,2018-06-20_J02_3
QPK1121,2018-06-20_D10_3
JSPK1186,2018-06-21_J09_3
JSPK1185,2018-06-23_J03_4
QPK1122,2018-06-25_D09_4
QPK1123,2018-06-26_D27_2
QPK1124,2018-06-26_D27_3
QPK1125,2018-06-27_D10_3
JSPK1187,2018-06-28_J09_3
JSPK1188,2018-06-29_J03_3
QPK1126,2018-07-03_D09_4
JSPK1189,2018-07-03_J03_3
QPK1127,2018-07-04_D27_4
JSPK1190,2018-07-04_J09_3
QPK1128,2018-07-05_D10_4
JSPK1191,2018-07-09_J03_3
JSPK1192,2018-07-09_J09_3
QPK1129,2018-07-17_D09_4
QPK1133,2018-08-01_D09_4
QPK1132,2018-08-08_D09_3
QPK1130,2018-08-15_D09_3
QPK1134,2018-08-22_D09_1
