survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,line_out_depth,collected,temperature,salinity,quality_level,quality_log,
2015-05-12,D01,NA,NA,15B102233,1,0,2015-05-12 13:40:00 PST,13.9,26.9,Technician,"1: Location: lat 49 57.681' N Lon 124 44.911' W. This sample may be no good altogether because we had errors with our flow meter. It seems it didn't turn enough times compared to when we used it the next day (only turned 700 times, whereas on Wednesday it turned a couple thousand times). The sample was still processed in the lab.2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-12,D01,NA,NA,15B102233,1,1,2015-05-12 13:40:00 PST,13.2,26.9,Technician,"1: Location: lat 49 57.681' N Lon 124 44.911' W. This sample may be no good altogether because we had errors with our flow meter. It seems it didn't turn enough times compared to when we used it the next day (only turned 700 times, whereas on Wednesday it turned a couple thousand times). The sample was still processed in the lab.2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-13,D02,NA,NA,15B102233,1,1,2015-05-13 11:49:00 PST,14.6,26.1,Technician,"1: Lat 50 4.741N Lon 124 51.057W2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-13,D02,NA,NA,15B102233,1,0,2015-05-13 11:49:00 PST,14.6,26.1,Technician,"1: Lat 50 4.741N Lon 124 51.057W2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-14,D04,NA,NA,15B102233,1,0,2015-05-04 09:38:00 PST,13.5,27.1,Technician,"1: Location: lat: 49 59.949N Lon: 125 08.369W2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-14,D04,NA,NA,15B102233,1,1,2015-05-04 09:38:00 PST,13.5,27.2,Technician,"1: Location: lat: 49 59.949N Lon: 125 08.369W2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-15,D05,NA,NA,15B102233,1,0,2015-05-15 09:50:00 PST,14.8,26.3,Technician,"1: In field site location not stored. Site location: 50*09.685' N 124*53.049' W 
Note: degree symbol not available on iPad thus a * was used in place.2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-15,D05,NA,NA,15B102233,1,1,2015-05-15 09:50:00 PST,14.8,26.3,Technician,"1: In field site location not stored. Site location: 50*09.685' N 124*53.049' W 
Note: degree symbol not available on iPad thus a * was used in place.2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-15,D02,50.080506,-124.852219,15B102233,1,1,2015-05-15 12:21:00 PST,14.9,25.8,Technician,1: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,
2015-05-15,D02,50.080506,-124.852219,15B102233,1,0,2015-05-15 12:21:00 PST,15.2,25.7,Technician,1: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,
2015-05-15,D03,NA,NA,15B102233,1,0,2015-05-15 15:28:00 PST,15.3,27,Technician,"1: Device location did not work on site. The site location for this sample is: 50*07.105N 125*04.507W2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-15,D03,NA,NA,15B102233,1,1,2015-05-15 15:28:00 PST,14.5,27.2,Technician,"1: Device location did not work on site. The site location for this sample is: 50*07.105N 125*04.507W2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
2015-05-16,D06,50.080411,-125.246751,15B102233,1,0,2015-05-16 10:00:00 PST,10.6,28.7,Technician,"1: ""Lab procedures"" are completed on boat. We don't really process anything in the lab because our samples are entirely put into one pet jar with formalin while we are on the water.2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",
