ufn,date_liced,lab_count_fine_no_id,lab_count_fine_total,lep_cop,lep_cunifer_cop,lep_chal_a,lep_chal_b,lep_pa_m_1,lep_pa_m_2,lep_pa_f_1,lep_pa_f_2,lep_pa_unid,lep_a_m,lep_a_f,lep_grav_f,cal_cop,cal_chal_a_1,cal_chal_a_2,cal_chal_b_3,cal_chal_b_4_f,cal_chal_b_4_m,cal_chal_4_unid,cal_chal_a_unid,cal_chal_b_unid,cal_pa_m,cal_pa_f,cal_a_m,cal_a_f,cal_grav_f,cal_mot_unid,unid_louse,lab_staff,comments,quality_level,quality_log
U1105,2017-01-13,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,1,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U964,2017-01-13,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1104,2017-01-13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1135,2017-01-13,10,11,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1312,2017-01-13,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,1,0,0,1,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1239,2017-01-13,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1212,2017-01-13,10,10,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1178,2017-01-13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U1233,2017-01-13,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1311,2017-01-13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1273,2017-01-13,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1286,2017-01-13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1283,2017-01-13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1275,2017-01-13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1284,2017-01-13,6,8,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1364,2017-01-13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1366,2017-01-13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1303,2017-01-20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1307,2017-01-20,14,13,1,0,1,0,0,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U1302,2017-01-20,12,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,LP,NA,Raw,NA
U1270,2017-01-20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U480,2017-01-22,19,17,1,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1308,2017-01-22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1295,2017-01-22,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U1291,2017-01-22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1292,2017-01-22,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U471,2017-01-22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1339,2017-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U473,2017-01-22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1338,2017-01-22,15,15,1,0,2,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1337,2017-01-22,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1350,2017-01-24,17,19,0,0,1,0,0,0,0,0,0,0,0,0,4,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1349,2017-01-24,22,23,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,3,1,1,0,0,0,1,1,1,0,0,0,0,LP,NA,Raw,NA
U1328,2017-01-24,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1343,2017-01-24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1342,2017-01-24,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U695,2017-01-27,23,23,1,0,2,0,0,0,0,0,0,0,0,0,5,5,2,4,0,2,0,0,0,0,1,0,1,0,0,0,LP,NA,Raw,NA
U694,2017-01-27,15,15,1,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U697,2017-01-27,9,9,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U693,2017-01-27,16,14,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U1357,2017-01-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1356,2017-01-27,8,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1353,2017-01-27,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,1,0,0,0,0,LP,NA,Raw,NA
U247,2017-01-27,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U246,2017-01-27,24,24,1,0,1,0,0,0,0,0,0,0,0,0,0,10,3,2,3,0,0,0,0,3,1,0,0,0,0,0,LP,NA,Raw,NA
U245,2017-01-27,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U248,2017-01-27,42,44,1,0,1,0,0,0,0,0,0,0,0,0,1,14,9,6,2,6,0,0,0,0,3,0,1,0,0,0,LP,NA,Raw,NA
U250,2017-01-27,19,20,3,0,1,0,0,0,0,0,0,0,0,0,4,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U129,2017-01-27,6,7,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U249,2017-01-27,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,0,0,1,1,1,1,2,0,0,LP,NA,Raw,NA
U274,2017-01-30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
U350,2017-01-30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U349,2017-01-30,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,3,1,1,1,1,1,1,0,0,0,0,0,LP,NA,Raw,NA
U380,2017-01-30,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U378,2017-01-30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,LP,NA,Raw,NA
U377,2017-01-30,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U376,2017-01-30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U308,2017-01-30,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U307,2017-01-30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,LP,NA,Raw,NA
U310,2017-01-30,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U251,2017-01-30,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U240,2017-01-30,17,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,1,1,0,0,0,0,0,LP,NA,Raw,NA
U253,2017-01-30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U254,2017-01-30,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U261,2017-01-30,12,12,2,0,1,0,0,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U255,2017-01-30,22,23,2,0,2,0,0,0,0,0,0,0,0,0,5,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U260,2017-01-30,19,19,0,0,1,0,0,0,0,0,0,0,0,0,1,6,3,3,1,2,0,0,0,0,0,1,0,1,0,0,LP,NA,Raw,NA
U256,2017-01-30,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,LP,NA,Raw,NA
U286,2017-01-31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U285,2017-01-31,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U281,2017-01-31,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U284,2017-01-31,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U362,2017-01-31,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U299,2017-01-31,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U333,2017-01-31,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U496,2017-01-31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U335,2017-01-31,8,9,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U334,2017-01-31,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,1,0,0,0,0,0,0,0,0,1,0,LP,NA,Raw,NA
U546,2017-01-31,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,LP,NA,Raw,NA
U543,2017-01-31,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,0,0,0,0,0,0,1,0,0,0,LP,NA,Raw,NA
U544,2017-01-31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U355,2017-02-02,8,8,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,LP,NA,Raw,NA
U397,2017-02-02,11,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,1,1,1,0,0,0,0,LP,NA,Raw,NA
U398,2017-02-02,12,11,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U390,2017-02-02,8,9,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U396,2017-02-02,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U319,2017-02-02,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U485,2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U482,2017-02-02,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U351,2017-02-02,5,6,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U444,2017-02-02,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
