seine_id,survey_id,set_number,set_type,lat,long,set_time,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,collection_protocol,seine_comments,qc_log
DE455BN5,DE455B,5,targeted,NA,NA,NA,NA,NA,NA,NA,yes,0,NA,0,NA,10,NA,0,NA,0,NA,0,NA,DFO,Sam James UBC diet study (fish collected by DFO). Seine ID formerly DN77,
JE100N1,JE100,1,targeted,NA,NA,2015-05-20 07:10:00 PDT,30,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE101N1,JE101,1,targeted,50.50535,-126.24163,2015-05-20 09:50:00 PDT,10,NA,NA,NA,yes,30,300,1,1,10,20,6,6,4,4,NA,NA,SEMSP,fish not labelled in order,
JE102N1,JE102,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE102N2,JE102,2,targeted,50.47479,-126.03259,2015-05-21 06:20:00 PDT,10,NA,NA,NA,yes,30,100,0,0,10,30,3,3,0,0,NA,NA,SEMSP,NA,
JE103N1,JE103,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE103N2,JE103,2,targeted,NA,NA,2015-05-21 13:40:00 PDT,90,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE104N1,JE104,1,targeted,50.45614,-126.11933,2015-05-22 06:40:00 PDT,1,NA,NA,NA,yes,30,600,0,0,1,1,4,4,0,0,NA,NA,SEMSP,NA,
JE105N1,JE105,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE105N2,JE105,2,targeted,50.48078,-126.41037,2015-05-22 09:40:00 PDT,3,NA,NA,NA,yes,30,150,0,0,3,3,10,150,0,0,NA,NA,SEMSP,NA,
JE106N3,JE106,3,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE106N2,JE106,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE106N1,JE106,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE106N4,JE106,4,targeted,50.52222,-126.39167,2015-05-22 13:50:00 PDT,10,NA,NA,NA,yes,30,150,0,0,2,2,10,10,1,1,NA,NA,SEMSP,NA,
JE107N1,JE107,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE107N2,JE107,2,targeted,50.54648,-126.67096,2015-05-23 06:00:00 PDT,0,NA,NA,NA,yes,30,300,0,0,0,0,0,0,0,0,NA,NA,SEMSP,"all fish samples labelled ""J0CP"" for now, will need to be hanged once site name confirmed J03",
JE108N1,JE108,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE108N2,JE108,2,targeted,50.54039,-126.78096,2015-05-23 09:00:00 PDT,0,NA,NA,NA,yes,30,200,0,0,10,25,8,8,5,5,NA,NA,SEMSP,NA,
JE109N2,JE109,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE109N1,JE109,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
JE109N3,JE109,3,targeted,50.55787,-126.73532,2015-05-23 12:35:00 PDT,0,NA,NA,NA,yes,30,1200,0,0,10,20,0,0,0,0,NA,NA,SEMSP,NA,
JE110N1,JE110,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
