survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
JE139,2015-06-02,J05,"Carson White, Donnah MacKinnon, Lauren Portner",light,100,1,0-5,NW,NA,NA,NA,1,12.1,1,NA,1,standard,NA
JE140,2015-06-02,J07,"Carson White, Donnah MacKinnon, Lauren Portner",none,100,1,0.1-5,NW,NA,NA,NA,1,11.7,1,NA,1,standard,NA
JE141,2015-06-02,J06,"Carson White, Donnah MacKinnon, Lauren Portner",none,0,3,5-10,NW,NA,NA,NA,1,NA,NA,NA,NA,standard,snagged net on bottom- no fish. strong current dragged us into the shallows
JE142,2015-06-03,J06,"Carson White, Katie Chan, Lauren Portner",none,100,1,5-10,NW,NA,NA,NA,1,10.2,1,NA,1,standard,NA
JE143,2015-06-03,J08,"Sean Godwin, Mack Bartlett, Samantha Crowley",none,75,1,0.1-5,NW,NA,NA,NA,1,10.7,1,NA,1,standard,"could not find herring again because too many fish; unsure of herring, pink, and coho numbers because too many fish"
JE144,2015-06-03,J04,"Sean Godwin, Mack Bartlett, Samantha Crowley",light,75,3,5-10,SW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
JE145,2015-06-03,J09,"Sean Godwin, Mack Bartlett, Samantha Crowley",none,75,1,0.1-5,W,NA,NA,NA,1,9.6,1,NA,1,standard,NA
JE146,2015-06-04,J04,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,50,1,0.1-5,SW,NA,NA,NA,1,10.6,1,NA,1,standard,NA
JE147,2015-06-04,J03,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,25,1,0.1-5,SW,NA,NA,NA,1,10.8,1,NA,1,standard,NA
JE148,2015-06-04,J02,"Sean Godwin, Mack Bartlett, Donnah MacKinnon",none,0,1,0.1-5,NW,NA,NA,NA,3,16.2,1,NA,1,standard,NA
JE149,2015-06-05,J10,"Sean Godwin, Samantha Crowley, Donnah MacKinnon",none,25,1,0.1-5,SW,NA,NA,NA,1,13.4,1,NA,1,standard,NA
