ufn,sample_id,analyzing_lab,quality_level,quality_flag,quality_log
U11001,BRN60M-E6,NA,Technicianm,,
U11002,BRN60M-A6,NA,Technicianm,,
U11003,BRN60M-F8,NA,Technicianm,,
U11004,BRN60M-H8,NA,Technicianm,,
U11005,BRN60M-F6,NA,Technicianm,,
U11006,BRN60M-D6,NA,Technicianm,,
U11007,BRN60M-G6,NA,Technicianm,,
U11008,BRN60M-B6,NA,Technicianm,,
U11009,BRN60M-C6,NA,Technicianm,,
U11010,BRN60M-G8,NA,Technicianm,,
U12841,BRN60M-D7,NA,Technicianm,,
U12842,BRN60M-E7,NA,Technicianm,,
U12844,BRN60M-C7,NA,Technicianm,,
U12845,BRN60M-G9,NA,Technicianm,,
U12846,BRN60M-B7,NA,Technicianm,,
U12847,BRN60M-A7,NA,Technicianm,,
U12849,BRN60M-F9,NA,Technicianm,,
U11324,BRN60M-A8,NA,Technicianm,,
U11325,BRN60M-E9,NA,Technicianm,,
U11326,BRN60M-E8,NA,Technicianm,,
U11327,BRN60M-C8,NA,Technicianm,,
U11328,BRN60M-B8,NA,Technicianm,,
U11329,BRN60M-D9,NA,Technicianm,,
U11330,BRN60M-D8,NA,Technicianm,,
U242,BRN1M-C1,NA,Technicianm,,
U128,BRN1M-G2,NA,Technicianm,,
U129,BRN1M-F2,NA,Technicianm,,
U130,BRN1M-E2,NA,Technicianm,,
U313,BRN1M-B2,NA,Technicianm,,
U200,BRN1M-G3,NA,Technicianm,,
U232,BRN1M-E3,NA,Technicianm,,
U210,BRN1M-E1,NA,Technicianm,,
U233,BRN1M-D3,NA,Technicianm,,
U220,BRN1M-H4,NA,Technicianm,,
U219,BRN1M-G4,NA,Technicianm,,
U218,BRN1M-F4,NA,Technicianm,,
U217,BRN1M-E4,NA,Technicianm,,
U214,BRN1M-B4,NA,Technicianm,,
U213,BRN1M-A4,NA,Technicianm,,
U251,BRN1M-D5,NA,Technicianm,,
U253,BRN1M-B5,NA,Technicianm,,
U226,BRN1M-F6,NA,Technicianm,,
U223,BRN1M-C6,NA,Technicianm,,
U222,BRN1M-B6,NA,Technicianm,,
U245,BRN1M-H8,NA,Technicianm,,
U246,BRN1M-G8,NA,Technicianm,,
U247,BRN1M-F8,NA,Technicianm,,
U248,BRN1M-E8,NA,Technicianm,,
U261,BRN1M-B8,NA,Technicianm,,
U257,BRN1M-F9,NA,Technicianm,,
U258,BRN1M-E9,NA,Technicianm,,
U259,BRN1M-D9,NA,Technicianm,,
U260,BRN1M-C9,NA,Technicianm,,
U272,BRN1M-A9,NA,Technicianm,,
U265,BRN1M-F10,NA,Technicianm,,
U266,BRN1M-E10,NA,Technicianm,,
U267,BRN1M-D10,NA,Technicianm,,
U268,BRN1M-C10,NA,Technicianm,,
U269,BRN1M-B10,NA,Technicianm,,
