ufn,survey_date,site_id,region,species,louse_species,n_lice,year
U292,2015-05-16,D07,DI,SO,motile_caligus,1,2015
U293,2015-05-16,D07,DI,SO,motile_caligus,2,2015
U294,2015-05-16,D07,DI,SO,motile_caligus,0,2015
U295,2015-05-16,D07,DI,SO,motile_caligus,1,2015
U301,2015-05-16,D07,DI,SO,motile_caligus,0,2015
U302,2015-05-16,D07,DI,SO,motile_caligus,0,2015
U303,2015-05-16,D07,DI,SO,motile_caligus,2,2015
U311,2015-05-16,D07,DI,SO,motile_caligus,0,2015
U312,2015-05-16,D07,DI,SO,motile_caligus,0,2015
U313,2015-05-16,D07,DI,SO,motile_caligus,0,2015
U2635,2015-05-16,D07,DI,CU,motile_caligus,1,2015
U2827,2015-05-16,D07,DI,CU,motile_caligus,1,2015
U2828,2015-05-16,D07,DI,CU,motile_caligus,1,2015
U2830,2015-05-16,D07,DI,CU,motile_caligus,0,2015
U2912,2015-05-16,D07,DI,CU,motile_caligus,0,2015
U230,2015-05-19,D08,DI,SO,motile_caligus,1,2015
U272,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U273,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U274,2015-05-19,D08,DI,SO,motile_caligus,1,2015
U281,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U284,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U285,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U286,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4171,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4172,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4704,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4705,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4706,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4750,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4751,2015-05-19,D08,DI,SO,motile_caligus,1,2015
U4828,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4829,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4830,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4831,2015-05-19,D08,DI,SO,motile_caligus,2,2015
U4862,2015-05-19,D08,DI,SO,motile_caligus,0,2015
U4972,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4973,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4974,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4975,2015-05-19,D08,DI,CU,motile_caligus,1,2015
U4976,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4977,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U4978,2015-05-19,D08,DI,CU,motile_caligus,0,2015
U347,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U348,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U349,2015-05-20,D09,DI,SO,motile_caligus,2,2015
U350,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U355,2015-05-20,D09,DI,SO,motile_caligus,2,2015
U356,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U357,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U361,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U362,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U363,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U3108,2015-05-20,D09,DI,CU,motile_caligus,0,2015
U3111,2015-05-20,D09,DI,CU,motile_caligus,0,2015
U3121,2015-05-20,D09,DI,CU,motile_caligus,2,2015
U3122,2015-05-20,D09,DI,CU,motile_caligus,0,2015
U3126,2015-05-20,D09,DI,CU,motile_caligus,0,2015
U4728,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4742,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4743,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U4744,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4745,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4776,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4777,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U4778,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4779,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4780,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4781,2015-05-20,D09,DI,SO,motile_caligus,2,2015
U4800,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4801,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4802,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4820,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4821,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4822,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4823,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4848,2015-05-20,D09,DI,SO,motile_caligus,0,2015
U4849,2015-05-20,D09,DI,SO,motile_caligus,1,2015
U128,2015-05-21,D07,DI,SO,motile_caligus,0,2015
U210,2015-05-21,D07,DI,SO,motile_caligus,0,2015
U216,2015-05-21,D07,DI,SO,motile_caligus,2,2015
U217,2015-05-21,D07,DI,SO,motile_caligus,1,2015
U218,2015-05-21,D07,DI,SO,motile_caligus,2,2015
U233,2015-05-21,D07,DI,SO,motile_caligus,2,2015
U234,2015-05-21,D07,DI,SO,motile_caligus,0,2015
U235,2015-05-21,D07,DI,SO,motile_caligus,0,2015
U236,2015-05-21,D07,DI,SO,motile_caligus,0,2015
U241,2015-05-21,D07,DI,SO,motile_caligus,0,2015
U1190,2015-05-21,D07,DI,PI,motile_caligus,1,2015
U1386,2015-05-21,D07,DI,PI,motile_caligus,0,2015
U1392,2015-05-21,D07,DI,PI,motile_caligus,0,2015
U1394,2015-05-21,D07,DI,PI,motile_caligus,1,2015
U1395,2015-05-21,D07,DI,PI,motile_caligus,0,2015
U2528,2015-05-21,D07,DI,PI,motile_caligus,2,2015
U2626,2015-05-21,D07,DI,CU,motile_caligus,1,2015
U2627,2015-05-21,D07,DI,CU,motile_caligus,0,2015
U2634,2015-05-21,D07,DI,CU,motile_caligus,2,2015
U2831,2015-05-21,D07,DI,CU,motile_caligus,1,2015
U2859,2015-05-21,D07,DI,PI,motile_caligus,1,2015
U3007,2015-05-21,D07,DI,CU,motile_caligus,0,2015
U4173,2015-05-21,D07,DI,CU,motile_caligus,1,2015
U4979,2015-05-21,D07,DI,CU,motile_caligus,0,2015
U4980,2015-05-21,D07,DI,CU,motile_caligus,0,2015
U375,2015-05-23,D08,DI,SO,motile_caligus,1,2015
U376,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U377,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U378,2015-05-23,D08,DI,SO,motile_caligus,2,2015
U379,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U380,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U390,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U394,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U396,2015-05-23,D08,DI,SO,motile_caligus,1,2015
U397,2015-05-23,D08,DI,SO,motile_caligus,3,2015
U398,2015-05-23,D08,DI,SO,motile_caligus,0,2015
U4044,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4079,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4085,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4086,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4087,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4088,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4089,2015-05-23,D08,DI,CU,motile_caligus,1,2015
U4090,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4091,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U4092,2015-05-23,D08,DI,CU,motile_caligus,0,2015
U454,2015-05-23,D10,DI,SO,motile_caligus,1,2015
U455,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U456,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U503,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U504,2015-05-23,D10,DI,SO,motile_caligus,2,2015
U505,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U506,2015-05-23,D10,DI,SO,motile_caligus,1,2015
