sample_id,position,container_id
S10081FC1,1,DW50
S10082FC1,2,DW50
S10083FC1,3,DW50
S10084FC1,4,DW50
S10085FC1,5,DW50
S10086FC1,6,DW50
S10087FC1,7,DW50
S10088FC1,8,DW50
S10089FC1,9,DW50
S10090FC1,10,DW50
S10091FC1,11,DW50
S10092FC1,12,DW50
S10093FC1,13,DW50
S10094FC1,14,DW50
S10095FC1,15,DW50
S10096FC1,16,DW50
S10097FC1,17,DW50
S10098FC1,18,DW50
S10099FC1,19,DW50
S10100FC1,20,DW50
S10101FC1,21,DW50
S10102FC1,22,DW50
S10103FC1,23,DW50
S10104FC1,24,DW50
S10105FC1,25,DW50
S10106FC1,26,DW50
S10107FC1,27,DW50
S10108FC1,28,DW50
S10109FC1,29,DW50
S10110FC1,30,DW50
S10161FC1,1,DW51
S10163FC1,3,DW51
S10164FC1,4,DW51
S10165FC1,5,DW51
S10166FC1,6,DW51
S10167FC1,7,DW51
S10168FC1,8,DW51
S10169FC1,9,DW51
S10170FC1,10,DW51
S10171FC1,11,DW51
S10172FC1,12,DW51
S10173FC1,13,DW51
S10174FC1,14,DW51
S10175FC1,15,DW51
S10176FC1,16,DW51
S10177FC1,17,DW51
S10178FC1,18,DW51
S10179FC1,19,DW51
S10180FC1,20,DW51
S10181FC1,21,DW51
S10182FC1,22,DW51
S10183FC1,23,DW51
S10184FC1,24,DW51
S10185FC1,25,DW51
S10186FC1,26,DW51
S10187FC1,27,DW51
S10188FC1,28,DW51
S10189FC1,29,DW51
S10190FC1,30,DW51
S10241FC1,1,DW52
S10242FC1,2,DW52
S10243FC1,3,DW52
S10244FC1,4,DW52
S10245FC1,5,DW52
S10246FC1,6,DW52
S10247FC1,7,DW52
S10248FC1,8,DW52
S10401FC1,1,DW54
S10402FC1,2,DW54
S10403FC1,3,DW54
S10404FC1,4,DW54
S10405FC1,5,DW54
S10406FC1,6,DW54
S10407FC1,7,DW54
S10408FC1,8,DW54
S10409FC1,9,DW54
S10410FC1,10,DW54
S10411FC1,11,DW54
S10481FC1,1,DW55
S10482FC1,2,DW55
S10483FC1,3,DW55
S10484FC1,4,DW55
S10485FC1,5,DW55
S10486FC1,6,DW55
S10487FC1,7,DW55
S10488FC1,8,DW55
S10489FC1,9,DW55
S10490FC1,10,DW55
S10491FC1,11,DW55
S10492FC1,12,DW55
S10493FC1,13,DW55
S10494FC1,14,DW55
S10495FC1,15,DW55
S10496FC1,16,DW55
S10497FC1,17,DW55
S10498FC1,18,DW55
S10499FC1,19,DW55
S10500FC1,20,DW55
S10501FC1,21,DW55
S10502FC1,22,DW55
S10503FC1,23,DW55
S10504FC1,24,DW55
S10505FC1,25,DW55
S10506FC1,26,DW55
S10507FC1,27,DW55
S10508FC1,28,DW55
S10509FC1,29,DW55
S10510FC1,30,DW55
S10561FC1,1,DW56
S10562FC1,2,DW56
S10563FC1,3,DW56
S10564FC1,4,DW56
S10565FC1,5,DW56
S10566FC1,6,DW56
S10567FC1,7,DW56
S10568FC1,8,DW56
S10569FC1,9,DW56
S10570FC1,10,DW56
S10571FC1,11,DW56
S10572FC1,12,DW56
S10573FC1,13,DW56
S10574FC1,14,DW56
S10575FC1,15,DW56
S10576FC1,16,DW56
S10577FC1,17,DW56
S10578FC1,18,DW56
S10579FC1,19,DW56
S10580FC1,20,DW56
S10581FC1,21,DW56
S10582FC1,22,DW56
S10583FC1,23,DW56
S10584FC1,24,DW56
S10585FC1,25,DW56
S10586FC1,26,DW56
S10587FC1,27,DW56
S10588FC1,28,DW56
S10589FC1,29,DW56
S10590FC1,30,DW56
S10641FC1,1,DW57
S10642FC1,2,DW57
S10643FC1,3,DW57
S10644FC1,4,DW57
S10645FC1,5,DW57
S10646FC1,6,DW57
S10647FC1,7,DW57
S10648FC1,8,DW57
S10649FC1,9,DW57
S10650FC1,10,DW57
S10651FC1,11,DW57
S10652FC1,12,DW57
S10653FC1,13,DW57
S10654FC1,14,DW57
S10655FC1,15,DW57
S10656FC1,16,DW57
S10657FC1,17,DW57
S10658FC1,18,DW57
S10659FC1,19,DW57
S10660FC1,20,DW57
S10661FC1,21,DW57
S10662FC1,22,DW57
S10663FC1,23,DW57
S10664FC1,24,DW57
S10665FC1,25,DW57
S10666FC1,26,DW57
S10667FC1,27,DW57
S10668FC1,28,DW57
S10669FC1,29,DW57
S10670FC1,30,DW57
S10721FC1,1,DW58
S10722FC1,2,DW58
S10723FC1,3,DW58
S10724FC1,4,DW58
S10725FC1,5,DW58
S10726FC1,6,DW58
S10727FC1,7,DW58
S10728FC1,8,DW58
S10729FC1,9,DW58
S10730FC1,10,DW58
S10731FC1,11,DW58
S10732FC1,12,DW58
S10733FC1,13,DW58
S10734FC1,14,DW58
S10735FC1,15,DW58
S10736FC1,16,DW58
S10737FC1,17,DW58
S10738FC1,18,DW58
S10739FC1,19,DW58
S10740FC1,20,DW58
S10741FC1,21,DW58
S10742FC1,22,DW58
S10791FC1,NA,DW58
S10792FC1,NA,DW58
S10793FC1,NA,DW58
S10794FC1,NA,DW58
S10795FC1,NA,DW58
S10796FC1,NA,DW58
S10797FC1,NA,DW58
S10798FC1,NA,DW58
S10801FC1,1,DW59
S10802FC1,2,DW59
S10803FC1,3,DW59
S10804FC1,4,DW59
S10805FC1,5,DW59
S10806FC1,6,DW59
S10807FC1,7,DW59
S10808FC1,8,DW59
S10809FC1,9,DW59
S10810FC1,10,DW59
S10881FC1,1,DW60
S10882FC1,2,DW60
S10883FC1,3,DW60
S10961FC1,1,DW61
S10962FC1,2,DW61
S10963FC1,3,DW61
S10964FC1,4,DW61
S10965FC1,5,DW61
S10966FC1,6,DW61
S10967FC1,7,DW61
S10968FC1,8,DW61
S10969FC1,9,DW61
S10970FC1,10,DW61
S10971FC1,11,DW61
S10972FC1,12,DW61
S10973FC1,13,DW61
S10974FC1,14,DW61
S10975FC1,15,DW61
S10976FC1,16,DW61
S10977FC1,17,DW61
S10978FC1,18,DW61
S10979FC1,19,DW61
S10980FC1,20,DW61
S10981FC1,21,DW61
S10982FC1,22,DW61
S10983FC1,23,DW61
S10984FC1,24,DW61
S10985FC1,25,DW61
S10986FC1,26,DW61
S10987FC1,27,DW61
S10988FC1,28,DW61
S10989FC1,29,DW61
S10990FC1,30,DW61
S11041FC1,1,DW62
S11042FC1,2,DW62
S11043FC1,3,DW62
S11044FC1,4,DW62
S11045FC1,5,DW62
S11046FC1,6,DW62
S11047FC1,7,DW62
S11048FC1,8,DW62
S11049FC1,9,DW62
S11050FC1,10,DW62
S11051FC1,11,DW62
S11052FC1,12,DW62
S11053FC1,13,DW62
S11054FC1,14,DW62
S11055FC1,15,DW62
S11056FC1,16,DW62
S11057FC1,17,DW62
S11058FC1,18,DW62
S11059FC1,19,DW62
S11060FC1,20,DW62
S11061FC1,21,DW62
S11062FC1,22,DW62
S11063FC1,23,DW62
S11064FC1,24,DW62
S11065FC1,25,DW62
S11066FC1,26,DW62
S11067FC1,27,DW62
S11068FC1,28,DW62
S11069FC1,29,DW62
S11070FC1,30,DW62
S11121FC1,1,DW63
S11122FC1,2,DW63
S11123FC1,3,DW63
S11124FC1,4,DW63
S11125FC1,5,DW63
S11126FC1,6,DW63
S11127FC1,7,DW63
S11128FC1,8,DW63
S11129FC1,9,DW63
S11130FC1,10,DW63
S11281FC1,1,DW65
S11282FC1,2,DW65
S12401FC1,1,JW51
S12402FC1,2,JW51
S12403FC1,3,JW51
S12404FC1,4,JW51
S12405FC1,5,JW51
S12406FC1,6,JW51
S12407FC1,7,JW51
S12408FC1,8,JW51
S12409FC1,9,JW51
