sample_id,location
S99FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S127FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S128FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S129FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S130FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S200FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S207FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S208FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S209FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S210FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S213FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S214FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S215FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S216FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S217FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S218FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S219FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S220FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S221FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S222FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S223FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S224FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S225FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S226FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S227FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S228FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S229FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S230FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S231FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S232FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S233FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S234FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S235FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S236FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S237FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S238FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S239FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S240FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S241FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S242FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S243FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S244FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S246FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S247FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S248FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S249FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S250FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S251FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S252FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S253FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S254FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S255FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S256FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S257FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S258FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S259FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S260FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S261FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S262FA1,Offsite - UBC Hunt Lab / JSP Fatty Acids / BFA101
S263FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S264FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S265FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S266FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S267FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S268FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S269FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S270FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S271FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 54 / BFASO1
S272FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S273FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S274FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S275FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S276FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S277FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S278FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S279FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S280FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S281FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S284FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S285FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S286FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S287FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S288FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
S289FA1,Prep -80 Freezer #1 / Shelf 3 / Tray 62 / BFASO2
