sample_id,position,container_id
S16763FC1,13,BWS18
S16764FC1,14,BWS18
S16765FC1,15,BWS18
S16766FC1,16,BWS18
S16767FC1,17,BWS18
S16791FC1,18,BWS18
S16792FC1,19,BWS18
S16793FC1,20,BWS18
S16794FC1,21,BWS18
S16795FC1,22,BWS18
S16796FC1,23,BWS18
S16797FC1,24,BWS18
S16798FC1,25,BWS18
S16799FC1,26,BWS18
S16800FC1,27,BWS18
S16921FC1,28,BWS18
S16922FC1,29,BWS18
S16923FC1,30,BWS18
S16951FC1,1,BWS19
S16952FC1,2,BWS19
S16953FC1,3,BWS19
S16954FC1,4,BWS19
S16955FC1,5,BWS19
S16581FC1,6,BWS19
S16582FC1,7,BWS19
S16583FC1,8,BWS19
S16584FC1,9,BWS19
S16585FC1,10,BWS19
S16931FC1,11,BWS19
S16932FC1,12,BWS19
S16933FC1,13,BWS19
S16934FC1,14,BWS19
S16935FC1,15,BWS19
S16936FC1,16,BWS19
S16937FC1,17,BWS19
S17891FC1,1,BWS20
S17941FC1,2,BWS20
S17942FC1,3,BWS20
S17943FC1,4,BWS20
S17944FC1,5,BWS20
S17071FC1,1,BWS21
S17072FC1,2,BWS21
S17291FC1,1,BWS29
S17351FC1,1,BWS30
S17352FC1,2,BWS30
S17353FC1,3,BWS30
S17354FC1,4,BWS30
S17355FC1,5,BWS30
S17356FC1,6,BWS30
S17357FC1,7,BWS30
S17358FC1,8,BWS30
S17359FC1,9,BWS30
S17360FC1,10,BWS30
S16901FC1,1,BWS31
S17871FC1,1,BWS32
S17661FC1,1,BWS33
