sample_id,container_cell,location
S12988IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12981IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12982IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12983IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12987IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12989IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12986IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12990IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12985IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12984IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12827IS1,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12822IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12824IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12821IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12825IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12823IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12830IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12829IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12828IS1,38,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12826IS1,40,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12745IS1,41,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12742IS1,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12749IS1,45,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12750IS1,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12748IS1,49,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12741IS1,52,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12744IS1,54,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12743IS1,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12747IS1,58,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12746IS1,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10092IS1,61,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10095IS1,63,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10099IS1,65,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10098IS1,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10100IS1,69,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10096IS1,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10097IS1,74,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10094IS1,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10093IS1,78,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10091IS1,80,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12816IS1,81,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12814IS1,83,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12812IS1,85,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12815IS1,87,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12813IS1,89,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12811IS1,92,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12817IS1,94,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12818IS1,96,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12820IS1,98,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S12819IS1,100,Offsite - UBC Hunt Lab / JSP Isotopes / BIS1
S10409IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10406IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10410IS1,5,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10404IS1,7,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10407IS1,9,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10403IS1,12,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10405IS1,14,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10804IS1,16,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10802IS1,18,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12647IS1,20,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12649IS1,21,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12643IS1,23,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12642IS1,25,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12641IS1,27,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12650IS1,29,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12648IS1,32,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12645IS1,34,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S12646IS1,36,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S11128IS1,38,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S11122IS1,40,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S11121IS1,43,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S11129IS1,47,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S11123IS1,49,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S11125IS1,54,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10650IS1,56,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10642IS1,58,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10641IS1,60,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10648IS1,61,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10112IS1,66,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10111IS1,67,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10271IS1,72,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S5073IS1,76,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S5074IS1,80,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S5075IS1,83,Offsite - UBC Hunt Lab / JSP Isotopes / BIS10
S10130IS1,1,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
S10088IS1,3,Offsite - UBC Hunt Lab / JSP Isotopes / BIS11
