sample_id,position,location
DS00001,1,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00002,2,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00003,3,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00004,4,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00005,5,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00006,6,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00007,7,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00008,8,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00009,9,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00010,10,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00011,11,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00012,12,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00013,13,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00014,14,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00015,15,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00016,16,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00017,17,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00018,18,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00019,19,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00020,20,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00021,21,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00022,22,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00023,23,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00024,24,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00025,25,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00026,26,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00027,27,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00028,28,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00029,29,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00030,30,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00001,41,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00002,42,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00003,43,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00004,44,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00005,45,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00006,46,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00007,47,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00008,48,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DH00009,49,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW1
DS00031,1,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00032,2,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00033,3,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00034,4,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00035,5,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00036,6,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00037,7,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00038,8,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00039,9,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00040,10,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
DS00041,11,Prep Salmon Shelves / JSP Fin Clip Binder 2016 / DW2
