sample_id,position,location
S4762DN1,1,Offsite - PBS / JSP DNA / BDN7
S4763DN1,2,Offsite - PBS / JSP DNA / BDN7
S4764DN1,3,Offsite - PBS / JSP DNA / BDN7
S4765DN1,4,Offsite - PBS / JSP DNA / BDN7
S4766DN1,5,Offsite - PBS / JSP DNA / BDN7
S4767DN1,6,Offsite - PBS / JSP DNA / BDN7
S4768DN1,7,Offsite - PBS / JSP DNA / BDN7
S4769DN1,8,Offsite - PBS / JSP DNA / BDN7
S4770DN1,9,Offsite - PBS / JSP DNA / BDN7
S4771DN1,10,Offsite - PBS / JSP DNA / BDN7
S5076DN1,11,Offsite - PBS / JSP DNA / BDN7
S5077DN1,12,Offsite - PBS / JSP DNA / BDN7
S5078DN1,13,Offsite - PBS / JSP DNA / BDN7
S5079DN1,14,Offsite - PBS / JSP DNA / BDN7
S5080DN1,15,Offsite - PBS / JSP DNA / BDN7
S5081DN1,16,Offsite - PBS / JSP DNA / BDN7
S5082DN1,17,Offsite - PBS / JSP DNA / BDN7
S5083DN1,18,Offsite - PBS / JSP DNA / BDN7
S5084DN1,19,Offsite - PBS / JSP DNA / BDN7
S5085DN1,20,Offsite - PBS / JSP DNA / BDN7
S5086DN1,21,Offsite - PBS / JSP DNA / BDN7
S5087DN1,22,Offsite - PBS / JSP DNA / BDN7
S5088DN1,23,Offsite - PBS / JSP DNA / BDN7
S5089DN1,24,Offsite - PBS / JSP DNA / BDN7
S5090DN1,25,Offsite - PBS / JSP DNA / BDN7
S5091DN1,26,Offsite - PBS / JSP DNA / BDN7
S5092DN1,27,Offsite - PBS / JSP DNA / BDN7
S5093DN1,28,Offsite - PBS / JSP DNA / BDN7
S5094DN1,29,Offsite - PBS / JSP DNA / BDN7
S5095DN1,30,Offsite - PBS / JSP DNA / BDN7
S5096DN1,31,Offsite - PBS / JSP DNA / BDN7
S5097DN1,32,Offsite - PBS / JSP DNA / BDN7
S5098DN1,33,Offsite - PBS / JSP DNA / BDN7
S5099DN1,34,Offsite - PBS / JSP DNA / BDN7
S5100DN1,35,Offsite - PBS / JSP DNA / BDN7
S5101DN1,36,Offsite - PBS / JSP DNA / BDN7
S5102DN1,37,Offsite - PBS / JSP DNA / BDN7
S5103DN1,38,Offsite - PBS / JSP DNA / BDN7
S5104DN1,39,Offsite - PBS / JSP DNA / BDN7
