survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
,J07,,,15C100324,,2015-05-30 11:13:00 PDT,Changed Temperature from 10.1 (2018-07-16 JG),,,,
,J07,,,15C100324,,2015-05-30 11:13:00 PDT,Changed Salinity from 28.3 (2018-07-16 JG),,,,
,D06,,,15B102233,,2015-05-30 12:19:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J08,,,15C100324,,2015-05-30 17:01:00 PDT,"Changed Temperature from 11.1 (2018-07-16 JG)
2: Field time is actually 14:45.",,,,
,J04,,,15C100324,,2015-05-31 08:01:00 PDT,Field time is actually 6:45.,,,,
,D08,,,15B102233,,2015-05-31 08:25:00 PDT,"Still experiencing issues with flow meter: appears to be getting jammed and not spinning the entire time. Numbers for flow out may be affected.
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D02,,,15B102233,,2015-05-31 09:47:00 PDT,YSI time estimated 15 min after time of set (no fish caught) (no data recorded). Added 2018-07-18 JG,,,,
,J03,,,15C100324,,2015-05-31 10:55:00 PDT,NA,,,,
,J09,,,15C100324,,2015-05-31 13:10:00 PDT,NA,,,,
,J10,,,15C100324,,2015-06-01 02:36:00 PDT,NA,,,,
,J02,,,15C100324,,2015-06-01 07:05:00 PDT,Gather location didn't save after it was entered. This site was in Freshwater Bay on Swanson Island.,,,,
,D10,,,15B102233,,2015-06-01 08:34:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J01,,,15C100324,,2015-06-01 11:31:00 PDT,NA,,,,
,D11,,,15B102233,,2015-06-01 11:32:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D09,,,15B102233,,2015-06-01 14:53:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J05,,,15C100324,,2015-06-02 07:40:00 PDT,NA,,,,
,J07,,,15C100324,,2015-06-02 10:14:00 PDT,NA,,,,
,J06,,,15C100324,,2015-06-03 07:41:00 PDT,NA,,,,
,D10,,,15B102233,,2015-06-03 08:42:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J08,,,15C100324,,2015-06-03 12:00:02 PDT,NA,,,,
,D11,,,15B102233,,2015-06-03 12:21:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D09,,,15B102233,,2015-06-03 15:11:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J09,,,15C100324,,2015-06-03 16:41:12 PDT,NA,,,,
,J04,,,15C100324,,2015-06-04 08:19:02 PDT,NA,,,,
,D08,,,15B102233,,2015-06-04 08:23:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J03,,,15C100324,,2015-06-04 12:29:44 PDT,NA,,,,
,D06,,,15B102233,,2015-06-04 13:32:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J02,,,15C100324,,2015-06-04 15:41:02 PDT,NA,,,,
,D10,,,15B102233,,2015-06-05 07:00:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J10,,,15C100324,,2015-06-05 07:12:45 PDT,NA,,,,
,J01,,,15C100324,,2015-06-05 10:15:23 PDT,NA,,,,
,D09,,,15B102233,,2015-06-05 12:59:00 PDT,"Set location: 50.307710 N -125.328693
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D07,,,15B102233,,2015-06-05 16:00:00 PDT,"Set location: 50.191118 N -125.142016W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,J07,,,15C100324,,2015-06-06 07:50:52 PDT,NA,,,,
,J07,,,15C100324,,2015-06-06 07:50:52 PDT,Changed Temperature from 28.7 and Salinity from 9.9 (2018-07-16 JG),,,,
,J06,,,15C100324,,2015-06-07 06:10:10 PDT,NA,,,,
,J05,,,15C100324,,2015-06-07 08:44:05 PDT,NA,,,,
,J08,,,15C100324,,2015-06-07 12:25:59 PDT,Changed Temperature from 10.7 (2018-07-16 JG),,,,
,J08,,,15C100324,,2015-06-07 12:25:59 PDT,Changed Temperature from 10.8 (2018-07-16 JG),,,,
