survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
DE700,2020-05-15T00:00:00Z,D07,"Brett Johnson, Krystal Bachen, Nick Sinclair",none,50,,0.1-5,S,flood,,,,NA,,,NA,non-standard,"Training. Unofficial ""0"" for sockeye"
DE701,2020-05-19T00:00:00Z,D09,"Nick Sinclair, Krystal Bachen, Julian Gan",none,50,,0.1-5,NA,ebb,,,,NA,,,NA,standard,No CTD due to unable to initialize it in the morning
DE702,2020-05-22T00:00:00Z,D10,"Nick Sinclair, Krystal Bachen, Julian Gan",none,75,,10-15,NW,ebb,,,,NA,,,NA,standard,CTD did not record casts
DE703,2020-05-26T00:00:00Z,D09,"Julian Gan, Krystal Bachen, Isabelle Desmarais",none,25,,10-15,NW,flood,,,,NA,,,NA,standard,NA
DE704,2020-05-27T00:00:00Z,D27,"Julian Gan, Krystal Bachen, Isabelle Desmarais",none,0,,5-10,NA,flood,,,,NA,,,NA,standard,CTD did not record casts
DE705,2020-06-01T00:00:00Z,D07,"Nick Sinclair, Krystal Bachen, Julian Gan, Tim van der Stap",none,0,,0.1-5,NW,flood,,,,NA,,,NA,standard,Training set; no eDNA
DE706,2020-06-02T00:00:00Z,D09,"Nick Sinclair, Krystal Bachen, Tim van der Stap",light,100,,0,NA,flood,,,,NA,,,NA,standard,NA
DE707,2020-06-05T00:00:00Z,D10,"Krystal Bachen, Julian Gan, Tim van der Stap",none,75,,5-10,NW,ebb,,,,NA,,,NA,standard,3 botched sets as a result of wind; current; and eddies. Fish too close to shore to capture; so moved on to D35
DE708,2020-06-05T00:00:00Z,D35,"Krystal Bachen, Julian Gan, Tim van der Stap",none,100,,10-15,NW,low slack,,,,NA,,,NA,standard,NA
DE709,2020-06-08T00:00:00Z,D09,"Krystal Bachen, Julian Gan, Tim van der Stap",none,50,,0.1-5,SE,high slack,,,,NA,,,NA,standard,NA
