survey_id,school_number,school_sliders,school_poppers,school_dimpling,school_id
DE426,1,0,0,10,DE426-1
DE426,2,0,1,0,DE426-2
DE426,3,0,1,1,DE426-3
DE426,4,0,0,10,DE426-4
DE426,5,0,1,10,DE426-5
DE426,6,0,1,0,DE426-6
DE428,1,0,1,10,DE428-1
DE440,1,1,1,1,DE440-1
DE440,2,0,0,10,DE440-2
DE440,3,0,0,10,DE440-3
DE440,4,0,0,1,DE440-4
DE440,5,0,0,10,DE440-5
DE440,6,0,1,0,DE440-6
DE440,7,0,0,10,DE440-7
DE440,8,0,0,1,DE440-8
DE440,9,0,0,1,DE440-9
DE440,10,0,0,1,DE440-10
DE440,11,0,0,1,DE440-11
DE440,12,0,0,10,DE440-12
DE440,13,0,1,10,DE440-13
DE440,14,0,0,1,DE440-14
DE440,15,0,0,10,DE440-15
DE440,16,0,0,10,DE440-16
DE440,17,0,0,10,DE440-17
DE440,18,0,0,10,DE440-18
DE440,19,0,0,1,DE440-19
DE403,1,0,0,1,DE403-1
DE403,2,0,0,1,DE403-2
DE403,3,0,0,1,DE403-3
DE403,4,0,0,10,DE403-4
DE403,5,0,0,1,DE403-5
DE403,6,0,1,0,DE403-6
DE403,7,0,0,1,DE403-7
DE403,8,0,1,0,DE403-8
DE403,9,0,0,1,DE403-9
DE403,10,0,1,0,DE403-10
DE403,11,0,0,1,DE403-11
DE403,12,0,0,10,DE403-12
DE403,13,0,0,10,DE403-13
DE403,14,0,1,1,DE403-14
DE403,15,0,1,0,DE403-15
DE403,16,0,0,1,DE403-16
DE415,1,0,1,0,DE415-1
DE427,1,0,1,0,DE427-1
DE365,1,1,0,0,DE365-1
DE365,2,1,0,0,DE365-2
JE326,1,0,0,10,JE326-1
JE326,2,0,0,10,JE326-2
JE326,3,0,0,10,JE326-3
JE326,4,0,0,1,JE326-4
JE326,5,0,0,1,JE326-5
JE326,6,0,1,1,JE326-6
JE326,7,0,1,0,JE326-7
JE326,8,0,1,0,JE326-8
JE326,9,0,1,0,JE326-9
JE326,10,0,1,1,JE326-10
JE326,11,0,1,1,JE326-11
JE326,12,0,1,1,JE326-12
JE326,13,0,0,1,JE326-13
JE326,14,0,0,10,JE326-14
JE326,15,0,0,1,JE326-15
JE326,16,0,0,10,JE326-16
JE326,17,0,0,1,JE326-17
JE326,18,0,1,0,JE326-18
JE326,19,0,1,0,JE326-19
JE326,20,0,0,1,JE326-20
JE326,21,0,0,1,JE326-21
JE326,22,0,0,1,JE326-22
JE326,23,0,0,1,JE326-23
JE326,24,0,1,1,JE326-24
JE326,25,0,0,1,JE326-25
JE326,26,0,0,1,JE326-26
JE326,27,0,0,10,JE326-27
JE326,28,0,0,1,JE326-28
JE326,29,0,0,10,JE326-29
JE326,30,0,1,0,JE326-30
JE326,31,0,1,1,JE326-31
JE326,32,0,1,0,JE326-32
JE326,33,0,0,10,JE326-33
JE327,1,0,1,0,JE327-1
JE327,2,0,1,0,JE327-2
JE327,3,0,1,0,JE327-3
JE327,4,0,1,0,JE327-4
JE327,5,0,0,1,JE327-5
JE327,6,0,1,10,JE327-6
JE327,7,0,1,0,JE327-7
JE327,8,0,1,0,JE327-8
JE327,9,0,1,0,JE327-9
DE439,1,0,1,0,DE439-1
DE439,2,0,1,0,DE439-2
DE405,1,1,0,0,DE405-1
DE429,1,1,1,10,DE429-1
DE429,2,0,1,0,DE429-2
DE429,3,1,1,0,DE429-3
DE429,4,0,1,0,DE429-4
DE367,1,0,0,10,DE367-1
