sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S32SL1,sealice_id,finescale,U32,mangled Cal. chal B,LPortner,AV,NA
S33SL1,sealice_id,finescale,U33,1 Caligus Chal A severly destroyed,LPortner,AV,NA
S34SL1,sealice_id,finescale,U34,NA,LPortner,AV,NA
S204SL1,sealice_id,finescale,U204,NA,LPortner,AV,NA
S205SL1,sealice_id,finescale,U205,NA,LPortner,AV,NA
S206SL1,sealice_id,finescale,U206,NA,LPortner,AV,NA
S211SL1,sealice_id,finescale,U211,NA,LPortner,AV,NA
S212SL1,sealice_id,finescale,U212,NA,LPortner,AV,NA
S198SL1,sealice_id,finescale,U198,NA,LPortner,AV,NA
S199SL1,sealice_id,finescale,U199,NA,LPortner,AV,NA
S195SL1,sealice_id,finescale,U195,NA,LPortner,AV,NA
S147SL1,sealice_id,finescale,U147,NA,LPortner,AV,NA
S149SL1,sealice_id,finescale,U149,NA,LPortner,AV,NA
S157SL1,sealice_id,finescale,U157,NA,LPortner,AV,NA
S132SL1,sealice_id,finescale,U132,NA,LPortner,AV,NA
S01SL1,sealice_id,finescale,U01,NA,LPortner,AV,NA
S02SL1,sealice_id,finescale,U02,NA,LPortner,AV,NA
S03SL1,sealice_id,finescale,U03,NA,LPortner,AV,NA
S04SL1,sealice_id,finescale,U04,NA,LPortner,AV,NA
S05SL1,sealice_id,finescale,U05,NA,LPortner,AV,NA
S11SL1,sealice_id,finescale,U11,NA,LPortner,AV,NA
S12SL1,sealice_id,finescale,U12,NA,LPortner,AV,NA
S13SL1,sealice_id,finescale,U13,NA,LPortner,AV,NA
S14SL1,sealice_id,finescale,U14,NA,LPortner,AV,NA
S15SL1,sealice_id,finescale,U15,NA,LPortner,AV,NA
S08SL1,sealice_id,finescale,U08,NA,LPortner,AV,NA
S09SL1,sealice_id,finescale,U09,NA,LPortner,AV,NA
S22SL1,sealice_id,finescale,U22,NA,LPortner,AV,NA
S23SL1,sealice_id,finescale,U23,NA,LPortner,AV,NA
S24SL1,sealice_id,finescale,U24,NA,LPortner,AV,NA
S36SL1,sealice_id,finescale,U36,NA,LPortner,AV,NA
S18SL1,sealice_id,finescale,U18,NA,LPortner,AV,NA
S190SL1,sealice_id,finescale,U190,NA,LPortner,AV,NA
S196SL1,sealice_id,finescale,U196,NA,LPortner,AV,NA
S110SL1,sealice_id,finescale,U110,NA,LPortner,AV,NA
S131SL1,sealice_id,finescale,U131,NA,LPortner,AV,NA
S1051SL1,sealice_id,finescale,U1051,NA,LPortner,AV,NA
S1315SL1,sealice_id,finescale,U1315,NA,LPortner,AV,NA
S1392SL1,sealice_id,finescale,U1392,NA,LPortner,AV,NA
S1188SL1,sealice_id,finescale,U1188,NA,LPortner,AV,NA
S1385SL1,sealice_id,finescale,U1385,NA,LPortner,AV,NA
S1386SL1,sealice_id,finescale,U1386,NA,LPortner,AV,NA
S1389SL1,sealice_id,finescale,U1389,NA,LPortner,AV,NA
S1398SL1,sealice_id,finescale,U1398,NA,LPortner,AV,NA
S1394SL1,sealice_id,finescale,U1394,NA,LPortner,AV,NA
S1190SL1,sealice_id,finescale,U1190,NA,LPortner,AV,NA
S1405SL1,sealice_id,finescale,U1405,NA,LPortner,AV,NA
S1401SL1,sealice_id,finescale,U1401,NA,LPortner,AV,NA
S1387SL1,sealice_id,finescale,U1387,NA,LPortner,AV,NA
S1396SL1,sealice_id,finescale,U1396,NA,LPortner,AV,NA
S1402SL1,sealice_id,finescale,U1402,NA,LPortner,AV,NA
S1388SL1,sealice_id,finescale,U1388,NA,LPortner,AV,NA
S1403SL1,sealice_id,finescale,U1403,NA,LPortner,AV,NA
S1404SL1,sealice_id,finescale,U1404,NA,LPortner,AV,NA
S1390SL1,sealice_id,finescale,U1390,NA,LPortner,AV,NA
S1406SL1,sealice_id,finescale,U1406,NA,LPortner,AV,NA
S1407SL1,sealice_id,finescale,U1407,NA,LPortner,AV,NA
S1412SL1,sealice_id,finescale,U1412,NA,LPortner,AV,NA
S1376SL1,sealice_id,finescale,U1376,NA,LPortner,AV,NA
S1408SL1,sealice_id,finescale,U1408,NA,LPortner,AV,NA
S1399SL1,sealice_id,finescale,U1399,NA,LPortner,AV,NA
S1400SL1,sealice_id,finescale,U1400,NA,LPortner,AV,NA
S16SL1,sealice_id,finescale,U16,1 louse taken seems to be different species?,LPortner,AV,NA
S07SL1,sealice_id,finescale,U07,NA,LPortner,AV,NA
S21SL1,sealice_id,finescale,U21,NA,LPortner,AV,NA
S17SL1,sealice_id,finescale,U17,NA,LPortner,AV,NA
S10SL1,sealice_id,finescale,U10,NA,LPortner,AV,NA
S35SL1,sealice_id,finescale,U35,1 otolith,LPortner,AV,NA
S42SL1,sealice_id,finescale,U42,NA,LPortner,AV,NA
S25SL1,sealice_id,finescale,U25,NA,LPortner,AV,NA
S43SL1,sealice_id,finescale,U43,NA,LPortner,AV,NA
S26SL1,sealice_id,finescale,U26,NA,LPortner,AV,NA
S37SL1,sealice_id,finescale,U37,NA,LPortner,AV,NA
S45SL1,sealice_id,finescale,U45,NA,LPortner,AV,NA
S27SL1,sealice_id,finescale,U27,NA,LPortner,AV,NA
S38SL1,sealice_id,finescale,U38,NA,LPortner,AV,NA
S46SL1,sealice_id,finescale,U46,NA,LPortner,AV,NA
S19SL1,sealice_id,finescale,U19,NA,LPortner,AV,NA
S28SL1,sealice_id,finescale,U28,NA,LPortner,AV,NA
S47SL1,sealice_id,finescale,U47,NA,LPortner,AV,NA
S29SL1,sealice_id,finescale,U29,NA,LPortner,AV,NA
S40SL1,sealice_id,finescale,U40,NA,LPortner,AV,NA
S30SL1,sealice_id,finescale,U30,NA,LPortner,AV,NA
S48SL1,sealice_id,finescale,U48,NA,LPortner,AV,NA
S51SL1,sealice_id,finescale,U51,NA,LPortner,AV,NA
S61SL1,sealice_id,finescale,U61,2 louse destroyed in vial,LPortner,AV,NA
S49SL1,sealice_id,finescale,U49,NA,LPortner,AV,NA
S52SL1,sealice_id,finescale,U52,NA,LPortner,AV,NA
S62SL1,sealice_id,finescale,U62,NA,LPortner,AV,NA
S50SL1,sealice_id,finescale,U50,1 female Cal Chal B mangled,LPortner,AV,NA
S71SL1,sealice_id,finescale,U71,NA,LPortner,AV,NA
S72SL1,sealice_id,finescale,U72,NA,LPortner,AV,NA
S53SL1,sealice_id,finescale,U53,NA,LPortner,AV,NA
S54SL1,sealice_id,finescale,U54,NA,LPortner,AV,NA
S63SL1,sealice_id,finescale,U63,NA,LPortner,AV,NA
S73SL1,sealice_id,finescale,U73,NA,LPortner,AV,NA
S55SL1,sealice_id,finescale,U55,NA,LPortner,AV,NA
S74SL1,sealice_id,finescale,U74,NA,LPortner,AV,NA
S64SL1,sealice_id,finescale,U64,NA,LPortner,AV,NA
S75SL1,sealice_id,finescale,U75,NA,LPortner,AV,NA
S56SL1,sealice_id,finescale,U56,NA,LPortner,AV,NA
S65SL1,sealice_id,finescale,U65,NA,LPortner,AV,NA
S66SL1,sealice_id,finescale,U66,NA,LPortner,AV,NA
S57SL1,sealice_id,finescale,U57,"1 squished adult, unk. Species",LPortner,AV,NA
S76SL1,sealice_id,finescale,U76,NA,LPortner,AV,NA
S20SL1,sealice_id,finescale,U20,NA,LPortner,AV,NA
S58SL1,sealice_id,finescale,U58,NA,LPortner,AV,NA
S77SL1,sealice_id,finescale,U77,NA,LPortner,AV,NA
S81SL1,sealice_id,finescale,U81,NA,LPortner,AV,NA
S504SL1,sealice_id,finescale,U504,NA,LPortner,AV,NA
S513SL1,sealice_id,finescale,U513,NA,LPortner,AV,NA
S455SL1,sealice_id,finescale,U455,NA,LPortner,AV,NA
S514SL1,sealice_id,finescale,U514,NA,LPortner,AV,NA
S515SL1,sealice_id,finescale,U515,NA,LPortner,AV,NA
S456SL1,sealice_id,finescale,U456,NA,LPortner,AV,NA
S505SL1,sealice_id,finescale,U505,NA,LPortner,AV,NA
S506SL1,sealice_id,finescale,U506,NA,LPortner,AV,NA
S516SL1,sealice_id,finescale,U516,NA,LPortner,AV,NA
S457SL1,sealice_id,finescale,U457,NA,LPortner,AV,NA
S458SL1,sealice_id,finescale,U458,NA,LPortner,AV,NA
S517SL1,sealice_id,finescale,U517,NA,LPortner,AV,NA
S507SL1,sealice_id,finescale,U507,NA,LPortner,AV,NA
S518SL1,sealice_id,finescale,U518,NA,LPortner,AV,NA
S459SL1,sealice_id,finescale,U459,NA,LPortner,AV,NA
S519SL1,sealice_id,finescale,U519,NA,LPortner,AV,NA
S520SL1,sealice_id,finescale,U520,NA,LPortner,AV,NA
S508SL1,sealice_id,finescale,U508,NA,LPortner,AV,NA
S460SL1,sealice_id,finescale,U460,NA,LPortner,AV,NA
S509SL1,sealice_id,finescale,U509,NA,LPortner,AV,NA
S510SL1,sealice_id,finescale,U510,NA,LPortner,AV,NA
S531SL1,sealice_id,finescale,U531,NA,LPortner,AV,NA
S521SL1,sealice_id,finescale,U521,NA,LPortner,AV,NA
S541SL1,sealice_id,finescale,U541,NA,LPortner,AV,NA
S522SL1,sealice_id,finescale,U522,NA,LPortner,AV,NA
S542SL1,sealice_id,finescale,U542,NA,LPortner,AV,NA
S536SL1,sealice_id,finescale,U536,NA,LPortner,AV,NA
S547SL1,sealice_id,finescale,U547,NA,LPortner,AV,NA
S537SL1,sealice_id,finescale,U537,NA,LPortner,AV,NA
S529SL1,sealice_id,finescale,U529,NA,LPortner,AV,NA
S548SL1,sealice_id,finescale,U548,NA,LPortner,AV,NA
S549SL1,sealice_id,finescale,U549,NA,LPortner,AV,NA
S538SL1,sealice_id,finescale,U538,NA,LPortner,AV,NA
S550SL1,sealice_id,finescale,U550,NA,LPortner,AV,NA
S539SL1,sealice_id,finescale,U539,NA,LPortner,AV,NA
S551SL1,sealice_id,finescale,U551,NA,LPortner,AV,NA
S561SL1,sealice_id,finescale,U561,NA,LPortner,AV,NA
S552SL1,sealice_id,finescale,U552,NA,LPortner,AV,NA
S540SL1,sealice_id,finescale,U540,NA,LPortner,AV,NA
S553SL1,sealice_id,finescale,U553,NA,LPortner,AV,NA
S562SL1,sealice_id,finescale,U562,NA,LPortner,AV,NA
S554SL1,sealice_id,finescale,U554,NA,LPortner,AV,NA
S581SL1,sealice_id,finescale,U581,NA,LPortner,AV,NA
S582SL1,sealice_id,finescale,U582,NA,LPortner,AV,NA
S564SL1,sealice_id,finescale,U564,NA,LPortner,AV,NA
S583SL1,sealice_id,finescale,U583,NA,LPortner,AV,NA
S555SL1,sealice_id,finescale,U555,NA,LPortner,AV,NA
S563SL1,sealice_id,finescale,U563,NA,LPortner,AV,NA
S556SL1,sealice_id,finescale,U556,NA,LPortner,AV,NA
S565SL1,sealice_id,finescale,U565,NA,LPortner,AV,NA
S560SL1,sealice_id,finescale,U560,NA,LPortner,AV,NA
S587SL1,sealice_id,finescale,U587,NA,LPortner,AV,NA
S571SL1,sealice_id,finescale,U571,NA,LPortner,AV,NA
S572SL1,sealice_id,finescale,U572,NA,LPortner,AV,NA
S588SL1,sealice_id,finescale,U588,NA,LPortner,AV,NA
S573SL1,sealice_id,finescale,U573,NA,LPortner,AV,NA
S589SL1,sealice_id,finescale,U589,NA,LPortner,AV,NA
S574SL1,sealice_id,finescale,U574,NA,LPortner,AV,NA
S575SL1,sealice_id,finescale,U575,NA,LPortner,AV,NA
S570SL1,sealice_id,finescale,U570,NA,LPortner,AV,NA
S592SL1,sealice_id,finescale,U592,NA,LPortner,AV,NA
S579SL1,sealice_id,finescale,U579,NA,LPortner,AV,NA
S631SL1,sealice_id,finescale,U631,NA,LPortner,AV,NA
S580SL1,sealice_id,finescale,U580,NA,LPortner,AV,NA
S632SL1,sealice_id,finescale,U632,NA,LPortner,AV,NA
S594SL1,sealice_id,finescale,U594,NA,LPortner,AV,NA
S611SL1,sealice_id,finescale,U611,NA,LPortner,AV,NA
S633SL1,sealice_id,finescale,U633,NA,LPortner,AV,NA
S595SL1,sealice_id,finescale,U595,NA,LPortner,AV,NA
S612SL1,sealice_id,finescale,U612,NA,LPortner,AV,NA
S634SL1,sealice_id,finescale,U634,NA,LPortner,AV,NA
S596SL1,sealice_id,finescale,U596,"3 lice in this vial are from U597 (2 Caligus Chal As, and 1 potential Caligus Chal B",LPortner,AV,NA
S600SL1,sealice_id,finescale,U600,NA,LPortner,AV,NA
S616SL1,sealice_id,finescale,U616,NA,LPortner,AV,NA
S622SL1,sealice_id,finescale,U622,NA,LPortner,AV,NA
S623SL1,sealice_id,finescale,U623,NA,LPortner,AV,NA
S643SL1,sealice_id,finescale,U643,NA,LPortner,AV,NA
S619SL1,sealice_id,finescale,U619,NA,LPortner,AV,NA
S644SL1,sealice_id,finescale,U644,NA,LPortner,AV,NA
S645SL1,sealice_id,finescale,U645,NA,LPortner,AV,NA
S652SL1,sealice_id,finescale,U652,NA,LPortner,AV,NA
S620SL1,sealice_id,finescale,U620,NA,LPortner,AV,NA
S653SL1,sealice_id,finescale,U653,NA,LPortner,AV,NA
S646SL1,sealice_id,finescale,U646,NA,LPortner,AV,NA
S661SL1,sealice_id,finescale,U661,NA,LPortner,AV,NA
S648SL1,sealice_id,finescale,U648,NA,LPortner,AV,NA
S662SL1,sealice_id,finescale,U662,Mangled Cal chab B in vial (in a few pieces),LPortner,AV,NA
S659SL1,sealice_id,finescale,U659,NA,LPortner,AV,NA
S664SL1,sealice_id,finescale,U664,NA,LPortner,AV,NA
S672SL1,sealice_id,finescale,U672,NA,LPortner,AV,NA
S660SL1,sealice_id,finescale,U660,NA,LPortner,AV,NA
