hkg_Alert,Unique,ufn,Alternate,Prog,Species,Trip,Location,SWFW,Gear,Year,Date,SEASON1,Stock,Histology,SmAd,HW,HatcheryWild,Set,STATION,STATION_NAME,Length,Mass,Sex,Comments,Comments2,Dissection Comments,catch_R,Catch_Sub_region,Catch_Region,Latitude,Longitude,Unique1,Tissue,LOD,Value,ae_sal,Arena1,arena2,ascv,c_b_cys,ce_sha,cov,cr_sal,ctv,de_sal,fa_mar,fl_psy,hkg,ic_hof,ic_mul,ihnv,ku_thy,lo_sal,mitov,my_arc,my_ins,na_sal,ne_per,ortho,pa_kab,pa_min,pa_pse,pa_ther,pch_sal,pisck_sal,prv,pspv,re_sal,reov,rlo,sch,SGPV,smallUK,sp_des,te_bry,te_mar,toti,ven,ver,vhsv,vi_ang,vi_sal,ye_ruc_glnA
OK,2016-0052-112-U3638,U3638,2016-06-01-D22-CU-1,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-36,D22,McMullen Point,,,,At Hakai Quadra,,,P013,DI,VIN,50.244069,-125.397371,2016-0052-112-U3638,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.36278601,999,999,999,999,999,999,999,999,999,999,999,21.66101345,999,21.58669019,23.00898505,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3639,U3639,2016-06-01-D22-CU-2,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-36,D22,McMullen Point,,,,At Hakai Quadra,,,P013,DI,VIN,50.244069,-125.397371,2016-0052-112-U3639,Mixed,NO,AvgCT,999,999,33.35299649,999,16.17830254,999,999,999,999,999,999,999,12.87233325,999,999,999,999,999,999,999,999,999,999,999,5.321109628,999,999,29.48397679,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3640,U3640,2016-06-01-D22-CU-9,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-36,D22,McMullen Point,,,,At Hakai Quadra,,,P013,DI,VIN,50.244069,-125.397371,2016-0052-112-U3640,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,13.61911373,999,999,999,999,999,999,999,999,999,999,999,21.3035864,29.27129241,21.53996912,999,999,999,999,999,999,999,999,27.5705805,999,999,999,999,-999,999,999,999,999,999,999,999
OK,2016-0052-112-U3641,U3641,2016-06-01-D22-CU-10,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-36,D22,McMullen Point,,,,At Hakai Quadra,,,P013,DI,VIN,50.244069,-125.397371,2016-0052-112-U3641,Mixed,NO,AvgCT,999,999,20.45368894,999,999,999,999,999,999,999,999,999,12.50879223,999,999,999,999,999,999,16.10495803,999,999,999,999,21.88093841,-999,-999,24.27044332,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3642,U3642,2016-06-01-D22-CU-3,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-36,D22,McMullen Point,,,,At Hakai Quadra,,,P013,DI,VIN,50.244069,-125.397371,2016-0052-112-U3642,Mixed,NO,AvgCT,999,999,999,999,28.25393365,999,999,999,999,999,999,999,12.67121958,999,999,999,999,999,999,999,999,999,999,999,17.26045133,999,20.65754021,22.17663812,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3643,U3643,2016-06-02-J09-CU-2,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3643,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.86483019,999,999,999,999,999,999,23.45497536,999,999,999,999,5.25813645,999,999,26.27552109,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3644,U3644,2016-06-02-J09-CU-9,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3644,Mixed,NO,AvgCT,999,999,999,999,21.73684029,999,999,999,999,999,999,999,12.96563566,999,999,999,999,999,999,999,999,999,999,999,24.20428008,999,20.7736259,22.32322608,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3645,U3645,2016-06-02-J09-CU-6,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3645,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.90406134,999,999,999,999,18.53512822,999,999,999,999,999,999,13.08041022,999,999,24.48821896,999,999,999,999,999,999,999,23.61138961,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3646,U3646,2016-06-02-J09-CU-4,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3646,Mixed,NO,AvgCT,999,999,999,999,17.35001098,999,999,999,999,999,999,999,12.64000632,999,999,999,999,999,999,999,999,999,999,999,7.481394981,999,999,30.17285419,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3647,U3647,2016-06-02-J09-CU-3,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3647,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.77044376,999,999,999,999,999,999,999,999,999,999,999,21.85649305,999,20.58245982,20.87684237,999,999,999,999,999,999,999,28.11995972,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3648,U3648,2016-06-02-J09-CU-1,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3648,Mixed,NO,AvgCT,999,999,999,999,18.30560247,999,999,999,999,999,999,999,12.96703595,999,999,999,999,999,999,999,999,999,999,999,19.78937789,999,21.24277826,22.93138352,999,999,999,999,999,999,999,23.99907648,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3649,U3649,2016-06-02-J09-CU-7,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3649,Mixed,NO,AvgCT,999,999,31.08892816,999,999,999,999,999,999,999,999,999,13.64504433,999,999,999,999,999,999,26.29032261,999,999,999,999,19.62465249,999,21.26133147,22.70094561,999,999,999,999,999,999,999,28.80926617,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3650,U3650,2016-06-02-J09-CU-8,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3650,Mixed,NO,AvgCT,999,999,999,999,17.45863243,999,999,999,999,999,999,999,12.99335679,999,999,999,25.54015125,999,999,999,999,999,999,999,23.28549283,999,999,18.60988952,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3651,U3651,2016-06-02-J09-CU-10,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3651,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.90942534,999,999,999,999,999,999,999,999,999,999,999,19.53257546,999,999,24.98774512,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3652,U3652,2016-06-02-J09-CU-5,Hakai,Chum,,,SW,,2016,2016-06-02,Summer,,,Smolt,,Wild,2016-0052-S-39,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3652,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.32735611,999,999,999,999,999,999,16.9627938,999,999,999,999,23.2384586,999,21.32162453,22.49567241,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3653,U3653,2016-06-01-J02-CU-1,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3653,Mixed,NO,AvgCT,999,999,999,999,28.86867748,999,999,999,999,999,999,999,13.67487959,999,999,999,999,999,999,28.25891596,999,999,999,999,23.56985085,999,999,22.63543242,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3654,U3654,2016-06-01-J02-CU-9,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3654,Mixed,NO,AvgCT,999,999,999,999,17.7962552,999,999,999,999,999,999,999,13.58188286,999,999,999,999,999,999,18.84478333,999,999,999,999,18.41920748,999,999,24.75571493,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3655,U3655,2016-06-01-J02-CU-10,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3655,Mixed,NO,AvgCT,999,999,999,999,20.48778046,999,999,999,999,999,999,999,13.15607634,999,999,999,24.1612046,999,999,999,999,999,999,999,21.04423201,27.71624837,999,21.26983677,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3656,U3656,2016-06-01-J02-CU-6,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3656,Mixed,NO,AvgCT,999,999,999,999,15.50232627,999,999,999,999,999,999,999,13.6042164,999,999,999,999,999,999,999,999,999,999,999,13.3068947,999,999,26.42092702,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3657,U3657,2016-06-01-J02-CU-5,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3657,Mixed,NO,AvgCT,999,999,13.49716587,999,20.86172096,999,999,999,999,999,999,999,12.42222782,999,999,999,999,999,999,21.31939712,999,999,999,999,18.38407857,26.89443965,999,22.25196231,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3658,U3658,2016-06-01-J02-CU-3,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3658,Mixed,NO,AvgCT,999,999,999,999,23.17186055,999,999,999,999,999,999,999,12.81935233,999,999,999,999,999,999,999,999,999,999,999,28.85819874,999,999,21.50310781,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3659,U3659,2016-06-01-J02-CU-7,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3659,Mixed,NO,AvgCT,999,999,999,999,14.36848472,999,999,999,999,999,999,999,13.04910531,999,999,999,999,999,999,999,999,999,999,999,24.80331847,999,999,23.4752695,999,999,999,999,999,999,999,29.59993571,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3660,U3660,2016-06-01-J02-CU-2,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3660,Mixed,NO,AvgCT,999,999,999,999,19.09080223,999,999,999,999,999,999,999,12.99003623,999,999,999,22.9860983,999,999,999,999,999,999,999,28.34010956,999,999,21.54895838,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3661,U3661,2016-06-01-J02-CU-4,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3661,Mixed,NO,AvgCT,999,999,999,999,16.0917257,999,999,999,999,999,999,999,13.88857318,999,999,999,999,999,999,999,999,999,999,999,25.10899608,999,999,23.00327837,999,999,999,999,999,999,999,28.21642633,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3662,U3662,2016-06-01-J02-CU-8,Hakai,Chum,,,SW,,2016,2016-06-01,Summer,,,Smolt,,Wild,2016-0052-S-35,J02,Swanson Island,,,,At Hakai Quadra,,,P012,JS,VIN,50.599433,-126.703364,2016-0052-112-U3662,Mixed,NO,AvgCT,999,999,999,999,29.30710093,999,999,999,999,999,999,999,12.9031297,999,999,999,999,999,999,999,999,999,999,999,26.9183273,999,999,24.6441789,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3663,U3663,2016-05-22-J09-CU-1,Hakai,Chum,,,SW,,2016,2016-05-22,Spring,,,Smolt,,Wild,2016-0052-S-16,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3663,Mixed,NO,AvgCT,999,999,28.9291801,999,999,999,999,999,999,999,999,999,12.71314381,999,999,999,999,999,999,999,999,999,999,999,20.50003286,27.30670021,999,22.20793368,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3664,U3664,2016-05-22-J09-CU-5,Hakai,Chum,,,SW,,2016,2016-05-22,Spring,,,Smolt,,Wild,2016-0052-S-16,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3664,Mixed,NO,AvgCT,999,999,17.45902275,999,27.02578251,999,999,999,999,999,999,999,13.15794307,999,999,999,999,999,999,26.83469722,999,999,999,999,13.24701309,29.25047425,999,28.36330668,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2016-0052-112-U3665,U3665,2016-05-22-J09-CU-7,Hakai,Chum,,,SW,,2016,2016-05-22,Spring,,,Smolt,,Wild,2016-0052-S-16,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2016-0052-112-U3665,Mixed,NO,AvgCT,999,999,999,999,28.56873641,999,999,999,999,999,999,999,12.50041835,999,999,999,999,999,999,22.96699881,999,999,999,999,18.10970104,28.70090355,24.45727262,22.61494047,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
