eventID,occurrenceID,measurementType,measurementValue,measurementTypeID,measurementUnit,measurementUnitID
JE101N1,hakai-jsp-U01,Fork_length,118,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U02,Fork_length,128,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U11,Fork_length,132,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U12,Fork_length,143,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U03,Fork_length,134,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U13,Fork_length,122,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U04,Fork_length,132,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U05,Fork_length,114,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U14,Fork_length,139,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE101N1,hakai-jsp-U15,Fork_length,147,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U31,Fork_length,96,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U32,Fork_length,138,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U07,Fork_length,113,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U08,Fork_length,111,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U09,Fork_length,115,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U21,Fork_length,96,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U22,Fork_length,127,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U16,Fork_length,110,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U33,Fork_length,131,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U34,Fork_length,140,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U35,Fork_length,108,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U10,Fork_length,104,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U41,Fork_length,110,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U42,Fork_length,95,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U43,Fork_length,95,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U23,Fork_length,118,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U24,Fork_length,105,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U25,Fork_length,95,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U36,Fork_length,101,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE102N2,hakai-jsp-U17,Fork_length,109,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
JE109N3,hakai-jsp-U45,Fork_length,118,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,Millimetres,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
