Cast PK,Hakai ID,Filename,CTD model,CTD serial number,CTD firmware version,Cruise,Station,Drop number,Start time,Bottom time,Drop time (s),Drop depth (m),Target depth (m),Latitude,Longitude,Operators,Comments,Cast Type,Sensors Submerged,Water Depth (m),Soak Start,Soak End,Weather
15261,018066_2020-06-19T19:03:32.334Z,018066_20200619_1307,XRX-620,018066,6.81,DISOCKEYE,BOLDISLAND,1,2020-06-19T12:03:32Z,2020-06-19T12:04:21Z,49,65.79163441822078,55,undefined,undefined,"julian.gan,nick.sinclair,tim.vanderstap",undefined,Dynamic,Full,null,Invalid date,Invalid date,"{""tide"":null,""sky_cover"":null,""wind_speed"":null,""swell_height"":null,""weather_notes"":null}"
11856,010856_2016-06-24T19:19:31.166Z,010856_20160624_1632,XR-620,010856,6.81,DISOCKEYE,D04,3,2016-06-24T12:18:59Z,2016-06-24T12:19:56Z,57,10.471251108901583,10,undefined,undefined,"Brianna Knowles,Luke Rogers,Natalie Mahara",undefined,null,null,null,Invalid date,Invalid date,null
11850,010856_2016-06-23T13:45:11.000Z,010856_20160623_1526,XR-620,010856,6.81,DISOCKEYE,D07,2,2016-06-23T06:45:11Z,2016-06-23T06:45:44Z,33,30.67349552103652,30,undefined,undefined,"Luke Rogers,Sam James,Tim Spesivy",undefined,null,null,null,Invalid date,Invalid date,null
11860,010856_2016-07-05T17:32:57.333Z,010856_20160705_1357,XR-620,010856,6.81,DISOCKEYE,D07,1,2016-07-05T10:32:57Z,2016-07-05T10:33:34Z,37,35.11834262444669,35,undefined,undefined,"Luke Rogers,Sam James,Tim Spesivy",undefined,null,null,null,Invalid date,Invalid date,null
12138,065679_2018-05-14T16:59:57.000Z,065679_20180514_1315,RBRconcerto,065679,12.04,DISOCKEYE,D07,2,2018-05-14T10:02:58Z,2018-05-14T10:03:40Z,42,30.996633779012488,40,undefined,undefined,"brett.johnson,carly.janusson,katie.davidson,sara.tremblayb",undefined,null,null,null,Invalid date,Invalid date,null
15203,018066_2020-06-01T20:41:44.833Z,018066_20200601_1438,XRX-620,018066,6.81,DISOCKEYE,D07,2,2020-06-01T13:41:45Z,2020-06-01T13:41:51Z,7,7.1565396586886925,5,undefined,undefined,"julian.gan,krystal.bachen,nick.sinclair,tim.vanderstap",undefined,Dynamic,Full,null,Invalid date,Invalid date,"{""tide"":null,""sky_cover"":""partly_cloudy"",""wind_speed"":""10"",""swell_height"":""0.5"",""weather_notes"":null}"
11852,010856_2016-06-23T15:35:26.667Z,010856_20160623_1526,XR-620,010856,6.81,DISOCKEYE,D08,2,2016-06-23T08:35:26Z,2016-06-23T08:37:08Z,102,80.71200187463737,80,undefined,undefined,"Luke Rogers,Sam James,Tim Spesivy",undefined,null,null,null,Invalid date,Invalid date,null
11858,010856_2016-07-05T14:25:43.333Z,010856_20160705_1357,XR-620,010856,6.81,DISOCKEYE,D08,2,2016-07-05T07:25:43Z,2016-07-05T07:27:51Z,128,102.08573654831989,100,undefined,undefined,"Luke Rogers,Sam James,Tim Spesivy",undefined,null,null,null,Invalid date,Invalid date,null
8953,010856_2017-05-11T20:19:06.833Z,010856_20170511_1510,XR-620,010856,6.81,DISOCKEYE,D08,3,2017-05-11T13:19:06Z,2017-05-11T13:20:29Z,83,27.44141583678409,30,undefined,undefined,"brett.johnson,carly.janusson,julian.gan,Sam James",undefined,null,null,null,Invalid date,Invalid date,null
9007,010856_2017-05-17T15:05:31.500Z,010856_20170517_1355,XR-620,010856,6.81,DISOCKEYE,D08,2,2017-05-17T08:05:31Z,2017-05-17T08:07:04Z,93,89.28391953086559,90,undefined,undefined,"brett.johnson,julian.gan,luke.rogers",undefined,null,null,null,Invalid date,Invalid date,null
9096,010856_2017-05-26T14:51:52.333Z,010856_20170526_1507,XR-620,010856,6.81,DISOCKEYE,D08,2,2017-05-26T07:51:52Z,2017-05-26T07:53:41Z,109,78.13992032999369,75,undefined,undefined,"brett.johnson,carly.janusson,julian.gan,luke.rogers",undefined,null,null,null,Invalid date,Invalid date,null
9171,010856_2017-05-31T17:38:20.833Z,010856_20170531_1438,XR-620,010856,6.81,DISOCKEYE,D08,2,2017-05-31T10:38:21Z,2017-05-31T10:39:30Z,69,78.41737392221772,80,undefined,undefined,"brenna.collicutt,julian.gan,luke.rogers,sam.james",undefined,null,null,null,Invalid date,Invalid date,null
