sample_id,sample_type,ufn,sample_comments,analyzing_lab
SXM5104,extra_muscle,U1721,NA,NA
SXM5105,extra_muscle,U1722,NA,NA
SXM5106,extra_muscle,U1723,NA,NA
SXM5107,extra_muscle,U1724,NA,NA
SXM5108,extra_muscle,U1725,NA,NA
SXM5109,extra_muscle,U1726,NA,NA
SXM5110,extra_muscle,U1727,NA,NA
SXM5111,extra_muscle,U1728,NA,NA
SXM5112,extra_muscle,U1729,NA,NA
SXM5113,extra_muscle,U1730,NA,NA
SXM5114,extra_muscle,U1751,NA,NA
SXM5115,extra_muscle,U1752,NA,NA
SXM5116,extra_muscle,U1753,NA,NA
SXM5117,extra_muscle,U1754,NA,NA
SXM5118,extra_muscle,U1755,NA,NA
SXM5119,extra_muscle,U1756,NA,NA
SXM5120,extra_muscle,U1757,NA,NA
SXM5121,extra_muscle,U1758,NA,NA
SXM5122,extra_muscle,U1759,NA,NA
SXM5123,extra_muscle,U1760,NA,NA
SXM5124,extra_muscle,U1791,NA,NA
SXM5125,extra_muscle,U1792,NA,NA
SXM5126,extra_muscle,U1793,NA,NA
SXM5127,extra_muscle,U1794,NA,NA
SXM5128,extra_muscle,U1795,NA,NA
SXM5129,extra_muscle,U1796,NA,NA
SXM5130,extra_muscle,U1797,NA,NA
SXM5131,extra_muscle,U1798,NA,NA
SXM5132,extra_muscle,U1799,NA,NA
SXM5133,extra_muscle,U1800,NA,NA
SXM5134,extra_muscle,U1871,NA,NA
SXM5135,extra_muscle,U1872,NA,NA
SXM5136,extra_muscle,U1873,NA,NA
SXM5137,extra_muscle,U1874,NA,NA
SXM5138,extra_muscle,U1875,NA,NA
SXM5139,extra_muscle,U1881,NA,NA
SXM5140,extra_muscle,U1882,NA,NA
SXM5141,extra_muscle,U1883,NA,NA
SXM5142,extra_muscle,U1884,NA,NA
SXM5143,extra_muscle,U1885,NA,NA
SXM5144,extra_muscle,U2191,NA,NA
SXM5145,extra_muscle,U2192,NA,NA
SXM5146,extra_muscle,U2193,NA,NA
SXM5147,extra_muscle,U2194,NA,NA
SXM5148,extra_muscle,U2195,NA,NA
SXM5149,extra_muscle,U2196,NA,NA
SXM5150,extra_muscle,U2197,NA,NA
SXM5151,extra_muscle,U2198,NA,NA
SXM5152,extra_muscle,U2199,NA,NA
SXM5153,extra_muscle,U2200,NA,NA
SXM4786,extra_muscle,U4386,Stored in -20 overnight,NA
SXM4787,extra_muscle,U4387,Stored at -20 overnight,NA
SXM4788,extra_muscle,U4388,NA,NA
SXM4789,extra_muscle,U4389,Stored at -20 overnight,NA
SXM4791,extra_muscle,U4391,NA,NA
SXM4792,extra_muscle,U4392,NA,NA
SXM4884,extra_muscle,U4484,Stored at -20 overnight,NA
SXM4885,extra_muscle,U4485,Extra muscle stored at -20 overnight,NA
SXM4886,extra_muscle,U4486,Extra muscle stored at -20 overnight,NA
SXM4887,extra_muscle,U4487,Extra muscle stored at -20 overnight,NA
SXM4888,extra_muscle,U4488,Extra muscle stored at -20 overnight,NA
SXM4924,extra_muscle,U4524,NA,NA
SXM4925,extra_muscle,U4525,NA,NA
SXM4926,extra_muscle,U4526,NA,NA
SXM4927,extra_muscle,U4527,NA,NA
SXM4928,extra_muscle,U4528,NA,NA
SXM4929,extra_muscle,U4529,NA,NA
SXM4930,extra_muscle,U4530,NA,NA
SXM4931,extra_muscle,U4531,NA,NA
SXM4932,extra_muscle,U4532,NA,NA
SXM4933,extra_muscle,U4533,NA,NA
SXM4934,extra_muscle,U4534,NA,NA
SXM4935,extra_muscle,U4535,NA,NA
SXM4936,extra_muscle,U4536,NA,NA
SXM4954,extra_muscle,U4554,NA,NA
SXM4955,extra_muscle,U4555,NA,NA
SXM4956,extra_muscle,U4556,NA,NA
SXM4957,extra_muscle,U4557,NA,NA
SXM4958,extra_muscle,U4558,NA,NA
SXM4959,extra_muscle,U4559,NA,NA
SXM4960,extra_muscle,U4560,NA,NA
SXM4961,extra_muscle,U4561,NA,NA
SXM4962,extra_muscle,U4562,NA,NA
SXM4963,extra_muscle,U4563,NA,NA
SXM4964,extra_muscle,U4564,NA,NA
SXM4965,extra_muscle,U4565,NA,NA
SXM4966,extra_muscle,U4566,NA,NA
SXM4967,extra_muscle,U4567,NA,NA
SXM4968,extra_muscle,U4568,NA,NA
SXM4969,extra_muscle,U4569,NA,NA
SXM4970,extra_muscle,U4570,NA,NA
SXM4971,extra_muscle,U4571,NA,NA
SXM4972,extra_muscle,U4572,NA,NA
SXM4973,extra_muscle,U4573,NA,NA
SXM4974,extra_muscle,U4574,NA,NA
SXM4975,extra_muscle,U4575,NA,NA
SXM4976,extra_muscle,U4576,NA,NA
SXM4977,extra_muscle,U4577,NA,NA
SXM4978,extra_muscle,U4578,NA,NA
SXM4979,extra_muscle,U4579,NA,NA
SXM4980,extra_muscle,U4580,NA,NA
SXM4981,extra_muscle,U4581,NA,NA
SXM4982,extra_muscle,U4582,NA,NA
SXM4983,extra_muscle,U4583,NA,NA
SXM4984,extra_muscle,U4584,NA,NA
SXM4988,extra_muscle,U4588,NA,NA
SXM4989,extra_muscle,U4589,NA,NA
SXM4990,extra_muscle,U4590,NA,NA
SXM4991,extra_muscle,U4591,NA,NA
SXM5009,extra_muscle,U4609,Extra muscle stored at -20 overnight,NA
SXM5010,extra_muscle,U4610,Extra muscle stored at -20 overnight,NA
SXM5011,extra_muscle,U4611,Extra muscle stored at -20 overnight,NA
SXM5012,extra_muscle,U4612,Extra muscle stored at -20 overnight,NA
SXM5013,extra_muscle,U4613,Extra muscle stored at -20 overnight,NA
SXM5014,extra_muscle,U4614,NA,NA
SXM5015,extra_muscle,U4615,NA,NA
SXM5016,extra_muscle,U4616,NA,NA
SXM5017,extra_muscle,U4617,NA,NA
SXM5018,extra_muscle,U4618,NA,NA
SXM5019,extra_muscle,U4619,NA,NA
SXM5020,extra_muscle,U4620,NA,NA
SXM5021,extra_muscle,U4621,NA,NA
SXM5022,extra_muscle,U4622,NA,NA
SXM5023,extra_muscle,U4623,NA,NA
SXM5024,extra_muscle,U4624,NA,NA
