ufn,sample_type,sample_id,sample_comments,analyzing_lab
U99,fatty_acid,S99FA1,NA,NA
U127,fatty_acid,S127FA1,NA,NA
U128,fatty_acid,S128FA1,NA,NA
U129,fatty_acid,S129FA1,NA,JGarzke_UBC
U130,fatty_acid,S130FA1,NA,NA
U200,fatty_acid,S200FA1,NA,NA
U207,fatty_acid,S207FA1,NA,NA
U208,fatty_acid,S208FA1,NA,NA
U209,fatty_acid,S209FA1,NA,NA
U210,fatty_acid,S210FA1,NA,NA
U213,fatty_acid,S213FA1,NA,NA
U214,fatty_acid,S214FA1,NA,NA
U215,fatty_acid,S215FA1,NA,NA
U216,fatty_acid,S216FA1,NA,NA
U217,fatty_acid,S217FA1,NA,NA
U218,fatty_acid,S218FA1,NA,NA
U219,fatty_acid,S219FA1,NA,NA
U220,fatty_acid,S220FA1,NA,NA
U221,fatty_acid,S221FA1,NA,NA
U222,fatty_acid,S222FA1,NA,NA
U223,fatty_acid,S223FA1,NA,JGarzke_UBC
U224,fatty_acid,S224FA1,NA,JGarzke_UBC
U225,fatty_acid,S225FA1,NA,JGarzke_UBC
U226,fatty_acid,S226FA1,NA,NA
U227,fatty_acid,S227FA1,NA,NA
U228,fatty_acid,S228FA1,NA,NA
U229,fatty_acid,S229FA1,NA,NA
U230,fatty_acid,S230FA1,NA,NA
U231,fatty_acid,S231FA1,NA,NA
U232,fatty_acid,S232FA1,NA,NA
U233,fatty_acid,S233FA1,NA,NA
U234,fatty_acid,S234FA1,NA,NA
U235,fatty_acid,S235FA1,NA,NA
U236,fatty_acid,S236FA1,NA,NA
U237,fatty_acid,S237FA1,NA,NA
U238,fatty_acid,S238FA1,NA,NA
U239,fatty_acid,S239FA1,NA,NA
U240,fatty_acid,S240FA1,NA,JGarzke_UBC
U241,fatty_acid,S241FA1,NA,NA
U242,fatty_acid,S242FA1,NA,NA
U243,fatty_acid,S243FA1,NA,NA
U244,fatty_acid,S244FA1,NA,NA
U246,fatty_acid,S246FA1,NA,JGarzke_UBC
U247,fatty_acid,S247FA1,NA,JGarzke_UBC
U248,fatty_acid,S248FA1,NA,JGarzke_UBC
U249,fatty_acid,S249FA1,NA,JGarzke_UBC
U250,fatty_acid,S250FA1,NA,JGarzke_UBC
U251,fatty_acid,S251FA1,NA,JGarzke_UBC
U252,fatty_acid,S252FA1,NA,JGarzke_UBC
U253,fatty_acid,S253FA1,NA,JGarzke_UBC
U254,fatty_acid,S254FA1,NA,JGarzke_UBC
U255,fatty_acid,S255FA1,NA,JGarzke_UBC
U256,fatty_acid,S256FA1,NA,JGarzke_UBC
U257,fatty_acid,S257FA1,NA,NA
U258,fatty_acid,S258FA1,NA,NA
U259,fatty_acid,S259FA1,NA,NA
U260,fatty_acid,S260FA1,NA,JGarzke_UBC
U261,fatty_acid,S261FA1,NA,JGarzke_UBC
U262,fatty_acid,S262FA1,NA,JGarzke_UBC
U263,fatty_acid,S263FA1,NA,NA
U264,fatty_acid,S264FA1,NA,NA
U265,fatty_acid,S265FA1,NA,NA
U266,fatty_acid,S266FA1,NA,NA
U267,fatty_acid,S267FA1,NA,NA
U268,fatty_acid,S268FA1,NA,NA
U269,fatty_acid,S269FA1,NA,NA
U270,fatty_acid,S270FA1,NA,NA
U271,fatty_acid,S271FA1,NA,NA
U272,fatty_acid,S272FA1,NA,NA
U273,fatty_acid,S273FA1,NA,NA
U274,fatty_acid,S274FA1,NA,NA
U275,fatty_acid,S275FA1,NA,NA
U276,fatty_acid,S276FA1,NA,NA
U277,fatty_acid,S277FA1,NA,NA
U278,fatty_acid,S278FA1,NA,NA
U279,fatty_acid,S279FA1,NA,NA
U280,fatty_acid,S280FA1,NA,NA
U281,fatty_acid,S281FA1,NA,NA
U284,fatty_acid,S284FA1,NA,NA
U285,fatty_acid,S285FA1,NA,NA
