sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S106ST1,stomach,U106,NA,UBC_Hunt,AV,NA
S107ST1,stomach,U107,NA,UBC_Hunt,AV,NA
S108ST1,stomach,U108,NA,UBC_Hunt,AV,NA
S109ST1,stomach,U109,NA,UBC_Hunt,AV,NA
S110ST1,stomach,U110,NA,UBC_Hunt,AV,NA
S111ST1,stomach,U111,NA,UBC_Hunt,AV,NA
S112ST1,stomach,U112,NA,UBC_Hunt,AV,NA
S113ST1,stomach,U113,NA,UBC_Hunt,AV,NA
S114ST1,stomach,U114,NA,UBC_Hunt,AV,NA
S115ST1,stomach,U115,NA,UBC_Hunt,AV,NA
S116ST1,stomach,U116,NA,UBC_Hunt,AV,NA
S117ST1,stomach,U117,NA,UBC_Hunt,AV,NA
S118ST1,stomach,U118,NA,UBC_Hunt,AV,NA
S119ST1,stomach,U119,NA,UBC_Hunt,AV,NA
S120ST1,stomach,U120,NA,UBC_Hunt,AV,NA
S121ST1,stomach,U121,NA,UBC_Hunt,AV,NA
S122ST1,stomach,U122,NA,UBC_Hunt,AV,NA
S123ST1,stomach,U123,NA,UBC_Hunt,AV,NA
S124ST1,stomach,U124,NA,UBC_Hunt,AV,NA
S125ST1,stomach,U125,NA,UBC_Hunt,AV,NA
S126ST1,stomach,U126,NA,UBC_Hunt,AV,NA
S127ST1,stomach,U127,NA,UBC_Hunt,AV,NA
S128ST1,stomach,U128,NA,UBC_Hunt,AV,NA
S129ST1,stomach,U129,NA,UBC_Hunt,AV,NA
S130ST1,stomach,U130,NA,UBC_Hunt,AV,NA
S131ST1,stomach,U131,NA,UBC_Hunt,AV,NA
S132ST1,stomach,U132,NA,UBC_Hunt,AV,NA
S133ST1,stomach,U133,NA,UBC_Hunt,AV,NA
S134ST1,stomach,U134,NA,UBC_Hunt,AV,NA
S135ST1,stomach,U135,NA,UBC_Hunt,AV,NA
S136ST1,stomach,U136,NA,UBC_Hunt,AV,NA
S137ST1,stomach,U137,NA,UBC_Hunt,AV,NA
S138ST1,stomach,U138,NA,UBC_Hunt,AV,NA
S139ST1,stomach,U139,NA,UBC_Hunt,AV,NA
S140ST1,stomach,U140,NA,UBC_Hunt,AV,NA
S141ST1,stomach,U141,NA,UBC_Hunt,AV,NA
S142ST1,stomach,U142,NA,UBC_Hunt,AV,NA
S143ST1,stomach,U143,NA,UBC_Hunt,AV,NA
S144ST1,stomach,U144,NA,UBC_Hunt,AV,NA
S145ST1,stomach,U145,NA,UBC_Hunt,AV,NA
S146ST1,stomach,U146,NA,UBC_Hunt,AV,NA
S147ST1,stomach,U147,NA,UBC_Hunt,AV,NA
S148ST1,stomach,U148,NA,UBC_Hunt,AV,NA
S149ST1,stomach,U149,NA,UBC_Hunt,AV,NA
S150ST1,stomach,U150,NA,UBC_Hunt,AV,NA
S151ST1,stomach,U151,NA,UBC_Hunt,AV,NA
S152ST1,stomach,U152,NA,UBC_Hunt,AV,NA
S153ST1,stomach,U153,NA,UBC_Hunt,AV,NA
S154ST1,stomach,U154,NA,UBC_Hunt,AV,NA
S155ST1,stomach,U155,NA,UBC_Hunt,AV,NA
S156ST1,stomach,U156,NA,UBC_Hunt,AV,NA
S157ST1,stomach,U157,NA,UBC_Hunt,AV,NA
S158ST1,stomach,U158,NA,UBC_Hunt,AV,NA
S159ST1,stomach,U159,NA,UBC_Hunt,AV,NA
S160ST1,stomach,U160,NA,UBC_Hunt,AV,NA
S161ST1,stomach,U161,NA,UBC_Hunt,AV,NA
S162ST1,stomach,U162,NA,UBC_Hunt,AV,NA
S163ST1,stomach,U163,NA,UBC_Hunt,AV,NA
S164ST1,stomach,U164,NA,UBC_Hunt,AV,NA
S165ST1,stomach,U165,NA,UBC_Hunt,AV,NA
S166ST1,stomach,U166,NA,UBC_Hunt,AV,NA
S167ST1,stomach,U167,NA,UBC_Hunt,AV,NA
S168ST1,stomach,U168,NA,UBC_Hunt,AV,NA
S169ST1,stomach,U169,NA,UBC_Hunt,AV,NA
S170ST1,stomach,U170,NA,UBC_Hunt,AV,NA
S171ST1,stomach,U171,NA,UBC_Hunt,AV,NA
S172ST1,stomach,U172,NA,UBC_Hunt,AV,NA
S174ST1,stomach,U174,NA,UBC_Hunt,AV,NA
S175ST1,stomach,U175,NA,UBC_Hunt,AV,NA
S176ST1,stomach,U176,NA,UBC_Hunt,AV,NA
S177ST1,stomach,U177,NA,UBC_Hunt,AV,NA
S178ST1,stomach,U178,NA,UBC_Hunt,AV,NA
S179ST1,stomach,U179,NA,UBC_Hunt,AV,NA
S180ST1,stomach,U180,NA,UBC_Hunt,AV,NA
S181ST1,stomach,U181,NA,UBC_Hunt,AV,NA
S182ST1,stomach,U182,NA,UBC_Hunt,AV,NA
S183ST1,stomach,U183,NA,UBC_Hunt,AV,NA
S184ST1,stomach,U184,NA,UBC_Hunt,AV,NA
S185ST1,stomach,U185,NA,UBC_Hunt,AV,NA
S186ST1,stomach,U186,NA,UBC_Hunt,AV,NA
S187ST1,stomach,U187,NA,UBC_Hunt,AV,NA
S188ST1,stomach,U188,NA,UBC_Hunt,AV,NA
S189ST1,stomach,U189,NA,UBC_Hunt,AV,NA
S190ST1,stomach,U190,NA,UBC_Hunt,AV,NA
S191ST1,stomach,U191,NA,UBC_Hunt,AV,NA
S192ST1,stomach,U192,NA,UBC_Hunt,AV,NA
S193ST1,stomach,U193,NA,UBC_Hunt,AV,NA
S194ST1,stomach,U194,NA,UBC_Hunt,AV,NA
S195ST1,stomach,U195,NA,UBC_Hunt,AV,NA
S196ST1,stomach,U196,NA,UBC_Hunt,AV,NA
S197ST1,stomach,U197,NA,UBC_Hunt,AV,NA
S198ST1,stomach,U198,NA,UBC_Hunt,AV,NA
S199ST1,stomach,U199,NA,UBC_Hunt,AV,NA
S200ST1,stomach,U200,NA,UBC_Hunt,AV,NA
S201ST1,stomach,U201,NA,UBC_Hunt,AV,NA
S202ST1,stomach,U202,NA,UBC_Hunt,AV,NA
S203ST1,stomach,U203,NA,UBC_Hunt,AV,NA
S204ST1,stomach,U204,NA,UBC_Hunt,AV,NA
S205ST1,stomach,U205,NA,UBC_Hunt,AV,NA
S206ST1,stomach,U206,NA,UBC_Hunt,AV,NA
S207ST1,stomach,U207,NA,UBC_Hunt,AV,NA
S208ST1,stomach,U208,NA,UBC_Hunt,AV,NA
S209ST1,stomach,U209,NA,UBC_Hunt,AV,NA
S210ST1,stomach,U210,NA,UBC_Hunt,AV,NA
S211ST1,stomach,U211,NA,UBC_Hunt,AV,NA
S212ST1,stomach,U212,NA,UBC_Hunt,AV,NA
S213ST1,stomach,U213,NA,UBC_Hunt,AV,NA
S214ST1,stomach,U214,NA,UBC_Hunt,AV,NA
S215ST1,stomach,U215,NA,UBC_Hunt,AV,NA
S216ST1,stomach,U216,NA,UBC_Hunt,AV,NA
S217ST1,stomach,U217,NA,UBC_Hunt,AV,NA
S218ST1,stomach,U218,NA,UBC_Hunt,AV,NA
S219ST1,stomach,U219,NA,UBC_Hunt,AV,NA
S220ST1,stomach,U220,NA,UBC_Hunt,AV,NA
S221ST1,stomach,U221,NA,UBC_Hunt,AV,NA
S222ST1,stomach,U222,NA,UBC_Hunt,AV,NA
S223ST1,stomach,U223,NA,UBC_Hunt,AV,NA
S224ST1,stomach,U224,NA,UBC_Hunt,AV,NA
S225ST1,stomach,U225,NA,UBC_Hunt,AV,NA
S226ST1,stomach,U226,NA,UBC_Hunt,AV,NA
S227ST1,stomach,U227,NA,UBC_Hunt,AV,NA
S228ST1,stomach,U228,NA,UBC_Hunt,AV,NA
S229ST1,stomach,U229,NA,UBC_Hunt,AV,NA
S230ST1,stomach,U230,NA,UBC_Hunt,AV,NA
S231ST1,stomach,U231,NA,UBC_Hunt,AV,NA
S232ST1,stomach,U232,NA,UBC_Hunt,AV,NA
S233ST1,stomach,U233,NA,UBC_Hunt,AV,NA
S234ST1,stomach,U234,NA,UBC_Hunt,AV,NA
S235ST1,stomach,U235,NA,UBC_Hunt,AV,NA
S236ST1,stomach,U236,NA,UBC_Hunt,AV,NA
S237ST1,stomach,U237,NA,UBC_Hunt,AV,NA
S238ST1,stomach,U238,NA,UBC_Hunt,AV,NA
S239ST1,stomach,U239,NA,UBC_Hunt,AV,NA
S240ST1,stomach,U240,NA,UBC_Hunt,AV,NA
S241ST1,stomach,U241,NA,UBC_Hunt,AV,NA
S242ST1,stomach,U242,NA,UBC_Hunt,AV,NA
S243ST1,stomach,U243,NA,UBC_Hunt,AV,NA
S244ST1,stomach,U244,NA,UBC_Hunt,AV,NA
S245ST1,stomach,U245,NA,UBC_Hunt,AV,NA
S246ST1,stomach,U246,NA,UBC_Hunt,AV,NA
S247ST1,stomach,U247,NA,UBC_Hunt,AV,NA
S248ST1,stomach,U248,NA,UBC_Hunt,AV,NA
S249ST1,stomach,U249,NA,UBC_Hunt,AV,NA
S250ST1,stomach,U250,NA,UBC_Hunt,AV,NA
S251ST1,stomach,U251,NA,UBC_Hunt,AV,NA
S252ST1,stomach,U252,NA,UBC_Hunt,AV,NA
S253ST1,stomach,U253,NA,UBC_Hunt,AV,NA
S254ST1,stomach,U254,NA,UBC_Hunt,AV,NA
S255ST1,stomach,U255,NA,UBC_Hunt,AV,NA
S256ST1,stomach,U256,NA,UBC_Hunt,AV,NA
S257ST1,stomach,U257,NA,UBC_Hunt,AV,NA
