sample_id,sample_type,ufn,sample_comments,analyzing_lab
S01SC1,scale,U01,NA,NA
S02SC1,scale,U02,NA,NA
S03SC1,scale,U03,NA,NA
S04SC1,scale,U04,NA,NA
S07SC1,scale,U07,NA,NA
S08SC1,scale,U08,NA,NA
S09SC1,scale,U09,NA,NA
S10SC1,scale,U10,NA,NA
S11SC1,scale,U11,NA,NA
S12SC1,scale,U12,NA,NA
S13SC1,scale,U13,NA,NA
S14SC1,scale,U14,NA,NA
S15SC1,scale,U15,NA,NA
S16SC1,scale,U16,NA,NA
S17SC1,scale,U17,NA,NA
S18SC1,scale,U18,NA,NA
S19SC1,scale,U19,NA,NA
S20SC1,scale,U20,NA,NA
S21SC1,scale,U21,NA,NA
S23SC1,scale,U23,NA,NA
S24SC1,scale,U24,NA,NA
S25SC1,scale,U25,NA,NA
S26SC1,scale,U26,NA,NA
S27SC1,scale,U27,NA,NA
S28SC1,scale,U28,NA,NA
S29SC1,scale,U29,NA,NA
S30SC1,scale,U30,NA,NA
S31SC1,scale,U31,NA,NA
S32SC1,scale,U32,NA,NA
S33SC1,scale,U33,NA,NA
S34SC1,scale,U34,NA,NA
S35SC1,scale,U35,NA,NA
S36SC1,scale,U36,NA,NA
S37SC1,scale,U37,NA,NA
S38SC1,scale,U38,NA,NA
S40SC1,scale,U40,NA,NA
S41SC1,scale,U41,NA,NA
S42SC1,scale,U42,NA,NA
S43SC1,scale,U43,NA,NA
S45SC1,scale,U45,NA,NA
S46SC1,scale,U46,NA,NA
S47SC1,scale,U47,NA,NA
S48SC1,scale,U48,NA,NA
S49SC1,scale,U49,NA,NA
S50SC1,scale,U50,NA,NA
S51SC1,scale,U51,NA,NA
S52SC1,scale,U52,NA,NA
S53SC1,scale,U53,NA,NA
S54SC1,scale,U54,NA,NA
S55SC1,scale,U55,NA,NA
S56SC1,scale,U56,NA,NA
S57SC1,scale,U57,NA,NA
S58SC1,scale,U58,NA,NA
S59SC1,scale,U59,NA,NA
S60SC1,scale,U60,NA,NA
S61SC1,scale,U61,NA,NA
S62SC1,scale,U62,NA,NA
S63SC1,scale,U63,NA,NA
S64SC1,scale,U64,NA,NA
S66SC1,scale,U66,NA,NA
S68SC1,scale,U68,NA,NA
S69SC1,scale,U69,NA,NA
S70SC1,scale,U70,NA,NA
S71SC1,scale,U71,NA,NA
S72SC1,scale,U72,NA,NA
S73SC1,scale,U73,NA,NA
S74SC1,scale,U74,NA,NA
S75SC1,scale,U75,NA,NA
S76SC1,scale,U76,NA,NA
S77SC1,scale,U77,NA,NA
S78SC1,scale,U78,NA,NA
S79SC1,scale,U79,NA,NA
S80SC1,scale,U80,NA,NA
S81SC1,scale,U81,NA,NA
S82SC1,scale,U82,NA,NA
S83SC1,scale,U83,NA,NA
S84SC1,scale,U84,NA,NA
S85SC1,scale,U85,NA,NA
S86SC1,scale,U86,NA,NA
S87SC1,scale,U87,NA,NA
S88SC1,scale,U88,NA,NA
S89SC1,scale,U89,NA,NA
S90SC1,scale,U90,NA,NA
S91SC1,scale,U91,NA,NA
S92SC1,scale,U92,NA,NA
S93SC1,scale,U93,NA,NA
S94SC1,scale,U94,NA,NA
S95SC1,scale,U95,NA,NA
S96SC1,scale,U96,NA,NA
S97SC1,scale,U97,NA,NA
S98SC1,scale,U98,NA,NA
S100SC1,scale,U100,NA,NA
S101SC1,scale,U101,NA,NA
S102SC1,scale,U102,NA,NA
S103SC1,scale,U103,NA,NA
S104SC1,scale,U104,NA,NA
