sample_id,sample_type,ufn,sample_comments,analyzing_lab
S01OT1,otolith,U01,1 otolith collected,NA
S11OT1,otolith,U11,NA,NA
S12OT1,otolith,U12,1 broken otolith,NA
S02OT1,otolith,U02,NA,NA
S13OT1,otolith,U13,NA,NA
S03OT1,otolith,U03,NA,NA
S14OT1,otolith,U14,NA,NA
S15OT1,otolith,U15,NA,NA
S04OT1,otolith,U04,One otolith smaller than the other (broken?),NA
S05OT1,otolith,U05,NA,NA
S16OT1,otolith,U16,NA,YKuzmenko_UBC
S21OT1,otolith,U21,NA,YKuzmenko_UBC
S22OT1,otolith,U22,NA,NA
S31OT1,otolith,U31,NA,YKuzmenko_UBC
S32OT1,otolith,U32,NA,NA
S07OT1,otolith,U07,NA,YKuzmenko_UBC
S08OT1,otolith,U08,NA,NA
S09OT1,otolith,U09,NA,NA
S10OT1,otolith,U10,NA,YKuzmenko_UBC
S17OT1,otolith,U17,NA,YKuzmenko_UBC
S23OT1,otolith,U23,NA,NA
S24OT1,otolith,U24,NA,NA
S25OT1,otolith,U25,1 otolith,YKuzmenko_UBC
S33OT1,otolith,U33,NA,NA
S34OT1,otolith,U34,NA,NA
S35OT1,otolith,U35,NA,YKuzmenko_UBC
S36OT1,otolith,U36,NA,NA
S41OT1,otolith,U41,NA,NA
S42OT1,otolith,U42,NA,YKuzmenko_UBC
S43OT1,otolith,U43,NA,YKuzmenko_UBC
S18OT1,otolith,U18,NA,NA
S26OT1,otolith,U26,NA,YKuzmenko_UBC
S27OT1,otolith,U27,NA,YKuzmenko_UBC
S37OT1,otolith,U37,NA,YKuzmenko_UBC
S38OT1,otolith,U38,NA,YKuzmenko_UBC
S45OT1,otolith,U45,NA,YKuzmenko_UBC
S46OT1,otolith,U46,NA,YKuzmenko_UBC
S19OT1,otolith,U19,NA,YKuzmenko_UBC
S28OT1,otolith,U28,NA,YKuzmenko_UBC
S29OT1,otolith,U29,NA,YKuzmenko_UBC
S30OT1,otolith,U30,1 otolith,YKuzmenko_UBC
S40OT1,otolith,U40,NA,YKuzmenko_UBC
S47OT1,otolith,U47,NA,YKuzmenko_UBC
S48OT1,otolith,U48,NA,YKuzmenko_UBC
S49OT1,otolith,U49,NA,YKuzmenko_UBC
S50OT1,otolith,U50,NA,YKuzmenko_UBC
S51OT1,otolith,U51,NA,YKuzmenko_UBC
S52OT1,otolith,U52,1 otolith,YKuzmenko_UBC
S61OT1,otolith,U61,NA,YKuzmenko_UBC
S62OT1,otolith,U62,NA,YKuzmenko_UBC
S53OT1,otolith,U53,NA,YKuzmenko_UBC
S54OT1,otolith,U54,NA,YKuzmenko_UBC
S63OT1,otolith,U63,1 otolith,YKuzmenko_UBC
S71OT1,otolith,U71,NA,YKuzmenko_UBC
S72OT1,otolith,U72,NA,YKuzmenko_UBC
S73OT1,otolith,U73,NA,YKuzmenko_UBC
S101OT1,otolith,U101,NA,YKuzmenko_UBC
S102OT1,otolith,U102,NA,YKuzmenko_UBC
S103OT1,otolith,U103,NA,YKuzmenko_UBC
S20OT1,otolith,U20,NA,YKuzmenko_UBC
S55OT1,otolith,U55,1 otolith,YKuzmenko_UBC
S56OT1,otolith,U56,NA,YKuzmenko_UBC
S57OT1,otolith,U57,NA,YKuzmenko_UBC
S58OT1,otolith,U58,NA,YKuzmenko_UBC
S60OT1,otolith,U60,NA,YKuzmenko_UBC
S64OT1,otolith,U64,NA,YKuzmenko_UBC
S65OT1,otolith,U65,NA,YKuzmenko_UBC
S66OT1,otolith,U66,NA,YKuzmenko_UBC
S74OT1,otolith,U74,NA,YKuzmenko_UBC
S75OT1,otolith,U75,NA,YKuzmenko_UBC
S59OT1,otolith,U59,NA,YKuzmenko_UBC
S68OT1,otolith,U68,NA,YKuzmenko_UBC
S69OT1,otolith,U69,NA,YKuzmenko_UBC
S70OT1,otolith,U70,NA,YKuzmenko_UBC
S76OT1,otolith,U76,NA,YKuzmenko_UBC
S77OT1,otolith,U77,NA,YKuzmenko_UBC
S78OT1,otolith,U78,NA,YKuzmenko_UBC
S79OT1,otolith,U79,NA,YKuzmenko_UBC
S80OT1,otolith,U80,NA,YKuzmenko_UBC
S81OT1,otolith,U81,NA,YKuzmenko_UBC
S91OT1,otolith,U91,NA,YKuzmenko_UBC
S92OT1,otolith,U92,NA,YKuzmenko_UBC
S82OT1,otolith,U82,NA,YKuzmenko_UBC
S83OT1,otolith,U83,NA,YKuzmenko_UBC
S84OT1,otolith,U84,NA,YKuzmenko_UBC
S85OT1,otolith,U85,NA,YKuzmenko_UBC
S93OT1,otolith,U93,NA,YKuzmenko_UBC
S94OT1,otolith,U94,NA,YKuzmenko_UBC
S95OT1,otolith,U95,1 otolith,YKuzmenko_UBC
S96OT1,otolith,U96,1 otolith,YKuzmenko_UBC
S97OT1,otolith,U97,NA,YKuzmenko_UBC
S98OT1,otolith,U98,NA,YKuzmenko_UBC
S111OT1,otolith,U111,NA,YKuzmenko_UBC
S112OT1,otolith,U112,NA,YKuzmenko_UBC
S86OT1,otolith,U86,NA,YKuzmenko_UBC
S87OT1,otolith,U87,NA,YKuzmenko_UBC
S88OT1,otolith,U88,NA,YKuzmenko_UBC
S89OT1,otolith,U89,NA,YKuzmenko_UBC
S90OT1,otolith,U90,NA,YKuzmenko_UBC
S104OT1,otolith,U104,NA,YKuzmenko_UBC
S105OT1,otolith,U105,1 otolith,YKuzmenko_UBC
S106OT1,otolith,U106,NA,YKuzmenko_UBC
S107OT1,otolith,U107,NA,YKuzmenko_UBC
S108OT1,otolith,U108,NA,YKuzmenko_UBC
S113OT1,otolith,U113,NA,YKuzmenko_UBC
S114OT1,otolith,U114,NA,YKuzmenko_UBC
S115OT1,otolith,U115,NA,YKuzmenko_UBC
S116OT1,otolith,U116,NA,YKuzmenko_UBC
S121OT1,otolith,U121,NA,YKuzmenko_UBC
S122OT1,otolith,U122,1 otolith,YKuzmenko_UBC
S123OT1,otolith,U123,NA,YKuzmenko_UBC
S109OT1,otolith,U109,NA,YKuzmenko_UBC
S117OT1,otolith,U117,NA,YKuzmenko_UBC
S118OT1,otolith,U118,NA,YKuzmenko_UBC
S124OT1,otolith,U124,NA,YKuzmenko_UBC
S100OT1,otolith,U100,NA,YKuzmenko_UBC
S110OT1,otolith,U110,NA,NA
S119OT1,otolith,U119,NA,YKuzmenko_UBC
S99OT1,otolith,U99,NA,YKuzmenko_UBC
S120OT1,otolith,U120,NA,YKuzmenko_UBC
S141OT1,otolith,U141,NA,YKuzmenko_UBC
S142OT1,otolith,U142,NA,YKuzmenko_UBC
S143OT1,otolith,U143,NA,YKuzmenko_UBC
S144OT1,otolith,U144,NA,YKuzmenko_UBC
S151OT1,otolith,U151,NA,YKuzmenko_UBC
S152OT1,otolith,U152,NA,YKuzmenko_UBC
S153OT1,otolith,U153,NA,YKuzmenko_UBC
S125OT1,otolith,U125,NA,YKuzmenko_UBC
S131OT1,otolith,U131,NA,NA
S132OT1,otolith,U132,NA,NA
S145OT1,otolith,U145,NA,YKuzmenko_UBC
S146OT1,otolith,U146,NA,YKuzmenko_UBC
S147OT1,otolith,U147,1 otolith,NA
S148OT1,otolith,U148,NA,NA
S149OT1,otolith,U149,NA,NA
S150OT1,otolith,U150,NA,NA
S154OT1,otolith,U154,NA,YKuzmenko_UBC
S155OT1,otolith,U155,NA,YKuzmenko_UBC
S156OT1,otolith,U156,NA,YKuzmenko_UBC
S157OT1,otolith,U157,NA,NA
S158OT1,otolith,U158,NA,YKuzmenko_UBC
S133OT1,otolith,U133,NA,YKuzmenko_UBC
S134OT1,otolith,U134,NA,YKuzmenko_UBC
S135OT1,otolith,U135,NA,YKuzmenko_UBC
S136OT1,otolith,U136,NA,YKuzmenko_UBC
S137OT1,otolith,U137,NA,YKuzmenko_UBC
S138OT1,otolith,U138,NA,YKuzmenko_UBC
S159OT1,otolith,U159,NA,YKuzmenko_UBC
S160OT1,otolith,U160,NA,YKuzmenko_UBC
S161OT1,otolith,U161,1 otolith,YKuzmenko_UBC
S162OT1,otolith,U162,NA,YKuzmenko_UBC
S171OT1,otolith,U171,NA,YKuzmenko_UBC
S139OT1,otolith,U139,NA,YKuzmenko_UBC
S140OT1,otolith,U140,NA,YKuzmenko_UBC
S163OT1,otolith,U163,NA,YKuzmenko_UBC
S164OT1,otolith,U164,NA,YKuzmenko_UBC
S165OT1,otolith,U165,NA,YKuzmenko_UBC
S166OT1,otolith,U166,NA,YKuzmenko_UBC
S172OT1,otolith,U172,NA,YKuzmenko_UBC
S174OT1,otolith,U174,NA,YKuzmenko_UBC
S181OT1,otolith,U181,NA,YKuzmenko_UBC
S182OT1,otolith,U182,NA,YKuzmenko_UBC
S183OT1,otolith,U183,NA,YKuzmenko_UBC
S126OT1,otolith,U126,NA,YKuzmenko_UBC
S167OT1,otolith,U167,NA,YKuzmenko_UBC
S168OT1,otolith,U168,NA,YKuzmenko_UBC
S169OT1,otolith,U169,NA,YKuzmenko_UBC
S170OT1,otolith,U170,1 otolith,YKuzmenko_UBC
S175OT1,otolith,U175,NA,YKuzmenko_UBC
S176OT1,otolith,U176,"Cracked otolith, only 1 retained",YKuzmenko_UBC
S177OT1,otolith,U177,NA,YKuzmenko_UBC
S178OT1,otolith,U178,NA,YKuzmenko_UBC
S179OT1,otolith,U179,NA,YKuzmenko_UBC
S184OT1,otolith,U184,NA,YKuzmenko_UBC
S185OT1,otolith,U185,NA,YKuzmenko_UBC
S186OT1,otolith,U186,NA,YKuzmenko_UBC
S187OT1,otolith,U187,NA,YKuzmenko_UBC
S188OT1,otolith,U188,NA,YKuzmenko_UBC
S189OT1,otolith,U189,NA,YKuzmenko_UBC
S191OT1,otolith,U191,1 otolith,YKuzmenko_UBC
S180OT1,otolith,U180,NA,YKuzmenko_UBC
S192OT1,otolith,U192,NA,YKuzmenko_UBC
S193OT1,otolith,U193,1 otolith,YKuzmenko_UBC
S194OT1,otolith,U194,NA,YKuzmenko_UBC
S195OT1,otolith,U195,NA,NA
S201OT1,otolith,U201,NA,YKuzmenko_UBC
S202OT1,otolith,U202,NA,YKuzmenko_UBC
S203OT1,otolith,U203,NA,YKuzmenko_UBC
S204OT1,otolith,U204,NA,NA
S190OT1,otolith,U190,NA,NA
S196OT1,otolith,U196,1 otolith,NA
S197OT1,otolith,U197,NA,YKuzmenko_UBC
S198OT1,otolith,U198,NA,NA
S199OT1,otolith,U199,NA,NA
S205OT1,otolith,U205,NA,NA
S206OT1,otolith,U206,NA,NA
S211OT1,otolith,U211,NA,NA
S212OT1,otolith,U212,NA,NA
S127OT1,otolith,U127,1 otolith,YKuzmenko_UBC
S200OT1,otolith,U200,NA,YKuzmenko_UBC
S207OT1,otolith,U207,NA,YKuzmenko_UBC
S208OT1,otolith,U208,NA,YKuzmenko_UBC
S209OT1,otolith,U209,NA,YKuzmenko_UBC
S213OT1,otolith,U213,NA,YKuzmenko_UBC
S214OT1,otolith,U214,NA,YKuzmenko_UBC
S215OT1,otolith,U215,NA,YKuzmenko_UBC
S216OT1,otolith,U216,NA,YKuzmenko_UBC
S217OT1,otolith,U217,NA,YKuzmenko_UBC
S231OT1,otolith,U231,NA,YKuzmenko_UBC
S232OT1,otolith,U232,NA,YKuzmenko_UBC
S233OT1,otolith,U233,NA,YKuzmenko_UBC
S234OT1,otolith,U234,NA,YKuzmenko_UBC
S235OT1,otolith,U235,NA,YKuzmenko_UBC
S241OT1,otolith,U241,NA,YKuzmenko_UBC
S128OT1,otolith,U128,NA,YKuzmenko_UBC
S218OT1,otolith,U218,NA,YKuzmenko_UBC
S219OT1,otolith,U219,NA,YKuzmenko_UBC
S220OT1,otolith,U220,NA,YKuzmenko_UBC
S221OT1,otolith,U221,NA,YKuzmenko_UBC
S222OT1,otolith,U222,NA,YKuzmenko_UBC
S223OT1,otolith,U223,NA,YKuzmenko_UBC
S236OT1,otolith,U236,NA,YKuzmenko_UBC
S237OT1,otolith,U237,NA,YKuzmenko_UBC
S238OT1,otolith,U238,NA,YKuzmenko_UBC
S239OT1,otolith,U239,NA,YKuzmenko_UBC
S240OT1,otolith,U240,NA,YKuzmenko_UBC
S242OT1,otolith,U242,NA,YKuzmenko_UBC
S243OT1,otolith,U243,1 otolith,YKuzmenko_UBC
S244OT1,otolith,U244,NA,YKuzmenko_UBC
S245OT1,otolith,U245,NA,YKuzmenko_UBC
S246OT1,otolith,U246,NA,YKuzmenko_UBC
S247OT1,otolith,U247,NA,YKuzmenko_UBC
S248OT1,otolith,U248,NA,YKuzmenko_UBC
S249OT1,otolith,U249,NA,YKuzmenko_UBC
S250OT1,otolith,U250,NA,YKuzmenko_UBC
