sample_id,sample_type,ufn,tissue_type,sample_comments,analyzing_lab,quality_log
DS00001,DNA,U9873,fin_clip,NA,NA,NA
DS00002,DNA,U9882,fin_clip,NA,NA,NA
DS00003,DNA,U9886,fin_clip,NA,NA,NA
DS00004,DNA,U9888,fin_clip,NA,NA,NA
DS00005,DNA,U9889,fin_clip,NA,NA,NA
DS00006,DNA,U9890,fin_clip,NA,NA,NA
DS00007,DNA,U9891,fin_clip,NA,NA,NA
DS00008,DNA,U9892,fin_clip,NA,NA,NA
DS00009,DNA,U9893,fin_clip,NA,NA,NA
DS00010,DNA,U9874,fin_clip,NA,NA,NA
DS00011,DNA,U9875,fin_clip,NA,NA,NA
DS00012,DNA,U9876,fin_clip,NA,NA,NA
DS00013,DNA,U9877,fin_clip,NA,NA,NA
DS00014,DNA,U9878,fin_clip,NA,NA,NA
DS00015,DNA,U9879,fin_clip,NA,NA,NA
DS00016,DNA,U9880,fin_clip,NA,NA,NA
DS00017,DNA,U9881,fin_clip,NA,NA,NA
DS00024,DNA,U9883,fin_clip,NA,NA,NA
DS00025,DNA,U9884,fin_clip,NA,NA,NA
DS00026,DNA,U9885,fin_clip,NA,NA,NA
DS00031,DNA,U9887,fin_clip,NA,NA,NA
DS00031,DNA,U9824,fin_clip,NA,NA,NA
DS00032,DNA,U9832,fin_clip,NA,NA,NA
DS00033,DNA,U9836,fin_clip,NA,NA,NA
DS00034,DNA,U9838,fin_clip,NA,NA,NA
DS00035,DNA,U9839,fin_clip,NA,NA,NA
DS00036,DNA,U9840,fin_clip,NA,NA,NA
DS00037,DNA,U9841,fin_clip,NA,NA,NA
DS00038,DNA,U9842,fin_clip,NA,NA,NA
DS00039,DNA,U9843,fin_clip,NA,NA,NA
DS00040,DNA,U9825,fin_clip,NA,NA,NA
DS00041,DNA,U9826,fin_clip,NA,NA,NA
DS00042,DNA,U9827,fin_clip,NA,NA,NA
DS00043,DNA,U9828,fin_clip,NA,NA,NA
DS00044,DNA,U9829,fin_clip,NA,NA,NA
DS00045,DNA,U9830,fin_clip,NA,NA,NA
DS00048,DNA,U9831,fin_clip,NA,NA,NA
DS00057,DNA,U9833,fin_clip,NA,NA,NA
DS00058,DNA,U9834,fin_clip,NA,NA,NA
DS00059,DNA,U9835,fin_clip,NA,NA,NA
DS00060,DNA,U9837,fin_clip,NA,NA,NA
DS00061,DNA,U9926,fin_clip,NA,NA,NA
DS00062,DNA,U9933,fin_clip,NA,NA,NA
DS00063,DNA,U9939,fin_clip,NA,NA,NA
DS00064,DNA,U9940,fin_clip,NA,NA,NA
DS00065,DNA,U9941,fin_clip,NA,NA,NA
DS00066,DNA,U9942,fin_clip,NA,NA,NA
DS00067,DNA,U9943,fin_clip,NA,NA,NA
DS00068,DNA,U9944,fin_clip,NA,NA,NA
DS00069,DNA,U9945,fin_clip,NA,NA,NA
DS00070,DNA,U9927,fin_clip,NA,NA,NA
DS00071,DNA,U9928,fin_clip,NA,NA,NA
DS00072,DNA,U9929,fin_clip,NA,NA,NA
DS00073,DNA,U9930,fin_clip,NA,NA,NA
DS00074,DNA,U9931,fin_clip,NA,NA,NA
DS00075,DNA,U9932,fin_clip,NA,NA,NA
DS00082,DNA,U9934,fin_clip,NA,NA,NA
DS00083,DNA,U9935,fin_clip,NA,NA,NA
DS00085,DNA,U9936,fin_clip,NA,NA,NA
DS00086,DNA,U9937,fin_clip,NA,NA,NA
DS00087,DNA,U9938,fin_clip,NA,NA,NA
DS00091,DNA,U9913,fin_clip,NA,PBS,NA
DS00181,DNA,U9955,fin_clip,NA,NA,NA
DS00182,DNA,U9963,fin_clip,NA,NA,NA
DS00183,DNA,U9967,fin_clip,NA,NA,NA
DS00184,DNA,U9969,fin_clip,NA,NA,NA
DS00185,DNA,U9970,fin_clip,NA,NA,NA
DS00186,DNA,U9971,fin_clip,NA,NA,NA
DS00187,DNA,U9972,fin_clip,NA,NA,NA
DS00188,DNA,U9973,fin_clip,NA,NA,NA
DS00189,DNA,U9974,fin_clip,NA,NA,NA
DS00190,DNA,U9956,fin_clip,NA,NA,NA
DS00191,DNA,U9957,fin_clip,NA,NA,NA
DS00192,DNA,U9958,fin_clip,NA,NA,NA
DS00193,DNA,U9959,fin_clip,NA,NA,NA
DS00194,DNA,U9960,fin_clip,NA,NA,NA
DS00195,DNA,U9961,fin_clip,NA,NA,NA
DS00198,DNA,U9962,fin_clip,NA,NA,NA
DS00203,DNA,U9964,fin_clip,NA,NA,NA
DS00207,DNA,U9965,fin_clip,NA,NA,NA
DS00209,DNA,U9966,fin_clip,NA,NA,NA
DS00210,DNA,U9968,fin_clip,NA,NA,NA
DS00211,DNA,U9983,fin_clip,NA,NA,NA
DS00212,DNA,U9993,fin_clip,NA,NA,NA
DS00213,DNA,U9996,fin_clip,NA,NA,NA
DS00214,DNA,U9997,fin_clip,NA,NA,NA
DS00215,DNA,U9998,fin_clip,NA,NA,NA
DS00216,DNA,U9999,fin_clip,NA,NA,NA
DS00217,DNA,U18000,fin_clip,NA,NA,NA
DS00218,DNA,U18001,fin_clip,NA,NA,NA
DS00219,DNA,U18002,fin_clip,NA,NA,NA
DS00220,DNA,U9984,fin_clip,NA,NA,NA
DS00221,DNA,U9985,fin_clip,NA,NA,NA
DS00222,DNA,U9986,fin_clip,NA,NA,NA
DS00223,DNA,U9987,fin_clip,NA,NA,NA
DS00224,DNA,U9988,fin_clip,NA,NA,NA
DS00225,DNA,U9989,fin_clip,NA,NA,NA
DS00226,DNA,U9990,fin_clip,NA,NA,NA
DS00228,DNA,U9991,fin_clip,NA,NA,NA
DS00229,DNA,U9992,fin_clip,NA,NA,NA
DS00230,DNA,U9994,fin_clip,NA,NA,NA
DS00231,DNA,U9995,fin_clip,NA,NA,NA
DS00271,DNA,U18035,fin_clip,NA,NA,NA
DS00272,DNA,U18043,fin_clip,NA,NA,NA
DS00273,DNA,U18047,fin_clip,NA,NA,NA
DS00274,DNA,U18049,fin_clip,NA,NA,NA
DS00275,DNA,U18050,fin_clip,NA,NA,NA
DS00276,DNA,U18051,fin_clip,NA,NA,NA
DS00277,DNA,U18052,fin_clip,NA,NA,NA
DS00278,DNA,U18053,fin_clip,NA,NA,NA
DS00279,DNA,U18054,fin_clip,NA,NA,NA
DS00280,DNA,U18036,fin_clip,NA,NA,NA
DS00281,DNA,U18037,fin_clip,NA,NA,NA
DS00282,DNA,U18038,fin_clip,NA,NA,NA
DS00283,DNA,U18039,fin_clip,NA,NA,NA
DS00284,DNA,U18040,fin_clip,NA,NA,NA
DS00285,DNA,U18041,fin_clip,NA,NA,NA
DS00289,DNA,U18042,fin_clip,NA,NA,NA
DS00297,DNA,U18044,fin_clip,NA,NA,NA
DS00298,DNA,U18045,fin_clip,NA,NA,NA
DS00299,DNA,U18046,fin_clip,NA,NA,NA
DS00300,DNA,U18048,fin_clip,NA,NA,NA
DS00391,DNA,U18225,fin_clip,NA,NA,NA
DS00394,DNA,U18240,fin_clip,NA,NA,NA
DS00395,DNA,U18241,fin_clip,NA,NA,NA
DS00397,DNA,U18242,fin_clip,NA,NA,NA
DS00398,DNA,U18243,fin_clip,NA,NA,NA
DS00399,DNA,U18244,fin_clip,NA,NA,NA
DS00400,DNA,U18226,fin_clip,NA,NA,NA
DS00402,DNA,U18227,fin_clip,NA,NA,NA
DS00404,DNA,U18228,fin_clip,NA,NA,NA
DS00405,DNA,U18229,fin_clip,NA,NA,NA
DS00407,DNA,U18230,fin_clip,NA,NA,NA
DS00408,DNA,U18231,fin_clip,NA,NA,NA
DS00410,DNA,U18232,fin_clip,NA,NA,NA
DS00411,DNA,U18233,fin_clip,NA,NA,NA
DS00412,DNA,U18234,fin_clip,NA,NA,NA
DS00413,DNA,U18235,fin_clip,NA,NA,NA
DS00414,DNA,U18236,fin_clip,NA,NA,NA
DS00418,DNA,U18237,fin_clip,NA,NA,NA
DS00419,DNA,U18238,fin_clip,NA,NA,NA
DS00420,DNA,U18239,fin_clip,NA,NA,NA
DS00421,DNA,U18255,fin_clip,NA,NA,NA
DS00422,DNA,U18260,fin_clip,NA,NA,NA
DS00423,DNA,U18269,fin_clip,NA,NA,NA
DS00424,DNA,U18271,fin_clip,NA,NA,NA
DS00425,DNA,U18272,fin_clip,NA,NA,NA
DS00426,DNA,U18273,fin_clip,NA,NA,NA
DS00427,DNA,U18274,fin_clip,NA,NA,NA
DS00431,DNA,U18256,fin_clip,NA,NA,NA
DS00432,DNA,U18257,fin_clip,NA,NA,NA
DS00433,DNA,U18258,fin_clip,NA,NA,NA
DS00439,DNA,U18259,fin_clip,NA,NA,NA
DS00442,DNA,U18261,fin_clip,NA,NA,NA
DS00443,DNA,U18262,fin_clip,NA,NA,NA
DS00444,DNA,U18263,fin_clip,NA,NA,NA
DS00445,DNA,U18264,fin_clip,NA,NA,NA
DS00446,DNA,U18265,fin_clip,NA,NA,NA
DS00447,DNA,U18266,fin_clip,NA,NA,NA
DS00448,DNA,U18267,fin_clip,NA,NA,NA
DS00449,DNA,U18268,fin_clip,NA,NA,NA
DS00450,DNA,U18270,fin_clip,NA,NA,NA
DS00511,DNA,U18502,fin_clip,NA,NA,NA
DS00512,DNA,U18507,fin_clip,NA,NA,NA
DS00513,DNA,U18509,fin_clip,NA,NA,NA
DS00514,DNA,U18510,fin_clip,NA,NA,NA
DS00515,DNA,U18511,fin_clip,NA,NA,NA
DS00516,DNA,U18512,fin_clip,NA,NA,NA
DS00517,DNA,U18513,fin_clip,NA,NA,NA
DS00518,DNA,U18514,fin_clip,NA,NA,NA
DS00519,DNA,U18515,fin_clip,NA,NA,NA
DS00520,DNA,U18503,fin_clip,NA,NA,NA
DS00521,DNA,U4497,fin_clip,NA,NA,NA
DS00522,DNA,U4496,fin_clip,NA,NA,NA
DS00523,DNA,U18504,fin_clip,NA,NA,NA
DS00524,DNA,U4494,fin_clip,NA,NA,NA
DS00525,DNA,U4495,fin_clip,NA,NA,NA
DS00526,DNA,U4493,fin_clip,NA,NA,NA
DS00527,DNA,U18505,fin_clip,NA,NA,NA
DS00528,DNA,U18506,fin_clip,NA,NA,NA
DS00530,DNA,U18508,fin_clip,NA,NA,NA
DS00621,DNA,U4489,fin_clip,NA,PBS,NA
DS00622,DNA,U4490,fin_clip,NA,PBS,NA
DS00628,DNA,U4492,fin_clip,NA,PBS,NA
DS00630,DNA,U4491,fin_clip,NA,PBS,NA
DS00651,DNA,U18569,fin_clip,NA,NA,NA
DS00652,DNA,U18570,fin_clip,NA,NA,NA
DS00653,DNA,U18571,fin_clip,NA,NA,NA
DS00654,DNA,U18572,fin_clip,NA,NA,NA
DS00655,DNA,U18573,fin_clip,NA,NA,NA
DS00656,DNA,U18574,fin_clip,NA,NA,NA
DS00657,DNA,U18575,fin_clip,NA,NA,NA
DS00658,DNA,U18576,fin_clip,NA,NA,NA
DS00659,DNA,U18577,fin_clip,NA,NA,NA
DS00660,DNA,U18578,fin_clip,NA,NA,NA
DS00661,DNA,U18612,fin_clip,NA,NA,NA
DS00662,DNA,U18623,fin_clip,NA,NA,NA
DS00663,DNA,U18625,fin_clip,NA,NA,NA
DS00664,DNA,U18626,fin_clip,NA,NA,NA
DS00665,DNA,U18627,fin_clip,NA,NA,NA
DS00666,DNA,U18628,fin_clip,NA,NA,NA
DS00667,DNA,U18629,fin_clip,NA,NA,NA
DS00668,DNA,U18630,fin_clip,NA,NA,NA
DS00669,DNA,U18631,fin_clip,NA,NA,NA
DS00670,DNA,U18613,fin_clip,NA,NA,NA
DS00671,DNA,U18614,fin_clip,NA,NA,NA
DS00672,DNA,U18615,fin_clip,NA,NA,NA
DS00673,DNA,U18616,fin_clip,NA,NA,NA
DS00674,DNA,U18617,fin_clip,NA,NA,NA
DS00675,DNA,U18618,fin_clip,NA,NA,NA
DS00676,DNA,U18619,fin_clip,NA,NA,NA
DS00677,DNA,U18620,fin_clip,NA,NA,NA
DS00678,DNA,U18621,fin_clip,NA,NA,NA
DS00679,DNA,U18622,fin_clip,NA,NA,NA
DS00680,DNA,U18624,fin_clip,NA,NA,NA
DS00711,DNA,U18586,fin_clip,NA,NA,NA
DS00712,DNA,U18587,fin_clip,NA,NA,NA
DS00713,DNA,U18588,fin_clip,NA,NA,NA
DS00714,DNA,U18589,fin_clip,NA,NA,NA
DS00715,DNA,U18590,fin_clip,NA,NA,NA
DS00716,DNA,U18591,fin_clip,NA,NA,NA
DS00717,DNA,U18592,fin_clip,NA,NA,NA
DS00718,DNA,U18593,fin_clip,NA,NA,NA
DS00719,DNA,U18594,fin_clip,NA,NA,NA
DS00720,DNA,U18595,fin_clip,NA,NA,NA
DS00731,DNA,U18713,fin_clip,NA,NA,NA
DS00732,DNA,U18714,fin_clip,NA,NA,NA
DS00733,DNA,U18715,fin_clip,NA,NA,NA
DS00734,DNA,U18716,fin_clip,NA,NA,NA
DS00735,DNA,U18717,fin_clip,NA,NA,NA
DS00736,DNA,U18718,fin_clip,NA,NA,NA
DS00737,DNA,U18719,fin_clip,NA,NA,NA
DS00738,DNA,U18720,fin_clip,NA,NA,NA
DS00739,DNA,U18721,fin_clip,NA,NA,NA
DS00740,DNA,U18722,fin_clip,NA,NA,NA
DS00741,DNA,U18723,fin_clip,NA,NA,NA
DS00742,DNA,U18724,fin_clip,NA,NA,NA
DS00743,DNA,U18725,fin_clip,NA,NA,NA
DS00744,DNA,U18726,fin_clip,NA,NA,NA
DS00745,DNA,U18727,fin_clip,NA,NA,NA
DS00746,DNA,U18728,fin_clip,NA,NA,NA
DS00747,DNA,U18729,fin_clip,NA,NA,NA
DS00748,DNA,U18730,fin_clip,NA,NA,NA
DS00749,DNA,U18731,fin_clip,NA,NA,NA
DS00750,DNA,U18732,fin_clip,NA,NA,NA
DS00841,DNA,U18787,fin_clip,NA,NA,NA
DS00842,DNA,U18798,fin_clip,NA,NA,NA
DS00843,DNA,U18800,fin_clip,NA,NA,NA
DS00844,DNA,U18801,fin_clip,NA,NA,NA
DS00845,DNA,U18802,fin_clip,NA,NA,NA
DS00846,DNA,U18803,fin_clip,NA,NA,NA
DS00847,DNA,U18804,fin_clip,NA,NA,NA
DS00848,DNA,U18805,fin_clip,NA,NA,NA
DS00849,DNA,U18806,fin_clip,NA,NA,NA
DS00850,DNA,U18788,fin_clip,NA,NA,NA
DS00851,DNA,U18789,fin_clip,NA,NA,NA
DS00852,DNA,U18790,fin_clip,NA,NA,NA
DS00853,DNA,U18791,fin_clip,NA,NA,NA
DS00854,DNA,U18792,fin_clip,NA,NA,NA
DS00855,DNA,U18793,fin_clip,NA,NA,NA
DS00856,DNA,U18794,fin_clip,NA,NA,NA
DS00857,DNA,U18795,fin_clip,NA,NA,NA
DS00858,DNA,U18796,fin_clip,NA,NA,NA
DS00859,DNA,U18797,fin_clip,NA,NA,NA
DS00860,DNA,U18799,fin_clip,NA,NA,NA
DS00881,DNA,U18828,fin_clip,NA,NA,NA
DS00882,DNA,U18829,fin_clip,NA,NA,NA
DS00883,DNA,U18830,fin_clip,NA,NA,NA
DS00884,DNA,U18831,fin_clip,NA,NA,NA
DS00885,DNA,U18832,fin_clip,NA,NA,NA
DS00886,DNA,U18833,fin_clip,NA,NA,NA
DS00887,DNA,U18834,fin_clip,NA,NA,NA
DS00888,DNA,U18835,fin_clip,NA,NA,NA
DS00889,DNA,U18836,fin_clip,NA,NA,NA
DS00890,DNA,U18837,fin_clip,NA,NA,NA
DS00891,DNA,U18838,fin_clip,NA,NA,NA
DS00892,DNA,U18839,fin_clip,NA,NA,NA
DS00893,DNA,U18840,fin_clip,NA,NA,NA
DS00894,DNA,U18841,fin_clip,NA,NA,NA
DS00895,DNA,U18842,fin_clip,NA,NA,NA
DS00896,DNA,U18843,fin_clip,NA,NA,NA
DS00897,DNA,U18844,fin_clip,NA,NA,NA
DS00898,DNA,U18845,fin_clip,NA,NA,NA
DS00899,DNA,U18846,fin_clip,NA,NA,NA
DS00900,DNA,U18847,fin_clip,NA,NA,NA
DS01238,DNA,U4395,fin_clip,NA,NA,NA
DS00941,DNA,U19077,fin_clip,NA,NA,NA
DS00942,DNA,U19078,fin_clip,NA,NA,NA
DS00943,DNA,U19079,fin_clip,NA,NA,NA
DS00944,DNA,U19080,fin_clip,NA,NA,NA
DS00945,DNA,U19081,fin_clip,NA,NA,NA
DS01081,DNA,U19334,fin_clip,NA,NA,NA
DS01082,DNA,U19345,fin_clip,NA,NA,NA
DS01083,DNA,U19347,fin_clip,NA,NA,NA
DS01084,DNA,U19357,fin_clip,NA,NA,NA
DS01085,DNA,U19368,fin_clip,NA,NA,NA
DS01086,DNA,U19379,fin_clip,NA,NA,NA
DS01087,DNA,U19381,fin_clip,NA,NA,NA
DS01088,DNA,U19382,fin_clip,NA,NA,NA
DS01089,DNA,U19383,fin_clip,NA,NA,NA
DS01090,DNA,U19335,fin_clip,NA,NA,NA
DS01091,DNA,U19336,fin_clip,NA,NA,NA
DS01092,DNA,U19337,fin_clip,NA,NA,NA
DS01093,DNA,U19338,fin_clip,NA,NA,NA
DS01094,DNA,U19339,fin_clip,NA,NA,NA
DS01095,DNA,U19340,fin_clip,NA,NA,NA
DS01096,DNA,U19341,fin_clip,NA,NA,NA
DS01097,DNA,U19342,fin_clip,NA,NA,NA
DS01098,DNA,U19343,fin_clip,NA,NA,NA
DS01099,DNA,U19344,fin_clip,NA,NA,NA
DS01100,DNA,U19346,fin_clip,NA,NA,NA
DS01111,DNA,U19348,fin_clip,NA,NA,NA
DS01112,DNA,U19349,fin_clip,NA,NA,NA
DS01113,DNA,U19350,fin_clip,NA,NA,NA
DS01114,DNA,U19351,fin_clip,NA,NA,NA
DS01115,DNA,U19352,fin_clip,NA,NA,NA
DS01116,DNA,U19353,fin_clip,NA,NA,NA
DS01117,DNA,U19354,fin_clip,NA,NA,NA
DS01118,DNA,U19355,fin_clip,NA,PBS,NA
DS01119,DNA,U19356,fin_clip,NA,NA,NA
DS01120,DNA,U19358,fin_clip,NA,NA,NA
DS01121,DNA,U19359,fin_clip,NA,PBS,NA
DS01122,DNA,U19360,fin_clip,NA,PBS,NA
DS01123,DNA,U19361,fin_clip,NA,PBS,NA
DS01124,DNA,U19362,fin_clip,NA,PBS,NA
DS01125,DNA,U19363,fin_clip,NA,PBS,NA
DS01126,DNA,U19364,fin_clip,NA,PBS,NA
DS01127,DNA,U19365,fin_clip,NA,PBS,NA
DS01128,DNA,U19366,fin_clip,NA,NA,NA
DS01129,DNA,U19367,fin_clip,NA,PBS,NA
DS01130,DNA,U19369,fin_clip,NA,PBS,NA
DS01131,DNA,U19370,fin_clip,NA,NA,NA
DS01132,DNA,U19371,fin_clip,NA,NA,NA
DS01133,DNA,U19372,fin_clip,NA,NA,NA
DS01134,DNA,U19373,fin_clip,NA,NA,NA
DS01135,DNA,U19374,fin_clip,NA,NA,NA
DS01136,DNA,U19375,fin_clip,NA,NA,NA
DS01137,DNA,U19376,fin_clip,NA,NA,NA
DS01138,DNA,U19377,fin_clip,NA,NA,NA
DS01139,DNA,U19378,fin_clip,NA,NA,NA
DS01140,DNA,U19380,fin_clip,NA,NA,NA
DS01111,DNA,U19294,fin_clip,NA,NA,NA
DS01112,DNA,U19297,fin_clip,NA,NA,NA
DS01113,DNA,U19307,fin_clip,NA,NA,NA
DS01114,DNA,U19309,fin_clip,NA,NA,NA
DS01115,DNA,U19310,fin_clip,NA,NA,NA
DS01116,DNA,U19311,fin_clip,NA,NA,NA
DS01117,DNA,U19312,fin_clip,NA,NA,NA
DS01119,DNA,U19313,fin_clip,NA,NA,NA
DS01120,DNA,U19295,fin_clip,NA,NA,NA
DS01128,DNA,U19296,fin_clip,NA,NA,NA
DS01131,DNA,U19298,fin_clip,NA,NA,NA
DS01132,DNA,U19299,fin_clip,NA,NA,NA
DS01133,DNA,U19300,fin_clip,NA,NA,NA
DS01134,DNA,U19301,fin_clip,NA,NA,NA
DS01135,DNA,U19302,fin_clip,NA,NA,NA
DS01136,DNA,U19303,fin_clip,NA,NA,NA
DS01137,DNA,U19304,fin_clip,NA,NA,NA
DS01138,DNA,U19305,fin_clip,NA,NA,NA
DS01139,DNA,U19306,fin_clip,NA,NA,NA
DS01140,DNA,U19308,fin_clip,NA,NA,NA
DS01161,DNA,U19407,fin_clip,NA,NA,NA
DS01321,DNA,U19608,fin_clip,NA,NA,NA
DS01322,DNA,U19610,fin_clip,NA,NA,NA
DS01323,DNA,U19613,fin_clip,NA,NA,NA
DS01324,DNA,U19614,fin_clip,NA,NA,NA
DS01325,DNA,U19615,fin_clip,NA,NA,NA
DS01326,DNA,U19616,fin_clip,NA,NA,NA
DS01327,DNA,U19617,fin_clip,NA,NA,NA
DS01328,DNA,U19618,fin_clip,NA,NA,NA
DS01329,DNA,U19619,fin_clip,NA,NA,NA
DS01330,DNA,U19609,fin_clip,NA,NA,NA
DS01341,DNA,U19611,fin_clip,NA,NA,NA
DS01342,DNA,U19612,fin_clip,NA,NA,NA
DS01381,DNA,U19703,fin_clip,NA,NA,NA
DS01382,DNA,U19712,fin_clip,NA,NA,NA
DS01383,DNA,U19714,fin_clip,NA,NA,NA
DS01384,DNA,U19715,fin_clip,NA,NA,NA
DS01385,DNA,U19716,fin_clip,NA,NA,NA
DS01391,DNA,U19704,fin_clip,NA,NA,NA
DS01392,DNA,U19705,fin_clip,NA,NA,NA
DS01393,DNA,U19706,fin_clip,NA,NA,NA
DS01394,DNA,U19707,fin_clip,NA,NA,NA
DS01395,DNA,U19708,fin_clip,NA,NA,NA
DS01396,DNA,U19709,fin_clip,NA,NA,NA
DS01397,DNA,U19710,fin_clip,NA,NA,NA
DS01398,DNA,U19711,fin_clip,NA,NA,NA
DS01400,DNA,U19713,fin_clip,NA,NA,NA
JS00011,DNA,U18058,fin_clip,NA,NA,NA
JS00012,DNA,U18059,fin_clip,NA,NA,NA
JS00013,DNA,U18060,fin_clip,NA,NA,NA
JS00014,DNA,U18061,fin_clip,NA,NA,NA
JS00015,DNA,U18062,fin_clip,NA,NA,NA
JS00016,DNA,U18063,fin_clip,NA,NA,NA
JS00017,DNA,U18064,fin_clip,NA,NA,NA
JS00018,DNA,U18065,fin_clip,NA,NA,NA
JS00019,DNA,U18066,fin_clip,NA,NA,NA
JS00020,DNA,U18067,fin_clip,NA,NA,NA
JS00021,DNA,U18068,fin_clip,NA,NA,NA
JS00022,DNA,U18069,fin_clip,NA,NA,NA
JS00023,DNA,U18070,fin_clip,NA,NA,NA
JS00024,DNA,U18071,fin_clip,NA,NA,NA
JS00025,DNA,U18072,fin_clip,NA,NA,NA
JS00026,DNA,U18073,fin_clip,NA,NA,NA
JS00027,DNA,U18074,fin_clip,NA,NA,NA
JS00028,DNA,U18075,fin_clip,NA,NA,NA
JS00029,DNA,U18076,fin_clip,NA,NA,NA
JS00030,DNA,U18077,fin_clip,NA,NA,NA
JS00031,DNA,U18079,fin_clip,NA,NA,NA
JS00032,DNA,U18090,fin_clip,NA,NA,NA
JS00033,DNA,U18092,fin_clip,NA,NA,NA
JS00034,DNA,U18093,fin_clip,NA,NA,NA
JS00035,DNA,U18094,fin_clip,NA,NA,NA
JS00036,DNA,U18095,fin_clip,NA,NA,NA
JS00037,DNA,U18096,fin_clip,NA,NA,NA
JS00038,DNA,U18097,fin_clip,NA,NA,NA
JS00039,DNA,U18098,fin_clip,NA,NA,NA
JS00040,DNA,U18080,fin_clip,NA,NA,NA
JS00041,DNA,U18081,fin_clip,NA,NA,NA
JS00042,DNA,U18082,fin_clip,NA,NA,NA
JS00043,DNA,U18083,fin_clip,NA,NA,NA
JS00044,DNA,U18084,fin_clip,NA,NA,NA
JS00045,DNA,U18085,fin_clip,NA,NA,NA
JS00046,DNA,U18086,fin_clip,NA,NA,NA
JS00047,DNA,U18087,fin_clip,NA,NA,NA
JS00048,DNA,U18088,fin_clip,NA,NA,NA
JS00049,DNA,U18089,fin_clip,NA,NA,NA
JS00052,DNA,U18091,fin_clip,NA,NA,NA
JS00072,DNA,U18110,fin_clip,NA,NA,NA
JS00076,DNA,U18111,fin_clip,NA,NA,NA
JS00077,DNA,U18112,fin_clip,NA,NA,NA
JS00078,DNA,U18113,fin_clip,NA,NA,NA
JS00079,DNA,U18114,fin_clip,NA,NA,NA
JS00080,DNA,U18115,fin_clip,NA,NA,NA
JS00081,DNA,U18116,fin_clip,NA,NA,NA
JS00082,DNA,U18117,fin_clip,NA,NA,NA
JS00083,DNA,U18118,fin_clip,NA,NA,NA
JS00084,DNA,U18119,fin_clip,NA,NA,NA
JS00085,DNA,U18120,fin_clip,NA,NA,NA
JS00086,DNA,U18121,fin_clip,NA,NA,NA
JS00087,DNA,U18122,fin_clip,NA,NA,NA
JS00088,DNA,U18123,fin_clip,NA,NA,NA
JS00089,DNA,U18124,fin_clip,NA,NA,NA
JS00090,DNA,U18125,fin_clip,NA,NA,NA
JS00092,DNA,U18138,fin_clip,NA,NA,NA
JS00093,DNA,U18145,fin_clip,NA,NA,NA
JS00094,DNA,U18146,fin_clip,NA,NA,NA
JS00100,DNA,U18132,fin_clip,NA,NA,NA
JS00105,DNA,U18133,fin_clip,NA,NA,NA
JS00106,DNA,U18134,fin_clip,NA,NA,NA
JS00107,DNA,U18135,fin_clip,NA,NA,NA
JS00108,DNA,U18136,fin_clip,NA,NA,NA
JS00109,DNA,U18137,fin_clip,NA,NA,NA
JS00110,DNA,U18139,fin_clip,NA,NA,NA
JS00111,DNA,U18140,fin_clip,NA,NA,NA
JS00112,DNA,U18141,fin_clip,NA,NA,NA
JS00113,DNA,U18142,fin_clip,NA,NA,NA
JS00114,DNA,U18143,fin_clip,NA,NA,NA
JS00115,DNA,U18144,fin_clip,NA,NA,NA
JS00151,DNA,U18180,fin_clip,NA,NA,NA
JS00152,DNA,U18188,fin_clip,NA,NA,NA
JS00153,DNA,U18193,fin_clip,NA,NA,NA
JS00154,DNA,U18194,fin_clip,NA,NA,NA
JS00155,DNA,U18195,fin_clip,NA,NA,NA
JS00156,DNA,U18196,fin_clip,NA,NA,NA
JS00157,DNA,U18197,fin_clip,NA,NA,NA
JS00158,DNA,U18198,fin_clip,NA,NA,NA
JS00159,DNA,U18199,fin_clip,NA,NA,NA
JS00160,DNA,U18181,fin_clip,NA,NA,NA
JS00161,DNA,U18182,fin_clip,NA,NA,NA
JS00162,DNA,U18183,fin_clip,NA,NA,NA
JS00163,DNA,U18184,fin_clip,NA,NA,NA
JS00164,DNA,U18185,fin_clip,NA,NA,NA
JS00165,DNA,U18186,fin_clip,NA,NA,NA
JS00167,DNA,U18187,fin_clip,NA,NA,NA
JS00171,DNA,U18189,fin_clip,NA,NA,NA
JS00174,DNA,U18190,fin_clip,NA,NA,NA
JS00178,DNA,U18191,fin_clip,NA,NA,NA
JS00179,DNA,U18192,fin_clip,NA,NA,NA
JS00182,DNA,U18154,fin_clip,NA,PBS,NA
JS00186,DNA,U18165,fin_clip,NA,NA,NA
JS00187,DNA,U18166,fin_clip,NA,NA,NA
JS00191,DNA,U18147,fin_clip,NA,NA,NA
JS00192,DNA,U18148,fin_clip,NA,NA,NA
JS00195,DNA,U18149,fin_clip,NA,NA,NA
JS00196,DNA,U18150,fin_clip,NA,NA,NA
JS00197,DNA,U18151,fin_clip,NA,NA,NA
JS00198,DNA,U18152,fin_clip,NA,NA,NA
JS00199,DNA,U18153,fin_clip,NA,NA,NA
JS00200,DNA,U18155,fin_clip,NA,NA,NA
JS00201,DNA,U18156,fin_clip,NA,NA,NA
JS00202,DNA,U18157,fin_clip,NA,NA,NA
JS00203,DNA,U18158,fin_clip,NA,NA,NA
JS00204,DNA,U18159,fin_clip,NA,NA,NA
JS00205,DNA,U18160,fin_clip,NA,NA,NA
JS00206,DNA,U18161,fin_clip,NA,NA,NA
JS00207,DNA,U18162,fin_clip,NA,NA,NA
JS00208,DNA,U18163,fin_clip,NA,NA,NA
