sample_id,sample_type,ufn,tissue_type,sample_comments,analyzing_lab,quality_log
S2844DN1,DNA,U2844,liver,NA,NA,NA
S2845DN1,DNA,U2845,liver,NA,NA,NA
S2846DN1,DNA,U2846,liver,NA,NA,NA
S2847DN1,DNA,U2847,liver,NA,NA,NA
S2848DN1,DNA,U2848,liver,NA,NA,NA
S2849DN1,DNA,U2849,liver,NA,NA,NA
S2850DN1,DNA,U2850,liver,NA,NA,NA
S2851DN1,DNA,U2851,liver,NA,NA,NA
S2852DN1,DNA,U2852,liver,NA,NA,NA
S2853DN1,DNA,U2853,liver,NA,NA,NA
S2854DN1,DNA,U2854,liver,NA,NA,NA
S2855DN1,DNA,U2855,liver,NA,NA,NA
S2856DN1,DNA,U2856,liver,NA,NA,NA
S2857DN1,DNA,U2857,liver,NA,NA,NA
S2858DN1,DNA,U2858,liver,NA,NA,NA
S2859DN1,DNA,U2859,liver,NA,NA,NA
S2860DN1,DNA,U2860,liver,NA,NA,NA
S2861DN1,DNA,U2861,liver,NA,NA,NA
S2862DN1,DNA,U2862,liver,NA,NA,NA
S2863DN1,DNA,U2863,liver,NA,NA,NA
S2864DN1,DNA,U2864,liver,NA,NA,NA
S2865DN1,DNA,U2865,liver,NA,NA,NA
S2866DN1,DNA,U2866,liver,NA,NA,NA
S2867DN1,DNA,U2867,liver,NA,NA,NA
S2868DN1,DNA,U2868,liver,NA,NA,NA
S2869DN1,DNA,U2869,liver,NA,NA,NA
S2870DN1,DNA,U2870,liver,NA,NA,NA
S2871DN1,DNA,U2871,liver,NA,NA,NA
S2872DN1,DNA,U2872,liver,NA,NA,NA
S2873DN1,DNA,U2873,liver,NA,NA,NA
S2874DN1,DNA,U2874,liver,NA,NA,NA
S2875DN1,DNA,U2875,liver,NA,NA,NA
S2876DN1,DNA,U2876,liver,NA,NA,NA
S2877DN1,DNA,U2877,liver,NA,NA,NA
S2878DN1,DNA,U2878,liver,NA,NA,NA
S2879DN1,DNA,U2879,liver,NA,NA,NA
S2880DN1,DNA,U2880,liver,NA,NA,NA
S2881DN1,DNA,U2881,liver,NA,NA,NA
S2882DN1,DNA,U2882,liver,NA,NA,NA
S2883DN1,DNA,U2883,liver,NA,NA,NA
S2884DN1,DNA,U2884,liver,NA,NA,NA
S2885DN1,DNA,U2885,liver,NA,NA,NA
S2886DN1,DNA,U2886,liver,NA,NA,NA
S2887DN1,DNA,U2887,liver,NA,NA,NA
S2888DN1,DNA,U2888,liver,NA,NA,NA
S2889DN1,DNA,U2889,liver,NA,NA,NA
S2890DN1,DNA,U2890,liver,NA,NA,NA
S2891DN1,DNA,U2891,liver,NA,NA,NA
S2892DN1,DNA,U2892,liver,NA,NA,NA
S2893DN1,DNA,U2893,liver,NA,NA,NA
S2894DN1,DNA,U2894,liver,NA,NA,NA
S2895DN1,DNA,U2895,liver,NA,NA,NA
S2896DN1,DNA,U2896,liver,NA,NA,NA
