sample_id,sample_type,ufn,sample_comments,analyzing_lab
S516SL1,sealice_id_fs,U516,NA,LPortner
S457SL1,sealice_id_fs,U457,NA,LPortner
S458SL1,sealice_id_fs,U458,NA,LPortner
S517SL1,sealice_id_fs,U517,NA,LPortner
S507SL1,sealice_id_fs,U507,NA,LPortner
S518SL1,sealice_id_fs,U518,NA,LPortner
S459SL1,sealice_id_fs,U459,NA,LPortner
S519SL1,sealice_id_fs,U519,NA,LPortner
S520SL1,sealice_id_fs,U520,NA,LPortner
S508SL1,sealice_id_fs,U508,NA,LPortner
S460SL1,sealice_id_fs,U460,NA,LPortner
S509SL1,sealice_id_fs,U509,NA,LPortner
S510SL1,sealice_id_fs,U510,NA,LPortner
S531SL1,sealice_id_fs,U531,NA,LPortner
S521SL1,sealice_id_fs,U521,NA,LPortner
S541SL1,sealice_id_fs,U541,NA,LPortner
S522SL1,sealice_id_fs,U522,NA,LPortner
S542SL1,sealice_id_fs,U542,NA,LPortner
S536SL1,sealice_id_fs,U536,NA,LPortner
S547SL1,sealice_id_fs,U547,NA,LPortner
S537SL1,sealice_id_fs,U537,NA,LPortner
S529SL1,sealice_id_fs,U529,NA,LPortner
S548SL1,sealice_id_fs,U548,NA,LPortner
S549SL1,sealice_id_fs,U549,NA,LPortner
S538SL1,sealice_id_fs,U538,NA,LPortner
S550SL1,sealice_id_fs,U550,NA,LPortner
S539SL1,sealice_id_fs,U539,NA,LPortner
S551SL1,sealice_id_fs,U551,NA,LPortner
S561SL1,sealice_id_fs,U561,NA,LPortner
S552SL1,sealice_id_fs,U552,NA,LPortner
S540SL1,sealice_id_fs,U540,NA,LPortner
S553SL1,sealice_id_fs,U553,NA,LPortner
S562SL1,sealice_id_fs,U562,NA,LPortner
S554SL1,sealice_id_fs,U554,NA,LPortner
S581SL1,sealice_id_fs,U581,NA,LPortner
S582SL1,sealice_id_fs,U582,NA,LPortner
S564SL1,sealice_id_fs,U564,NA,LPortner
S583SL1,sealice_id_fs,U583,NA,LPortner
S555SL1,sealice_id_fs,U555,NA,LPortner
S563SL1,sealice_id_fs,U563,NA,LPortner
S556SL1,sealice_id_fs,U556,NA,LPortner
S565SL1,sealice_id_fs,U565,NA,LPortner
S560SL1,sealice_id_fs,U560,NA,LPortner
S587SL1,sealice_id_fs,U587,NA,LPortner
S571SL1,sealice_id_fs,U571,NA,LPortner
S572SL1,sealice_id_fs,U572,NA,LPortner
S588SL1,sealice_id_fs,U588,NA,LPortner
S573SL1,sealice_id_fs,U573,NA,LPortner
S589SL1,sealice_id_fs,U589,NA,LPortner
S574SL1,sealice_id_fs,U574,NA,LPortner
S575SL1,sealice_id_fs,U575,NA,LPortner
S570SL1,sealice_id_fs,U570,NA,LPortner
S592SL1,sealice_id_fs,U592,NA,LPortner
S579SL1,sealice_id_fs,U579,NA,LPortner
S631SL1,sealice_id_fs,U631,NA,LPortner
S580SL1,sealice_id_fs,U580,NA,LPortner
S632SL1,sealice_id_fs,U632,NA,LPortner
S594SL1,sealice_id_fs,U594,NA,LPortner
S611SL1,sealice_id_fs,U611,NA,LPortner
S633SL1,sealice_id_fs,U633,NA,LPortner
S595SL1,sealice_id_fs,U595,NA,LPortner
S612SL1,sealice_id_fs,U612,NA,LPortner
S634SL1,sealice_id_fs,U634,NA,LPortner
S596SL1,sealice_id_fs,U596,"3 lice in this vial are from U597 (2 Caligus Chal As, and 1 potential Caligus Chal B",LPortner
S600SL1,sealice_id_fs,U600,NA,LPortner
S616SL1,sealice_id_fs,U616,NA,LPortner
S622SL1,sealice_id_fs,U622,NA,LPortner
S623SL1,sealice_id_fs,U623,NA,LPortner
S643SL1,sealice_id_fs,U643,NA,LPortner
S619SL1,sealice_id_fs,U619,NA,LPortner
S644SL1,sealice_id_fs,U644,NA,LPortner
S645SL1,sealice_id_fs,U645,NA,LPortner
S652SL1,sealice_id_fs,U652,NA,LPortner
S620SL1,sealice_id_fs,U620,NA,LPortner
S653SL1,sealice_id_fs,U653,NA,LPortner
S646SL1,sealice_id_fs,U646,NA,LPortner
S661SL1,sealice_id_fs,U661,NA,LPortner
S648SL1,sealice_id_fs,U648,NA,LPortner
S662SL1,sealice_id_fs,U662,Mangled Cal chab B in vial (in a few pieces),LPortner
S659SL1,sealice_id_fs,U659,NA,LPortner
S664SL1,sealice_id_fs,U664,NA,LPortner
S672SL1,sealice_id_fs,U672,NA,LPortner
S660SL1,sealice_id_fs,U660,NA,LPortner
S681SL1,sealice_id_fs,U681,NA,LPortner
S673SL1,sealice_id_fs,U673,1 Cal Chal B male missing tail,LPortner
S665SL1,sealice_id_fs,U665,NA,LPortner
S666SL1,sealice_id_fs,U666,NA,LPortner
S682SL1,sealice_id_fs,U682,NA,LPortner
S674SL1,sealice_id_fs,U674,NA,LPortner
S668SL1,sealice_id_fs,U668,NA,LPortner
S676SL1,sealice_id_fs,U676,NA,LPortner
S677SL1,sealice_id_fs,U677,NA,LPortner
S685SL1,sealice_id_fs,U685,NA,LPortner
S678SL1,sealice_id_fs,U678,NA,LPortner
S669SL1,sealice_id_fs,U669,NA,LPortner
S627SL1,sealice_id_fs,U627,NA,LPortner
S670SL1,sealice_id_fs,U670,NA,LPortner
S686SL1,sealice_id_fs,U686,NA,LPortner
S687SL1,sealice_id_fs,U687,NA,LPortner
S628SL1,sealice_id_fs,U628,NA,LPortner
S704SL1,sealice_id_fs,U704,NA,LPortner
S711SL1,sealice_id_fs,U711,NA,LPortner
S705SL1,sealice_id_fs,U705,NA,LPortner
S721SL1,sealice_id_fs,U721,NA,LPortner
S722SL1,sealice_id_fs,U722,NA,LPortner
S706SL1,sealice_id_fs,U706,NA,LPortner
S712SL1,sealice_id_fs,U712,NA,LPortner
S723SL1,sealice_id_fs,U723,NA,LPortner
S707SL1,sealice_id_fs,U707,NA,LPortner
S630SL1,sealice_id_fs,U630,NA,LPortner
S724SL1,sealice_id_fs,U724,NA,LPortner
S708SL1,sealice_id_fs,U708,NA,LPortner
S714SL1,sealice_id_fs,U714,NA,LPortner
S717SL1,sealice_id_fs,U717,NA,LPortner
S781SL1,sealice_id_fs,U781,NA,LPortner
S754SL1,sealice_id_fs,U754,NA,LPortner
S782SL1,sealice_id_fs,U782,NA,LPortner
S719SL1,sealice_id_fs,U719,NA,LPortner
S783SL1,sealice_id_fs,U783,NA,LPortner
S734SL1,sealice_id_fs,U734,NA,LPortner
S720SL1,sealice_id_fs,U720,NA,LPortner
S784SL1,sealice_id_fs,U784,NA,LPortner
S761SL1,sealice_id_fs,U761,NA,LPortner
S735SL1,sealice_id_fs,U735,NA,LPortner
S785SL1,sealice_id_fs,U785,NA,LPortner
S762SL1,sealice_id_fs,U762,NA,LPortner
S736SL1,sealice_id_fs,U736,NA,LPortner
S786SL1,sealice_id_fs,U786,NA,LPortner
S737SL1,sealice_id_fs,U737,NA,LPortner
S763SL1,sealice_id_fs,U763,NA,LPortner
S738SL1,sealice_id_fs,U738,NA,LPortner
S787SL1,sealice_id_fs,U787,NA,LPortner
S764SL1,sealice_id_fs,U764,NA,LPortner
S739SL1,sealice_id_fs,U739,NA,LPortner
S788SL1,sealice_id_fs,U788,NA,LPortner
S765SL1,sealice_id_fs,U765,NA,LPortner
S740SL1,sealice_id_fs,U740,NA,LPortner
S789SL1,sealice_id_fs,U789,NA,LPortner
S766SL1,sealice_id_fs,U766,NA,LPortner
S790SL1,sealice_id_fs,U790,NA,LPortner
S792SL1,sealice_id_fs,U792,NA,LPortner
S777SL1,sealice_id_fs,U777,NA,LPortner
S778SL1,sealice_id_fs,U778,NA,LPortner
S779SL1,sealice_id_fs,U779,NA,LPortner
S804SL1,sealice_id_fs,U804,NA,LPortner
S797SL1,sealice_id_fs,U797,NA,LPortner
S805SL1,sealice_id_fs,U805,NA,LPortner
S780SL1,sealice_id_fs,U780,NA,LPortner
S798SL1,sealice_id_fs,U798,NA,LPortner
S799SL1,sealice_id_fs,U799,NA,LPortner
S756SL1,sealice_id_fs,U756,NA,LPortner
S811SL1,sealice_id_fs,U811,NA,LPortner
S807SL1,sealice_id_fs,U807,NA,LPortner
S808SL1,sealice_id_fs,U808,NA,LPortner
S812SL1,sealice_id_fs,U812,NA,LPortner
S758SL1,sealice_id_fs,U758,NA,LPortner
S814SL1,sealice_id_fs,U814,NA,LPortner
S810SL1,sealice_id_fs,U810,NA,LPortner
S809SL1,sealice_id_fs,U809,NA,LPortner
S815SL1,sealice_id_fs,U815,NA,LPortner
S800SL1,sealice_id_fs,U800,NA,LPortner
S821SL1,sealice_id_fs,U821,NA,LPortner
S822SL1,sealice_id_fs,U822,NA,LPortner
S816SL1,sealice_id_fs,U816,NA,LPortner
S831SL1,sealice_id_fs,U831,NA,LPortner
S835SL1,sealice_id_fs,U835,NA,LPortner
S836SL1,sealice_id_fs,U836,NA,LPortner
S841SL1,sealice_id_fs,U841,NA,LPortner
S837SL1,sealice_id_fs,U837,NA,LPortner
S842SL1,sealice_id_fs,U842,NA,LPortner
S843SL1,sealice_id_fs,U843,NA,LPortner
S838SL1,sealice_id_fs,U838,NA,LPortner
S844SL1,sealice_id_fs,U844,NA,LPortner
S840SL1,sealice_id_fs,U840,NA,LPortner
S846SL1,sealice_id_fs,U846,NA,LPortner
S861SL1,sealice_id_fs,U861,NA,LPortner
S826SL1,sealice_id_fs,U826,NA,LPortner
S847SL1,sealice_id_fs,U847,NA,LPortner
S864SL1,sealice_id_fs,U864,NA,LPortner
S849SL1,sealice_id_fs,U849,NA,LPortner
S850SL1,sealice_id_fs,U850,NA,LPortner
S866SL1,sealice_id_fs,U866,NA,LPortner
S881SL1,sealice_id_fs,U881,NA,LPortner
S867SL1,sealice_id_fs,U867,NA,LPortner
S868SL1,sealice_id_fs,U868,NA,LPortner
S869SL1,sealice_id_fs,U869,NA,LPortner
S882SL1,sealice_id_fs,U882,NA,LPortner
S870SL1,sealice_id_fs,U870,NA,LPortner
S883SL1,sealice_id_fs,U883,NA,LPortner
S891SL1,sealice_id_fs,U891,NA,LPortner
S884SL1,sealice_id_fs,U884,NA,LPortner
S922SL1,sealice_id_fs,U922,NA,LPortner
S912SL1,sealice_id_fs,U912,NA,LPortner
S907SL1,sealice_id_fs,U907,NA,LPortner
S914SL1,sealice_id_fs,U914,NA,LPortner
S908SL1,sealice_id_fs,U908,NA,LPortner
S876SL1,sealice_id_fs,U876,NA,LPortner
S909SL1,sealice_id_fs,U909,NA,LPortner
S877SL1,sealice_id_fs,U877,NA,LPortner
S915SL1,sealice_id_fs,U915,NA,LPortner
S910SL1,sealice_id_fs,U910,NA,LPortner
S854SL1,sealice_id_fs,U854,NA,LPortner
S878SL1,sealice_id_fs,U878,NA,LPortner
S931SL1,sealice_id_fs,U931,NA,LPortner
S932SL1,sealice_id_fs,U932,NA,LPortner
S855SL1,sealice_id_fs,U855,NA,LPortner
S916SL1,sealice_id_fs,U916,NA,LPortner
S933SL1,sealice_id_fs,U933,NA,LPortner
S934SL1,sealice_id_fs,U934,NA,LPortner
S879SL1,sealice_id_fs,U879,NA,LPortner
S917SL1,sealice_id_fs,U917,NA,LPortner
S880SL1,sealice_id_fs,U880,NA,LPortner
S935SL1,sealice_id_fs,U935,NA,LPortner
S918SL1,sealice_id_fs,U918,NA,LPortner
S936SL1,sealice_id_fs,U936,NA,LPortner
S921SL1,sealice_id_fs,U921,NA,LPortner
S919SL1,sealice_id_fs,U919,NA,LPortner
S920SL1,sealice_id_fs,U920,NA,LPortner
S923SL1,sealice_id_fs,U923,NA,LPortner
S856SL1,sealice_id_fs,U856,NA,LPortner
S937SL1,sealice_id_fs,U937,NA,LPortner
S938SL1,sealice_id_fs,U938,NA,LPortner
S924SL1,sealice_id_fs,U924,NA,LPortner
S857SL1,sealice_id_fs,U857,NA,LPortner
S939SL1,sealice_id_fs,U939,NA,LPortner
S925SL1,sealice_id_fs,U925,NA,LPortner
S858SL1,sealice_id_fs,U858,NA,LPortner
S926SL1,sealice_id_fs,U926,NA,LPortner
S859SL1,sealice_id_fs,U859,NA,LPortner
S927SL1,sealice_id_fs,U927,NA,LPortner
S961SL1,sealice_id_fs,U961,NA,LPortner
S860SL1,sealice_id_fs,U860,NA,LPortner
S928SL1,sealice_id_fs,U928,NA,LPortner
S963SL1,sealice_id_fs,U963,NA,LPortner
S943SL1,sealice_id_fs,U943,NA,LPortner
S966SL1,sealice_id_fs,U966,NA,LPortner
S953SL1,sealice_id_fs,U953,Lep chal A retained but got a bit squished,LPortner
S967SL1,sealice_id_fs,U967,NA,LPortner
S930SL1,sealice_id_fs,U930,NA,LPortner
S954SL1,sealice_id_fs,U954,NA,LPortner
S955SL1,sealice_id_fs,U955,NA,LPortner
S968SL1,sealice_id_fs,U968,NA,LPortner
S981SL1,sealice_id_fs,U981,NA,LPortner
S982SL1,sealice_id_fs,U982,NA,LPortner
S969SL1,sealice_id_fs,U969,NA,LPortner
S956SL1,sealice_id_fs,U956,NA,LPortner
S957SL1,sealice_id_fs,U957,NA,LPortner
S983SL1,sealice_id_fs,U983,NA,LPortner
S970SL1,sealice_id_fs,U970,NA,LPortner
S944SL1,sealice_id_fs,U944,NA,LPortner
S991SL1,sealice_id_fs,U991,NA,LPortner
S984SL1,sealice_id_fs,U984,Louse vial dropped,LPortner
S945SL1,sealice_id_fs,U945,NA,LPortner
S993SL1,sealice_id_fs,U993,NA,LPortner
S958SL1,sealice_id_fs,U958,NA,LPortner
S960SL1,sealice_id_fs,U960,NA,LPortner
S1011SL1,sealice_id_fs,U1011,NA,LPortner
S999SL1,sealice_id_fs,U999,NA,LPortner
S1005SL1,sealice_id_fs,U1005,NA,LPortner
S1006SL1,sealice_id_fs,U1006,NA,LPortner
S1013SL1,sealice_id_fs,U1013,NA,LPortner
S1014SL1,sealice_id_fs,U1014,NA,LPortner
S947SL1,sealice_id_fs,U947,NA,LPortner
S948SL1,sealice_id_fs,U948,NA,LPortner
S1021SL1,sealice_id_fs,U1021,NA,LPortner
S949SL1,sealice_id_fs,U949,NA,LPortner
S1007SL1,sealice_id_fs,U1007,NA,LPortner
S950SL1,sealice_id_fs,U950,NA,LPortner
S1022SL1,sealice_id_fs,U1022,NA,LPortner
S1008SL1,sealice_id_fs,U1008,NA,LPortner
