ufn,sample_type,sample_id,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
U207,RNA_DNA,S207RD1,NA,UBC_Hunt,AV,NA
U208,RNA_DNA,S208RD1,NA,UBC_Hunt,AV,NA
U209,RNA_DNA,S209RD1,NA,UBC_Hunt,AV,NA
U210,RNA_DNA,S210RD1,NA,UBC_Hunt,AV,NA
U241,RNA_DNA,S241RD1,NA,UBC_Hunt,AV,NA
U242,RNA_DNA,S242RD1,NA,UBC_Hunt,AV,NA
U243,RNA_DNA,S243RD1,NA,UBC_Hunt,AV,NA
U244,RNA_DNA,S244RD1,NA,UBC_Hunt,AV,NA
U127,RNA_DNA,S127RD1,NA,UBC_Hunt,AV,NA
U128,RNA_DNA,S128RD1,NA,UBC_Hunt,AV,NA
U129,RNA_DNA,S129RD1,NA,UBC_Hunt,AV,NA
U130,RNA_DNA,S130RD1,NA,UBC_Hunt,AV,NA
U311,RNA_DNA,S311RD1,NA,UBC_Hunt,AV,NA
U312,RNA_DNA,S312RD1,NA,UBC_Hunt,AV,NA
U313,RNA_DNA,S313RD1,NA,UBC_Hunt,AV,NA
U99,RNA_DNA,S99RD1,NA,UBC_Hunt,AV,NA
U200,RNA_DNA,S200RD1,NA,UBC_Hunt,AV,NA
U231,RNA_DNA,S231RD1,NA,UBC_Hunt,AV,NA
U232,RNA_DNA,S232RD1,NA,UBC_Hunt,AV,NA
U233,RNA_DNA,S233RD1,NA,UBC_Hunt,AV,NA
U234,RNA_DNA,S234RD1,NA,UBC_Hunt,AV,NA
U235,RNA_DNA,S235RD1,NA,UBC_Hunt,AV,NA
U236,RNA_DNA,S236RD1,NA,UBC_Hunt,AV,NA
U220,RNA_DNA,S220RD1,NA,UBC_Hunt,AV,NA
U219,RNA_DNA,S219RD1,NA,UBC_Hunt,AV,NA
U218,RNA_DNA,S218RD1,NA,UBC_Hunt,AV,NA
U217,RNA_DNA,S217RD1,NA,UBC_Hunt,AV,NA
U216,RNA_DNA,S216RD1,NA,UBC_Hunt,AV,NA
U215,RNA_DNA,S215RD1,NA,UBC_Hunt,AV,NA
U214,RNA_DNA,S214RD1,NA,UBC_Hunt,AV,NA
U213,RNA_DNA,S213RD1,NA,UBC_Hunt,AV,NA
U237,RNA_DNA,S237RD1,NA,UBC_Hunt,AV,NA
U238,RNA_DNA,S238RD1,NA,UBC_Hunt,AV,NA
U239,RNA_DNA,S239RD1,NA,UBC_Hunt,AV,NA
U240,RNA_DNA,S240RD1,NA,UBC_Hunt,AV,NA
U251,RNA_DNA,S251RD1,NA,UBC_Hunt,AV,NA
U252,RNA_DNA,S252RD1,NA,UBC_Hunt,AV,NA
U253,RNA_DNA,S253RD1,NA,UBC_Hunt,AV,NA
U254,RNA_DNA,S254RD1,NA,UBC_Hunt,AV,NA
U228,RNA_DNA,S228RD1,NA,UBC_Hunt,AV,NA
U227,RNA_DNA,S227RD1,NA,UBC_Hunt,AV,NA
U226,RNA_DNA,S226RD1,NA,UBC_Hunt,AV,NA
U225,RNA_DNA,S225RD1,NA,UBC_Hunt,AV,NA
U224,RNA_DNA,S224RD1,NA,UBC_Hunt,AV,NA
U223,RNA_DNA,S223RD1,NA,UBC_Hunt,AV,NA
U222,RNA_DNA,S222RD1,NA,UBC_Hunt,AV,NA
U221,RNA_DNA,S221RD1,NA,UBC_Hunt,AV,NA
U245,RNA_DNA,S245RD1,NA,UBC_Hunt,AV,NA
