sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S01ST1,stomach,gut_whole,U01,NA,UBC_Hunt,AV,NA
S02ST1,stomach,gut_whole,U02,NA,UBC_Hunt,AV,NA
S03ST1,stomach,gut_whole,U03,NA,UBC_Hunt,AV,NA
S04ST1,stomach,gut_whole,U04,NA,UBC_Hunt,AV,NA
S05ST1,stomach,gut_whole,U05,NA,UBC_Hunt,AV,NA
S07ST1,stomach,gut_whole,U07,NA,UBC_Hunt,AV,NA
S08ST1,stomach,gut_whole,U08,NA,UBC_Hunt,AV,NA
S09ST1,stomach,gut_whole,U09,NA,UBC_Hunt,AV,NA
S10ST1,stomach,gut_whole,U10,NA,UBC_Hunt,AV,NA
S11ST1,stomach,gut_whole,U11,NA,UBC_Hunt,AV,NA
S12ST1,stomach,gut_whole,U12,NA,UBC_Hunt,AV,NA
S13ST1,stomach,gut_whole,U13,NA,UBC_Hunt,AV,NA
S14ST1,stomach,gut_whole,U14,NA,UBC_Hunt,AV,NA
S15ST1,stomach,gut_whole,U15,NA,UBC_Hunt,AV,NA
S16ST1,stomach,gut_whole,U16,NA,UBC_Hunt,AV,NA
S17ST1,stomach,gut_whole,U17,NA,UBC_Hunt,AV,NA
S18ST1,stomach,gut_whole,U18,NA,UBC_Hunt,AV,NA
S19ST1,stomach,gut_whole,U19,NA,UBC_Hunt,AV,NA
S20ST1,stomach,gut_whole,U20,NA,UBC_Hunt,AV,NA
S21ST1,stomach,gut_whole,U21,NA,UBC_Hunt,AV,NA
S22ST1,stomach,gut_whole,U22,NA,UBC_Hunt,AV,NA
S23ST1,stomach,gut_whole,U23,NA,UBC_Hunt,AV,NA
S24ST1,stomach,gut_whole,U24,NA,UBC_Hunt,AV,NA
S25ST1,stomach,gut_whole,U25,NA,UBC_Hunt,AV,NA
S26ST1,stomach,gut_whole,U26,NA,UBC_Hunt,AV,NA
S27ST1,stomach,gut_whole,U27,NA,UBC_Hunt,AV,NA
S28ST1,stomach,gut_whole,U28,NA,UBC_Hunt,AV,NA
S29ST1,stomach,gut_whole,U29,NA,UBC_Hunt,AV,NA
S30ST1,stomach,gut_whole,U30,NA,UBC_Hunt,AV,NA
S31ST1,stomach,gut_whole,U31,NA,UBC_Hunt,AV,NA
S32ST1,stomach,gut_whole,U32,NA,UBC_Hunt,AV,NA
S33ST1,stomach,gut_whole,U33,NA,UBC_Hunt,AV,NA
S34ST1,stomach,gut_whole,U34,NA,UBC_Hunt,AV,NA
S35ST1,stomach,gut_whole,U35,NA,UBC_Hunt,AV,NA
S36ST1,stomach,gut_whole,U36,NA,UBC_Hunt,AV,NA
S37ST1,stomach,gut_whole,U37,NA,UBC_Hunt,AV,NA
S38ST1,stomach,gut_whole,U38,NA,UBC_Hunt,AV,NA
S40ST1,stomach,gut_whole,U40,NA,UBC_Hunt,AV,NA
S41ST1,stomach,gut_whole,U41,NA,UBC_Hunt,AV,NA
S42ST1,stomach,gut_whole,U42,NA,UBC_Hunt,AV,NA
S43ST1,stomach,gut_whole,U43,NA,UBC_Hunt,AV,NA
S45ST1,stomach,gut_whole,U45,NA,UBC_Hunt,AV,NA
S46ST1,stomach,gut_whole,U46,NA,UBC_Hunt,AV,NA
S47ST1,stomach,gut_whole,U47,NA,UBC_Hunt,AV,NA
S48ST1,stomach,gut_whole,U48,NA,UBC_Hunt,AV,NA
S49ST1,stomach,gut_whole,U49,NA,UBC_Hunt,AV,NA
S50ST1,stomach,gut_whole,U50,NA,UBC_Hunt,AV,NA
S51ST1,stomach,gut_whole,U51,NA,UBC_Hunt,AV,NA
S52ST1,stomach,gut_whole,U52,NA,UBC_Hunt,AV,NA
S53ST1,stomach,gut_whole,U53,NA,UBC_Hunt,AV,NA
S54ST1,stomach,gut_whole,U54,NA,UBC_Hunt,AV,NA
S55ST1,stomach,gut_whole,U55,NA,UBC_Hunt,AV,NA
S56ST1,stomach,gut_whole,U56,NA,UBC_Hunt,AV,NA
S57ST1,stomach,gut_whole,U57,NA,UBC_Hunt,AV,NA
S58ST1,stomach,gut_whole,U58,NA,UBC_Hunt,AV,NA
S59ST1,stomach,gut_whole,U59,NA,UBC_Hunt,AV,NA
S60ST1,stomach,gut_whole,U60,NA,UBC_Hunt,AV,NA
S61ST1,stomach,gut_whole,U61,NA,UBC_Hunt,AV,NA
S62ST1,stomach,gut_whole,U62,NA,UBC_Hunt,AV,NA
S63ST1,stomach,gut_whole,U63,NA,UBC_Hunt,AV,NA
S64ST1,stomach,gut_whole,U64,NA,UBC_Hunt,AV,NA
S65ST1,stomach,gut_whole,U65,NA,UBC_Hunt,AV,NA
S66ST1,stomach,gut_whole,U66,NA,UBC_Hunt,AV,NA
S68ST1,stomach,gut_whole,U68,NA,UBC_Hunt,AV,NA
S69ST1,stomach,gut_whole,U69,NA,UBC_Hunt,AV,NA
S70ST1,stomach,gut_whole,U70,NA,UBC_Hunt,AV,NA
S71ST1,stomach,gut_whole,U71,NA,UBC_Hunt,AV,NA
S72ST1,stomach,gut_whole,U72,NA,UBC_Hunt,AV,NA
S73ST1,stomach,gut_whole,U73,NA,UBC_Hunt,AV,NA
S74ST1,stomach,gut_whole,U74,NA,UBC_Hunt,AV,NA
S75ST1,stomach,gut_whole,U75,NA,UBC_Hunt,AV,NA
S76ST1,stomach,gut_whole,U76,NA,UBC_Hunt,AV,NA
S77ST1,stomach,gut_whole,U77,NA,UBC_Hunt,AV,NA
S78ST1,stomach,gut_whole,U78,NA,UBC_Hunt,AV,NA
S79ST1,stomach,gut_whole,U79,NA,UBC_Hunt,AV,NA
S80ST1,stomach,gut_whole,U80,NA,UBC_Hunt,AV,NA
S81ST1,stomach,gut_whole,U81,NA,UBC_Hunt,AV,NA
