sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S01SC1,scale,U01,NA,NA,AV,NA
S02SC1,scale,U02,NA,NA,AV,NA
S03SC1,scale,U03,NA,NA,AV,NA
S04SC1,scale,U04,NA,NA,AV,NA
S07SC1,scale,U07,NA,NA,AV,NA
S08SC1,scale,U08,NA,NA,AV,NA
S09SC1,scale,U09,NA,NA,AV,NA
S10SC1,scale,U10,NA,NA,AV,NA
S11SC1,scale,U11,NA,NA,AV,NA
S12SC1,scale,U12,NA,NA,AV,NA
S13SC1,scale,U13,NA,NA,AV,NA
S14SC1,scale,U14,NA,NA,AV,NA
S15SC1,scale,U15,NA,NA,AV,NA
S16SC1,scale,U16,NA,NA,AV,NA
S17SC1,scale,U17,NA,NA,AV,NA
S18SC1,scale,U18,NA,NA,AV,NA
S19SC1,scale,U19,NA,NA,AV,NA
S20SC1,scale,U20,NA,NA,AV,NA
S21SC1,scale,U21,NA,NA,AV,NA
S23SC1,scale,U23,NA,NA,AV,NA
S24SC1,scale,U24,NA,NA,AV,NA
S25SC1,scale,U25,NA,NA,AV,NA
S26SC1,scale,U26,NA,NA,AV,NA
S27SC1,scale,U27,NA,NA,AV,NA
S28SC1,scale,U28,NA,NA,AV,NA
S29SC1,scale,U29,NA,NA,AV,NA
S30SC1,scale,U30,NA,NA,AV,NA
S31SC1,scale,U31,NA,NA,AV,NA
S32SC1,scale,U32,NA,NA,AV,NA
S33SC1,scale,U33,NA,NA,AV,NA
S34SC1,scale,U34,NA,NA,AV,NA
S35SC1,scale,U35,NA,NA,AV,NA
S36SC1,scale,U36,NA,NA,AV,NA
S37SC1,scale,U37,NA,NA,AV,NA
S38SC1,scale,U38,NA,NA,AV,NA
S40SC1,scale,U40,NA,NA,AV,NA
S41SC1,scale,U41,NA,NA,AV,NA
S42SC1,scale,U42,NA,NA,AV,NA
S43SC1,scale,U43,NA,NA,AV,NA
S45SC1,scale,U45,NA,NA,AV,NA
S46SC1,scale,U46,NA,NA,AV,NA
S47SC1,scale,U47,NA,NA,AV,NA
S48SC1,scale,U48,NA,NA,AV,NA
S49SC1,scale,U49,NA,NA,AV,NA
S50SC1,scale,U50,NA,NA,AV,NA
S51SC1,scale,U51,NA,NA,AV,NA
S52SC1,scale,U52,NA,NA,AV,NA
S53SC1,scale,U53,NA,NA,AV,NA
S54SC1,scale,U54,NA,NA,AV,NA
S55SC1,scale,U55,NA,NA,AV,NA
S56SC1,scale,U56,NA,NA,AV,NA
S57SC1,scale,U57,NA,NA,AV,NA
S58SC1,scale,U58,NA,NA,AV,NA
S59SC1,scale,U59,NA,NA,AV,NA
S60SC1,scale,U60,NA,NA,AV,NA
S61SC1,scale,U61,NA,NA,AV,NA
S62SC1,scale,U62,NA,NA,AV,NA
S63SC1,scale,U63,NA,NA,AV,NA
S64SC1,scale,U64,NA,NA,AV,NA
S66SC1,scale,U66,NA,NA,AV,NA
S68SC1,scale,U68,NA,NA,AV,NA
