package_id,seine_id,pkg_species,n_fish,field_liced_status,preservation_status,pkg_type,pkg_comments
DP783,DE321N1,PI,10,N,OK,JSP,NA
DP717,DE327N1,CU,10,N,NA,JSP,NA
DP726,DE327N1,PI,10,N,NA,JSP,NA
DP752,DE335N2,CU,10,N,OK,JSP,NA
DP781,DE335N2,PI,10,N,OK,JSP,NA
DP881,DE335N2,SO,10,N,OK,JSP,NA
DP857,DE335N2,SO,10,N,OK,JSP,NA
DP744,DE338N1,HE,3,N,OK,JSP,NA
DP742,DE338N1,CU,10,N,OK,JSP,NA
DP764,DE338N1,PI,10,N,OK,JSP,NA
DP891,DE338N1,SO,10,N,OK,JSP,NA
DP856,DE338N1,SO,10,N,OK,JSP,NA
DP740,DE341N1,HE,3,N,OK,JSP,NA
DP747,DE341N1,CU,10,N,OK,JSP,NA
DP773,DE341N1,PI,10,N,OK,JSP,NA
DP877,DE341N1,SO,1,N,OK,JSP,NA
DP755,DE344N1,HE,3,N,OK,JSP,NA
DP736,DE344N1,CU,10,N,OK,JSP,NA
DP777,DE344N1,PI,10,N,OK,JSP,NA
DP753,DE352N1,HE,2,N,OK,JSP,NA
DP741,DE352N1,CU,10,N,OK,JSP,NA
DP769,DE352N1,PI,10,N,OK,JSP,NA
DP737,DE353N1,CU,10,N,OK,JSP,NA
DP789,DE353N1,PI,10,N,OK,JSP,NA
DP860,DE353N1,SO,2,N,OK,JSP,NA
DP852,DE353N1,SO,10,N,OK,JSP,NA
DP750,DE355N1,CU,10,N,OK,JSP,NA
DP787,DE355N1,PI,10,N,OK,JSP,NA
DP758,DE360N1,CU,10,N,OK,JSP,NA
DP782,DE360N1,PI,10,N,OK,JSP,NA
DP868,DE360N1,SO,5,N,OK,JSP,NA
DP889,DE360N1,SO,5,N,OK,JSP,NA
DP890,DE360N1,SO,5,N,OK,JSP,NA
DP4,DE364N1,PI,4,Y,OK,JSP,NA
DP5,DE364N1,CU,4,Y,OK,JSP,NA
DP9,DE365N1,SO,10,Y,OK,JSP,NA
DP10,DE365N1,SO,10,N,OK,JSP,NA
DP11,DE365N1,SO,10,N,OK,JSP,NA
DP12,DE365N1,PI,2,N,OK,JSP,NA
DP13,DE365N1,CU,10,N,OK,JSP,NA
DP14,DE365N1,CO,4,N,OK,JSP,NA
DP17,DE366N1,SO,10,Y,OK,JSP,NA
DP18,DE366N1,SO,10,N,OK,JSP,NA
DP19,DE366N1,SO,10,N,OK,JSP,NA
DP22,DE366N1,CO,5,N,OK,JSP,NA
DP23,DE366N1,HE,1,N,OK,JSP,NA
DP25,DE367N1,SO,8,Y,OK,JSP,NA
DP28,DE367N1,PI,1,N,OK,JSP,NA
DP29,DE367N1,CU,10,N,OK,JSP,NA
DP31,DE367N1,HE,1,N,OK,JSP,NA
DP36,DE368N1,PI,3,N,OK,JSP,NA
DP37,DE368N1,CU,10,N,OK,JSP,NA
DP38,DE368N1,CO,4,N,OK,JSP,NA
DP500,DE368N1,CK,1,N,OK,JSP,NA
DP41,DE369N1,SO,10,Y,OK,JSP,NA
DP42,DE369N1,SO,1,N,OK,JSP,NA
DP45,DE369N1,CU,10,N,OK,JSP,NA
DP47,DE369N1,HE,1,N,OK,JSP,NA
DP49,DE370N1,SO,10,Y,OK,JSP,NA
DP50,DE370N1,SO,10,N,OK,JSP,NA
DP51,DE370N1,SO,10,N,OK,JSP,NA
DP52,DE370N1,PI,10,N,OK,JSP,Time out of water for pink estimated
DP53,DE370N1,CU,10,N,OK,JSP,NA
DP55,DE370N1,HE,3,N,OK,JSP,NA
DP57,DE371N1,SO,10,Y,OK,JSP,NA
DP58,DE371N1,SO,10,N,OK,JSP,NA
DP59,DE371N1,SO,10,N,OK,JSP,NA
DP60,DE371N1,PI,5,N,OK,JSP,NA
DP61,DE371N1,CU,10,N,OK,JSP,NA
DP63,DE371N1,HE,3,N,OK,JSP,NA
DP65,DE372N1,SO,10,Y,OK,JSP,NA
DP66,DE372N1,SO,10,N,OK,JSP,NA
DP67,DE372N1,SO,10,N,OK,JSP,NA
DP69,DE372N1,CU,10,N,OK,JSP,NA
DP71,DE372N1,HE,1,N,OK,JSP,NA
MP4,DE373N1,SO,1,N,OK,GM_UBC,NA
DP73,DE373N1,SO,10,Y,OK,JSP,NA
DP74,DE373N1,SO,10,N,OK,JSP,NA
DP75,DE373N1,SO,2,N,OK,JSP,NA
DP76,DE373N1,PI,2,N,OK,JSP,NA
DP77,DE373N1,CU,10,N,OK,JSP,NA
DP79,DE373N1,HE,2,N,OK,JSP,NA
DP80,DE373N2,SO,8,Y,OK,JSP,NA
DP81,DE374N1,SO,10,Y,OK,JSP,NA
DP85,DE374N1,CU,10,N,OK,JSP,NA
DP87,DE374N1,HE,1,N,OK,JSP,NA
DP89,DE375N1,SO,3,Y,OK,JSP,NA
DP92,DE375N1,PI,8,N,OK,JSP,U10911 in dewar 12:24. U10912-U10913 in dewar 12:30. U10914 in dewar 12:36. U10915 in dewar 12:52
DP93,DE375N1,CU,10,N,OK,JSP,NA
DP95,DE375N1,HE,2,N,OK,JSP,U10941 in dewar 13:09. U10942 in dewar 13:18
DP502,DE375N1,CK,1,N,OK,JSP,NA
DP97,DE376N1,SO,10,Y,OK,JSP,NA
DP98,DE376N1,SO,10,N,OK,JSP,NA
DP99,DE376N1,SO,10,N,OK,JSP,NA
DP101,DE376N1,CU,10,N,OK,JSP,NA
DP103,DE376N1,HE,3,N,OK,JSP,NA
DP501,DE376N1,CK,2,N,OK,JSP,NA
MP1,DE377N1,CU,3,N,OK,GM_UBC,NA
DP105,DE377N1,SO,10,Y,OK,JSP,NA
DP106,DE377N1,SO,10,N,OK,JSP,NA
DP107,DE377N1,SO,10,N,OK,JSP,NA
DP109,DE377N1,CU,10,N,OK,JSP,NA
DP113,DE378N1,SO,10,Y,OK,JSP,NA
DP117,DE378N1,CU,10,N,OK,JSP,NA
DP125,DE379N1,CU,10,Y,OK,JSP,NA
DP129,DE380N1,SO,2,Y,PC,JSP,Package thawed; fish decomposed.
DP132,DE380N1,PI,1,N,OK,JSP,NA
DP133,DE380N1,CU,10,Y,OK,JSP,NA
DP141,DE381N1,CU,10,Y,OK,JSP,NA
DP241,DE454AN1,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP243,DE454AN1,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP246,DE454AN2,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP247,DE454AN3,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP249,DE454AN3,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP250,DE454AN4,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP252,DE454AN4,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP253,DE454AN5,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP255,DE454AN5,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP265,DE454BN6,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP267,DE454BN6,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP268,DE454BN7,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP270,DE454BN7,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP271,DE454BN8,SO,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP273,DE454BN8,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP279,DE455AN1,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
DP282,DE455AN2,CU,10,N,OK,SJ_UBC,Sam's 24-hr diet study (collected by DFO)
