sample_type,sample_id,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
RNA_DNA,S254RD1,U254,NA,UBC_Hunt,AV,NA
RNA_DNA,S228RD1,U228,NA,UBC_Hunt,AV,NA
RNA_DNA,S227RD1,U227,NA,UBC_Hunt,AV,NA
RNA_DNA,S226RD1,U226,NA,UBC_Hunt,AV,NA
RNA_DNA,S225RD1,U225,NA,UBC_Hunt,AV,NA
RNA_DNA,S224RD1,U224,NA,UBC_Hunt,AV,NA
RNA_DNA,S223RD1,U223,NA,UBC_Hunt,AV,NA
RNA_DNA,S222RD1,U222,NA,UBC_Hunt,AV,NA
RNA_DNA,S221RD1,U221,NA,UBC_Hunt,AV,NA
RNA_DNA,S245RD1,U245,NA,UBC_Hunt,AV,NA
RNA_DNA,S246RD1,U246,NA,UBC_Hunt,AV,NA
RNA_DNA,S247RD1,U247,NA,UBC_Hunt,AV,NA
RNA_DNA,S248RD1,U248,NA,UBC_Hunt,AV,NA
RNA_DNA,S249RD1,U249,NA,UBC_Hunt,AV,NA
RNA_DNA,S250RD1,U250,NA,UBC_Hunt,AV,NA
RNA_DNA,S261RD1,U261,NA,UBC_Hunt,AV,NA
RNA_DNA,S262RD1,U262,NA,UBC_Hunt,AV,NA
RNA_DNA,S255RD1,U255,NA,UBC_Hunt,AV,NA
RNA_DNA,S256RD1,U256,NA,UBC_Hunt,AV,NA
RNA_DNA,S257RD1,U257,NA,UBC_Hunt,AV,NA
RNA_DNA,S258RD1,U258,NA,UBC_Hunt,AV,NA
RNA_DNA,S259RD1,U259,NA,UBC_Hunt,AV,NA
RNA_DNA,S260RD1,U260,NA,UBC_Hunt,AV,NA
RNA_DNA,S271RD1,U271,NA,UBC_Hunt,AV,NA
RNA_DNA,S272RD1,U272,NA,UBC_Hunt,AV,NA
RNA_DNA,S263RD1,U263,NA,UBC_Hunt,AV,NA
RNA_DNA,S264RD1,U264,NA,UBC_Hunt,AV,NA
RNA_DNA,S265RD1,U265,NA,UBC_Hunt,AV,NA
RNA_DNA,S266RD1,U266,NA,UBC_Hunt,AV,NA
RNA_DNA,S267RD1,U267,NA,UBC_Hunt,AV,NA
RNA_DNA,S268RD1,U268,NA,UBC_Hunt,AV,NA
RNA_DNA,S269RD1,U269,NA,UBC_Hunt,AV,NA
