sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
S5077DN1,L_Adams,4,0.924,Little,4,0.031,L_Shuswap,4,0.021,MiddleShuswap,4,0.018,Thompson_N,2,0.006
S5078DN1,Birkenhead,3,0.99,L_Adams,4,0.01,,,,,,,,,
S5079DN1,Chilko,3,0.997,Chilko_south,2,0.003,,,,,,,,,
S5080DN1,Chilko,3,0.985,Chilko_south,2,0.007,Roaring,3,0.003,L_Adams,4,0.002,Stellako,3,0.001
S5081DN1,L_Adams,4,0.99,Chilko,3,0.003,L_Shuswap,4,0.002,Thompson_N,2,0.002,MiddleShuswap,4,0.001
S5082DN1,L_Adams,4,0.971,L_Shuswap,4,0.011,MiddleShuswap,4,0.008,Eagle_L,4,0.006,Chilko,3,0.002
S5083DN1,Mitchell,3,0.994,Roaring,3,0.004,Quesnel_Mitche,3,0.002,,,,,,
S5084DN1,Chilko,3,0.987,Thompson_N,2,0.004,L_Adams,4,0.004,Chilko_south,2,0.003,Raft,2,0.002
S5085DN1,Chilko,3,0.998,Chilko_south,2,0.001,Chilko-North,3,0.001,,,,,,
S5086DN1,Scotch,2,0.994,L_Adams,4,0.004,Seymour,2,0.002,,,,,,
S5087DN1,Chilko,3,0.964,L_Adams,4,0.018,Chilko_south,2,0.006,Kynock,1,0.004,Scotch,2,0.004
S5088DN1,L_Adams,4,0.996,Eagle_L,4,0.003,Chilko,3,0.001,,,,,,
S5089DN1,Scotch,2,0.927,L_Adams,4,0.07,Seymour,2,0.003,,,,,,
S5090DN1,Chilko,3,0.478,L_Adams,4,0.459,Thompson_N,2,0.049,Chilko_south,2,0.012,Scotch,2,0.002
S5091DN1,Mitchell,3,0.993,Roaring,3,0.006,Quesnel_Mitche,3,0.001,,,,,,
S5092DN1,Chilko,3,0.991,Chilko_south,2,0.009,,,,,,,,,
S5093DN1,Chilko,3,0.633,Driftwood,1,0.071,Thompson_N,2,0.064,Kynock,1,0.063,L_Adams,4,0.045
S5094DN1,L_Adams,4,0.824,Chilko,3,0.14,Roaring,3,0.022,Chilko_south,2,0.009,Wasko_Cr,3,0.003
S5095DN1,L_Adams,4,0.989,L_Shuswap,4,0.008,MiddleShuswap,4,0.003,,,,,,
S4762DN1,Scotch,2,0.999,Seymour,2,0.001,,,,,,,,,
S4763DN1,Scotch,2,0.639,L_Adams,4,0.356,Chilko,3,0.003,L_Shuswap,4,0.001,Thompson_N,2,0.001
S4764DN1,Scotch,2,0.93,L_Adams,4,0.057,Seymour,2,0.008,Eagle,2,0.002,Thompson_N,2,0.002
S4765DN1,L_Adams,4,0.402,Chilko_south,2,0.324,Chilko,3,0.27,Pinchi_Cr,3,0.003,Kynock,1,0.001
S4766DN1,Chilko,3,0.998,Chilko_south,2,0.001,FiveMile,1,0.001,,,,,,
S4767DN1,Chilko,3,0.996,L_Adams,4,0.003,Raft,2,0.001,,,,,,
S4768DN1,L_Adams,4,0.995,Scotch,2,0.003,Chilko,3,0.002,,,,,,
S4769DN1,Chilko,3,0.598,Thompson_N,2,0.273,Raft,2,0.083,L_Adams,4,0.026,Chilko_south,2,0.013
S4770DN1,Chilko,3,0.925,L_Adams,4,0.057,Thompson_N,2,0.01,Raft,2,0.003,Chilko_south,2,0.002
S4771DN1,Chilko,3,0.999,Chilko_south,2,0.001,,,,,,,,,
S5116DN1,Horsefly,3,0.325,FiveMile,1,0.218,Scotch,2,0.171,Chilko,3,0.076,U_Horsefly,3,0.066
S5119DN1,Horsefly,3,0.553,U_Horsefly,3,0.21,Wasko_Cr,3,0.197,Quesnel_Horsef,3,0.039,M_Horsefly,3,0.001
S5120DN1,Scotch,2,0.996,Seymour,2,0.003,Eagle,2,0.001,,,,,,
S5121DN1,Scotch,2,0.974,MiddleShuswap,4,0.012,L_Adams,4,0.004,Chilko,3,0.002,FiveMile,1,0.002
S5122DN1,FiveMile,1,0.267,Middle,3,0.224,Chilko,3,0.145,Horsefly,3,0.144,Kuzkwa_Cr,3,0.036
S5123DN1,Scotch,2,0.667,Tulsequah,16,0.117,Thoms_Lake,20,0.097,Stikine_main,14,0.032,Iskut,14,0.017
S5124DN1,Chilko,3,0.993,Chilko-North,3,0.007,,,,,,,,,
S5125DN1,Scotch,2,0.925,Middle,3,0.035,FiveMile,1,0.017,Eagle,2,0.008,Seymour,2,0.004
S5126DN1,Tulsequah,16,0.584,Scotch,2,0.109,Iskut,14,0.096,Wasko_Cr,3,0.073,Banks,15,0.051
S5127DN1,Chilko,3,0.577,Horsefly,3,0.356,U_Horsefly,3,0.048,Quesnel_Horsef,3,0.01,Wasko_Cr,3,0.007
