sample_id,ufn,Stock_1,Region_1,Prob_1,Stock_2,Region_2,Prob_2,Stock_3,Region_3,Prob_3,Stock_4,Region_4,Prob_4,Stock_5,Region_5,Prob_5
SDN153,U160,Birkenhead,3,0.9946,Weaver,4,0.0051,Tachie,3,0.0002,Chilko,3,0.0001,,,
SDN154,U161,Porter_Cr,1,0.7332,Forfar,1,0.0945,FiveMile,1,0.0738,Dust,1,0.0441,Bivouac,1,0.0149
SDN155,U162,Chilko,3,0.992,Little,4,0.0028,Porter_Cr,1,0.0019,McKinley,3,0.0018,FiveMile,1,0.0009
SDN156,U171,Porter_Cr,1,0.4359,Little,4,0.3319,Dust,1,0.0596,Tachie,3,0.0289,Weaver,4,0.0257
SDN63,U20,Mitchell,3,0.7209,Quesnel_Mitche,3,0.2791,,,,,,,,,
SDN77,U69,Tachie,3,0.8819,Stellako,3,0.0563,Kuzkwa_Cr,3,0.056,Nadina,2,0.0027,Porter_Cr,1,0.0018
SDN84,U81,Tachie,3,0.7349,Kuzkwa_Cr,3,0.0553,Little,4,0.0416,Stellako,3,0.0344,Chilko,3,0.0339
SDN95,U97,Chilko,3,0.9933,Chilko-North,3,0.0036,Chilko_south,2,0.0021,Mitchell,3,0.0009,L_Horsefly,3,0.0001
SDN96,U98,Chilko,3,0.9907,Raft,2,0.0045,Tachie,3,0.0038,Thompson_N,2,0.0009,Sinta,1,0.0001
S1119DN1,U1119,Chilko,3,0.9938,Chilko_south,2,0.0048,U_Horsefly,3,0.0006,L_Adams,4,0.0004,Tachie,3,0.0002
SDN1366,U1120,Chilko,3,0.9132,Thompson_N,2,0.0658,L_Adams,4,0.02,Chilko_south,2,0.0006,Tachie,3,0.0002
SDN1139,U1180,Chilko,3,0.9716,Middle,3,0.0162,Chilko_south,2,0.005,Felix,1,0.0018,Porter_Cr,1,0.0016
SDN1140,U1206,Thompson_N,2,0.4502,Birkenhead,3,0.2226,Chilko,3,0.1632,U_Horsefly,3,0.0836,Quesnel_Horsef,3,0.03
SDN1141,U1207,Thompson_N,2,0.9986,Chilko,3,0.0014,,,,,,,,,
SDN1142,U1208,Chilko,3,0.996,Middle,3,0.004,,,,,,,,,
SDN1137,U1213,Gates_Cr,2,1,,,,,,,,,,,,
SDN1145,U1214,Chilko,3,0.998,Middle,3,0.0014,Chilko_south,2,0.0004,Tachie,3,0.0002,,,
SDN1146,U1215,Quesnel_Mitche,3,0.9362,Mitchell,3,0.0618,Blue_Lead_Ck,3,0.0012,Wasko_Cr,3,0.0008,,,
SDN1147,U1216,Chilko,3,0.9868,Chilko_south,2,0.0132,,,,,,,,,
SDN1138,U1221,Gates_Cr,2,1,,,,,,,,,,,,
SDN1152,U1222,Chilko,3,0.9376,Middle,3,0.0428,Porter_Cr,1,0.0036,Pinchi_Cr,3,0.0024,Tachie,3,0.0022
SDN1371,U1372,Middle,3,0.4518,Porter_Cr,1,0.2696,Felix,1,0.1124,Gluskie,1,0.0312,Tachie,3,0.0188
SDN1372,U1373,Chilko,3,0.5878,Thompson_N,2,0.169,U_Horsefly,3,0.0958,Middle,3,0.066,L_Adams,4,0.0384
SDN1373,U1374,Middle,3,0.789,Porter_Cr,1,0.1118,Tachie,3,0.04,FiveMile,1,0.0256,Nahatlatch,2,0.0106
SDN1374,U1383,Birkenhead,3,0.9938,Harrison,4,0.0028,Thompson_N,2,0.0016,L_Adams,4,0.001,Pitt,2,0.0008
SDN1375,U1384,L_Adams,4,0.9362,Horsefly,3,0.0228,U_Horsefly,3,0.0164,Portage_Cr,4,0.013,Quesnel_Horsef,3,0.0062
SDN1376,U1391,Quesnel_Mitche,3,0.8562,Mitchell,3,0.1416,Roaring,3,0.001,Quesnel_Horsef,3,0.0006,Blue_Lead_Ck,3,0.0006
SDN1329,U605,Chilko,3,0.5408,L_Adams,4,0.1298,Birkenhead,3,0.1078,Chilko_south,2,0.0496,Horsefly,3,0.042
