sample_id,ufn,Stock_1,Region_1,Prob_1,Stock_2,Region_2,Prob_2,Stock_3,Region_3,Prob_3,Stock_4,Region_4,Prob_4,Stock_5,Region_5,Prob_5
SDN1049,U1121,Chilko,3,0.9988,Chilko-North,3,0.0004,U_Horsefly,3,0.0004,Chilko_south,2,0.0002,Horsefly,3,0.0002
S1344DN1,U1344,Quesnel_Mitche,3,0.9122,Mitchell,3,0.0878,,,,,,,,,
SDN1286,U1345,Chilko,3,0.7514,U_Horsefly,3,0.1386,Horsefly,3,0.0748,Quesnel_Horsef,3,0.0278,L_Horsefly,3,0.0018
SDN1287,U1346,Quesnel_Mitche,3,0.6066,Chilko,3,0.1588,Mitchell,3,0.1284,Scotch,2,0.029,U_Horsefly,3,0.02
SDN1289,U1358,Chilko,3,0.9974,Chilko_south,2,0.0026,,,,,,,,,
S1359DN1,U1359,Chilko,3,0.9956,Middle,3,0.0036,Tachie,3,0.0008,,,,,,
SDN1291,U1360,Chilko,3,0.5982,Thompson_N,2,0.1778,Middle,3,0.076,L_Adams,4,0.0518,Chilko_south,2,0.0244
SDN1295,U1368,Scotch,2,0.9512,Seymour,2,0.0384,Eagle,2,0.0104,,,,,,
SDN1297,U1370,Chilko,3,0.9986,Chilko_south,2,0.0008,Chilko-North,3,0.0006,,,,,,
SDN79,U76,L_Adams,4,0.6108,Chilko,3,0.2054,Quesnel_Horsef,3,0.0719,Dust,1,0.0323,U_Horsefly,3,0.0168
SDN971,U950,Raft,2,0.4121,L_Adams,4,0.3296,Fennell,2,0.1456,Chilko,3,0.0522,Thompson_N,2,0.0226
SDN957,U1008,Chilko,3,0.9586,L_Adams,4,0.02,Chilko_south,2,0.0088,Tachie,3,0.008,Middle,3,0.0025
SDN958,U1009,Quesnel_Mitche,3,0.7718,Mitchell,3,0.2282,,,,,,,,,
SDN959,U1010,L_Adams,4,0.3611,Narrows,1,0.1926,Bivouac,1,0.1797,Dust,1,0.0678,Middle,3,0.0467
SDN961,U1015,Chilko,3,0.9322,Pitt,2,0.0322,Chilko_south,2,0.0292,L_Adams,4,0.0045,U_Horsefly,3,0.0009
SDN962,U1016,Quesnel_Mitche,3,0.7571,Mitchell,3,0.2369,M_Horsefly,3,0.0013,Tachie,3,0.0012,Blue_Lead_Ck,3,0.0009
SDN963,U1017,Pitt,2,1,,,,,,,,,,,,
SDN965,U1022,Chilko,3,0.9823,McKinley,3,0.0125,M_Horsefly,3,0.002,Little,4,0.0017,Chilko_south,2,0.0008
SDN966,U1031,Chilko,3,0.4965,L_Adams,4,0.0978,U_Horsefly,3,0.0734,Chilko_south,2,0.0452,Bivouac,1,0.041
SDN967,U1032,Chilko,3,0.631,L_Adams,4,0.2995,Thoms_Lake,20,0.0211,Chilko_south,2,0.0112,Little,4,0.0094
SDN983,U1041,Gates_Cr,2,1,,,,,,,,,,,,
SDN1016,U1064,Gates_Cr,2,1,,,,,,,,,,,,
SDN1028,U1076,Chilko,3,0.9871,Chilko_south,2,0.0077,L_Adams,4,0.0052,,,,,,
SDN1029,U1077,L_Adams,4,0.8696,Little,4,0.079,Chilko,3,0.022,L_Horsefly,3,0.0127,M_Horsefly,3,0.0089
SDN1030,U1078,Chilko,3,0.949,Chilko_south,2,0.04,L_Adams,4,0.0069,Dust,1,0.002,Tachie,3,0.0008
SDN1031,U1079,Chilko,3,0.9992,Narrows,1,0.0004,Chilko_south,2,0.0004,,,,,,
SDN1032,U1084,Chilko,3,0.9374,Tachie,3,0.0277,Chilko_south,2,0.0053,Quesnel_Horsef,3,0.0051,M_Horsefly,3,0.004
SDN1033,U1085,Chilko,3,0.3754,Quesnel_Horsef,3,0.2168,Chilko_south,2,0.1597,L_Adams,4,0.0717,M_Horsefly,3,0.0547
SDN1034,U1086,Chilko,3,0.959,Raft,2,0.0295,L_Adams,4,0.0049,Chilko_south,2,0.0036,Chilko-North,3,0.0012
SDN1035,U1087,Chilko,3,0.9544,Chilko_south,2,0.0237,U_Horsefly,3,0.0093,Quesnel_Horsef,3,0.0056,McKinley,3,0.0037
