ufn,cm_lab,cpaf_lab,caf_lab,cgf_lab,ucal_lab,lpaf_lab,lpam_lab,lam_lab,laf_lab,lgf_lab,ulep_lab,lab_count_motiles,comments,quality_level,quality_log
U11001,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11002,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11003,0,0,0,0,0,1,0,0,0,0,0,1,NA,Raw,NA
U11004,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11005,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11006,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11007,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U11008,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11009,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11010,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11324,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U11325,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U11326,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11327,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U11328,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U11329,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U11330,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U16622,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4781,0,1,0,0,1,0,0,0,0,0,0,2,NA,Raw,NA
U4820,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4848,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4823,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4822,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4852,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4824,0,2,0,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U4809,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4783,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U4825,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4816,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4741,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2746,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2623,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2622,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2748,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2747,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2745,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2624,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2772,0,0,0,0,1,0,0,0,0,0,0,1,NA,Raw,NA
U2774,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2391,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2389,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2775,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2769,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2620,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4509,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4466,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4513,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4412,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4507,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4340,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4373,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4370,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4375,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4366,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4342,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4341,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4374,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4336,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4371,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4372,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4338,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2511,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2815,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2510,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2816,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2814,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2903,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2787,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2819,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2823,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2761,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2759,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2764,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4201,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2767,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2765,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4227,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4230,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4226,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4225,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2809,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2806,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2810,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2811,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2808,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2807,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2436,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2439,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2430,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2262,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2435,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2437,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2160,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2438,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2159,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2261,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2264,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2458,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2456,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2452,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U2451,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2455,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2453,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2457,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2454,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4651,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4650,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4584,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4583,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4582,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4353,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4326,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4216,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4321,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U4325,1,1,0,1,0,0,0,0,0,0,0,3,NA,Raw,NA
U4323,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4322,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4320,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4319,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4215,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U4352,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4324,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4351,0,0,0,0,1,0,0,0,0,0,0,1,NA,Raw,NA
U4318,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4354,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4557,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4615,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4618,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4531,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4621,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4529,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4530,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4527,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4556,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4633,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4634,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4392,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2802,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2801,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2500,0,0,0,1,0,0,0,0,0,0,0,1,NA,Raw,NA
U2803,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2496,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2804,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4327,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4361,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4357,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4360,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4333,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4334,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4362,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2265,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2266,0,0,0,0,0,1,0,0,0,0,0,1,NA,Raw,NA
U2495,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2502,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2267,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4207,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4299,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4297,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4269,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2466,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2467,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2465,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2470,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2721,2,0,0,0,0,0,0,0,0,0,0,2,NA,Raw,NA
U4386,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4388,0,0,0,0,3,0,0,0,0,0,0,3,NA,Raw,NA
U4484,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4192,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4190,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4312,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2706,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2609,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2608,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2481,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2480,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2477,0,0,0,0,1,0,0,0,0,0,0,1,NA,Raw,NA
U2478,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U2479,1,0,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U2483,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4523,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4544,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4546,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4427,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4398,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4426,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4231,0,1,0,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4238,0,0,1,0,0,0,0,0,0,0,0,1,NA,Raw,NA
U4627,0,0,0,0,1,0,0,0,0,0,0,1,NA,Raw,NA
U4635,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4499,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4505,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4506,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4493,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4383,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4637,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
U4565,0,0,0,0,0,0,0,0,0,0,0,0,NA,Raw,NA
