ufn,species,lep_count,cal_count,total_count
U21560,SO,NA,NA,0
U21555,SO,NA,NA,0
U21556,SO,NA,NA,0
U21760,SO,NA,NA,0
U21757,SO,NA,NA,0
U21758,SO,NA,NA,0
U21751,SO,NA,NA,0
U23457,SO,NA,NA,0
U23458,SO,NA,NA,0
U23459,SO,0,0,0
U23460,SO,0,2,2
U21551,SO,NA,NA,0
U21554,SO,NA,NA,0
U21553,SO,NA,NA,0
U21552,SO,NA,NA,0
U21558,SO,NA,NA,0
U21559,SO,NA,NA,0
U21557,SO,NA,NA,0
U21754,SO,NA,NA,0
U21752,SO,NA,NA,0
U21753,SO,NA,NA,0
U21769,SO,NA,NA,0
U21762,SO,NA,NA,0
U21761,SO,NA,NA,0
U21763,SO,NA,NA,0
U21767,SO,NA,NA,0
U21768,SO,NA,NA,0
U21764,SO,NA,NA,0
U21770,SO,0,0,0
U21766,SO,0,0,0
U21765,SO,0,0,0
U21759,SO,NA,NA,0
U21756,SO,NA,NA,0
U21755,SO,NA,NA,0
U23337,SO,0,0,0
U23336,SO,0,1,1
U23340,SO,0,0,0
U23338,SO,1,3,4
U23339,SO,0,1,1
U23335,SO,0,1,1
U23331,SO,0,1,1
U23332,SO,0,3,3
U23333,SO,0,0,0
U23334,SO,0,1,1
U21746,SO,0,1,1
U21748,SO,0,1,1
U23453,SO,1,0,1
U23454,SO,0,0,0
U23451,SO,0,1,1
U23452,SO,0,0,0
U23456,SO,0,0,0
U23455,SO,0,1,1
U23148,SO,0,0,0
U23147,SO,0,0,0
U23142,SO,0,0,0
U23141,SO,0,0,0
U23150,SO,0,1,1
U23149,SO,0,1,1
U23145,SO,0,0,0
U23146,SO,0,0,0
U23143,SO,0,2,2
U23144,SO,0,1,1
U23347,SO,0,0,0
U23348,SO,0,0,0
U23342,SO,0,1,1
U23341,SO,0,0,0
U23343,SO,0,0,0
U21750,SO,0,0,0
U21749,SO,0,1,1
U21747,SO,1,0,1
U21743,SO,0,0,0
U21744,SO,0,2,2
U21745,SO,0,0,0
U21741,SO,0,1,1
U21742,SO,0,1,1
U23376,SO,0,1,1
U23375,SO,0,0,0
U23374,SO,0,1,1
U23373,SO,0,1,1
U23372,SO,0,1,1
U23371,SO,0,0,0
U21587,SO,0,2,2
U21589,SO,0,0,0
U21590,SO,0,1,1
U21588,SO,0,0,0
U21585,SO,0,3,3
U21583,SO,0,5,5
U21581,SO,0,2,2
U21586,SO,0,0,0
U21584,SO,0,0,0
U21582,SO,0,4,4
U23349,SO,0,1,1
U23350,SO,1,0,1
U23344,SO,0,0,0
U23346,SO,0,0,0
U23345,SO,1,0,1
U21569,SO,0,0,0
U21567,SO,0,1,1
U21564,SO,0,1,1
U21568,SO,0,0,0
U21563,SO,0,2,2
U21562,SO,0,0,0
U21561,SO,0,0,0
U21566,SO,0,0,0
U21570,SO,0,0,0
U21565,SO,0,1,1
U23308,SO,0,1,1
U23301,SO,0,0,0
U23307,SO,0,0,0
U23306,SO,0,0,0
U23310,SO,0,0,0
U23487,SO,0,0,0
U23488,SO,0,0,0
U23489,SO,0,4,4
U23486,SO,0,0,0
U23485,SO,0,0,0
U23481,SO,0,2,2
U23483,SO,0,1,1
U23484,SO,0,1,1
U23482,SO,0,1,1
U23031,SO,0,0,0
U21481,SO,0,0,0
U23029,SO,0,0,0
U23022,SO,0,0,0
U23021,SO,0,1,1
U23023,SO,0,0,0
U23024,SO,0,0,0
U23025,SO,0,0,0
U23026,SO,0,0,0
U23028,SO,0,0,0
U23027,SO,0,1,1
U23309,SO,0,0,0
U23305,SO,0,0,0
U23304,SO,0,3,3
U23303,SO,0,1,1
U23302,SO,0,1,1
U23221,SO,0,2,2
U23222,SO,0,3,3
U21720,SO,0,0,0
U21714,SO,0,0,0
U21715,SO,0,0,0
U21713,SO,0,0,0
U21712,SO,0,1,1
U21711,SO,0,1,1
U21716,SO,0,0,0
U21717,SO,0,0,0
U21719,SO,0,0,0
U21718,SO,0,0,0
U21735,SO,0,1,1
U21734,SO,0,0,0
U21733,SO,0,0,0
U21732,SO,0,0,0
U21731,SO,0,0,0
U21736,SO,0,1,1
U21740,SO,0,0,0
U21739,SO,0,0,0
U21737,SO,0,0,0
U21738,SO,0,2,2
U23500,SO,0,0,0
U23496,SO,0,1,1
U23499,SO,0,0,0
U23495,SO,0,0,0
U23491,SO,0,0,0
U23493,SO,0,1,1
U23497,SO,0,1,1
U23492,SO,0,2,2
U23498,SO,0,0,0
U23494,SO,0,2,2
U23071,SO,0,1,1
U23060,SO,0,1,1
U23059,SO,0,0,0
U23056,SO,0,0,0
U23055,SO,1,1,2
U23058,SO,0,2,2
U23057,SO,0,0,0
U23053,SO,0,1,1
U23054,SO,0,2,2
U23051,SO,0,0,0
U23052,SO,0,1,1
U23077,SO,0,1,1
U23078,SO,0,0,0
U23079,SO,0,0,0
U23080,SO,0,1,1
U23076,SO,0,2,2
U23074,SO,0,0,0
U23073,SO,0,0,0
U23072,SO,0,1,1
U23075,SO,0,1,1
U21730,SO,0,1,1
U21729,SO,0,0,0
U21727,SO,0,0,0
U21726,SO,0,0,0
U21724,SO,0,0,0
U21723,SO,0,0,0
U23161,SO,0,0,0
U23253,SO,0,0,0
U23251,SO,0,1,1
U23252,SO,0,0,0
U21772,SO,2,0,2
U21774,SO,0,0,0
U21771,SO,1,0,1
U21773,SO,0,1,1
U21775,SO,0,0,0
U21600,PI,1,1,2
U21599,PI,3,1,4
U21728,SO,0,0,0
U21721,SO,0,0,0
U21722,SO,0,0,0
U21725,SO,0,0,0
U21595,PI,2,1,3
U21593,PI,0,1,1
U21594,PI,1,1,2
U21592,PI,3,1,4
U21591,PI,0,1,1
U21596,PI,2,0,2
U21597,PI,1,0,1
U21598,PI,2,0,2
U23220,PI,0,1,1
U23216,PI,0,2,2
U23219,PI,0,3,3
U23211,PI,0,1,1
U23212,PI,0,1,1
U23213,PI,0,3,3
U23218,PI,2,3,5
U23217,PI,0,1,1
U23215,PI,0,0,0
U23214,PI,0,4,4
U23135,PI,1,0,1
U23139,PI,0,0,0
U23138,PI,0,3,3
U23140,PI,1,0,1
U23137,PI,0,2,2
U23132,PI,0,0,0
U23131,PI,0,0,0
U23133,PI,0,1,1
U23136,PI,0,1,1
U23134,PI,0,1,1
U23328,PI,1,0,1
U23327,PI,0,1,1
U23323,PI,0,0,0
U23322,PI,0,1,1
U23197,PI,0,3,3
U23196,PI,0,3,3
U23191,PI,0,0,0
U23193,PI,1,2,3
U23194,PI,0,3,3
U23324,PI,6,1,7
U23321,PI,4,1,5
U23325,PI,0,1,1
U23326,PI,2,0,2
U23329,PI,0,0,0
U23330,PI,1,0,1
U21471,PI,1,0,1
U21472,PI,2,1,3
U21473,PI,4,1,5
U21474,PI,1,0,1
U21475,PI,1,1,2
U21476,PI,1,1,2
U21477,PI,2,0,2
U21478,PI,0,1,1
U21479,PI,1,0,1
U21480,PI,0,0,0
U23198,PI,0,0,0
U23195,PI,0,0,0
U23192,PI,0,0,0
U23200,PI,0,0,0
U23199,PI,1,0,1
U21786,PI,0,0,0
U21784,PI,1,0,1
U21783,PI,2,1,3
U21781,PI,0,0,0
U21788,PI,0,0,0
U23355,PI,0,0,0
U23354,PI,1,0,1
U23352,PI,2,1,3
U23351,PI,0,0,0
U23353,PI,0,0,0
U23360,PI,0,0,0
U23359,PI,0,0,0
U23358,PI,0,0,0
U23357,PI,2,0,2
U23356,PI,0,0,0
U21782,PI,1,0,1
U21785,PI,1,0,1
U21790,PI,0,0,0
U21789,PI,0,0,0
U21787,PI,0,0,0
U23471,PI,0,1,1
U23472,PI,1,1,2
U23473,PI,1,0,1
U23478,PI,1,2,3
U23477,PI,0,0,0
U23476,PI,0,0,0
U23475,PI,1,0,1
U23474,PI,0,0,0
U23480,PI,2,2,4
U23479,PI,0,0,0
U23274,PI,0,0,0
U23275,PI,0,0,0
U23120,PI,0,0,0
U23119,PI,2,3,5
U23113,PI,1,1,2
U23117,PI,0,0,0
U23118,PI,0,1,1
U23114,PI,0,3,3
U23115,PI,4,3,7
U23111,PI,0,1,1
U23116,PI,2,1,3
U23112,PI,0,2,2
U23009,PI,0,0,0
U23010,PI,0,0,0
U23065,PI,0,0,0
U23064,PI,0,0,0
U23066,PI,0,1,1
U23067,PI,0,0,0
U23068,PI,0,0,0
U23069,PI,0,0,0
U23070,PI,0,1,1
U23063,PI,0,0,0
U23062,PI,0,0,0
U23061,PI,0,0,0
U23001,PI,0,0,0
U23008,PI,0,0,0
U23007,PI,0,2,2
U23006,PI,1,0,1
U23005,PI,0,0,0
U23002,PI,0,0,0
U23004,PI,0,1,0
U23003,PI,0,0,0
U21531,PI,0,0,0
U21532,PI,0,0,0
U21533,PI,3,0,3
U21534,PI,0,0,0
U21535,PI,0,0,0
U21536,PI,1,0,1
U23273,PI,0,0,0
U23277,PI,0,1,1
U23272,PI,0,1,1
U23276,PI,0,1,1
U23278,PI,0,1,1
U23280,PI,1,0,1
U23271,PI,2,0,2
U23279,PI,0,0,0
U21469,CU,0,0,0
U21470,CU,1,1,2
U21468,CU,2,1,3
U21467,CU,0,0,0
U23093,CU,0,1,1
U23091,CU,1,1,2
U23092,CU,0,0,0
U21576,CU,0,0,0
