"Cast PK","Hakai ID","Filename","CTD model","CTD serial number","CTD firmware version","Cruise","Station","Drop number","Start time","Bottom time","Drop time (s)","Drop depth (m)","Target depth (m)","Latitude","Longitude","Operators","Comments","Cast Type","Sensors Submerged","Water Depth (m)","Soak Start","Soak End","Weather"
"9096","010856_2017-05-26T14:51:52.333Z","010856_20170526_1507","XR-620","010856","6.81","DISOCKEYE","D08","2","2017-05-26 07:51:52.333","2017-05-26 07:53:41.500","109","78.13992032999369","75","undefined","undefined","brett.johnson,carly.janusson,julian.gan,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9171","010856_2017-05-31T17:38:20.833Z","010856_20170531_1438","XR-620","010856","6.81","DISOCKEYE","D08","2","2017-05-31 10:38:21.000","2017-05-31 10:39:30.166","69","78.41737392221772","80","undefined","undefined","brenna.collicutt,julian.gan,luke.rogers,sam.james","undefined","null","null","null","Invalid date","Invalid date","null"
"9174","010856_2017-06-01T15:39:57.667Z","010856_20170601_1340","XR-620","010856","6.81","DISOCKEYE","D08","3","2017-06-01 08:39:57.667","2017-06-01 08:41:18.667","81","84.2834669771861","90","undefined","undefined","brett.johnson,carly.janusson,julian.gan,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9245","010856_2017-06-09T16:32:13.500Z","010856_20170609_1311","XR-620","010856","6.81","DISOCKEYE","D08","2","2017-06-09 09:32:13.500","2017-06-09 09:33:30.500","77","82.4768965754708","90","undefined","undefined","brenna.collicutt,carly.janusson,julian.gan,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9322","010856_2017-06-14T18:44:15.833Z","010856_20170614_1435","XR-620","010856","6.81","DISOCKEYE","D08","2","2017-06-14 11:44:16.000","2017-06-14 11:45:36.667","81","80.51252202307894","90","undefined","undefined","brenna.collicutt,Gideon Mordecai,julian.gan,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9391","010856_2017-06-21T17:16:46.000Z","010856_20170621_1352","XR-620","010856","6.81","DISOCKEYE","D08","2","2017-06-21 10:16:46.000","2017-06-21 10:17:51.000","65","70.07191837643059","75","undefined","undefined","brenna.collicutt,brett.johnson,julian.gan,luke.rogers","undefined","null","null","null","Invalid date","Invalid date","null"
"9533","010856_2017-07-06T17:35:12.834Z","010856_20170706_1426","XR-620","010856","6.81","DISOCKEYE","D08","2","2017-07-06 10:35:12.834","2017-07-06 10:36:30.834","78","82.87731803928793","90","undefined","undefined","julian.gan,luke.rogers,Melissa Orobko","undefined","null","null","null","Invalid date","Invalid date","null"
"11997","065679_2018-05-01T21:09:08.000Z","065679_20180501_1634","RBRconcerto","065679","12.040","DISOCKEYE","D08","2","2018-05-01 14:12:14.833","2018-05-01 14:14:21.833","127","118.20025064214147","125","undefined","undefined","brett.johnson,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12142","065679_2018-05-11T18:14:48.000Z","065679_20180511_1402","RBRconcerto","065679","12.040","DISOCKEYE","D08","2","2018-05-11 11:17:44.500","2018-05-11 11:19:39.000","115","79.4337232699842","95","undefined","undefined","brett.johnson,julian.gan,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
"12075","065679_2018-05-17T19:09:38.000Z","065679_20180517_1418","RBRconcerto","065679","12.040","DISOCKEYE","D08","2","2018-05-17 12:12:27.500","2018-05-17 12:14:08.000","101","92.23934851548134","100","undefined","undefined","brett.johnson,katie.davidson,sara.tremblayb","undefined","null","null","null","Invalid date","Invalid date","null"
