year,species,n,proportion
2015,co_total,56,0.004438104295450943
2015,cu_total,3966,0.3143128863528293
2015,he_total,155,0.01228403867490886
2015,pi_total,188,0.014899350134728167
2015,so_total,8253,0.6540656205420827
2016,co_total,24,0.001884570082449941
2016,cu_total,2138,0.1678837848449156
2016,he_total,100,0.007852375343541421
2016,pi_total,2677,0.21020808794660384
2016,so_total,7796,0.6121711817824892
2017,co_total,9,0.0013127187864644108
2017,cu_total,5310,0.7745040840140023
2017,he_total,17,0.0024795799299883316
2017,pi_total,40,0.005834305717619603
2017,so_total,1480,0.21586931155192532
2018,co_total,36,0.0017553269296406455
2018,cu_total,6774,0.33029401726071483
2018,he_total,540,0.026329903944609684
2018,pi_total,10755,0.5244039202301428
2018,so_total,2404,0.117216831634892
2019,co_total,12,6.338474540460595e-4
2019,cu_total,4997,0.2639446439890133
2019,he_total,52,0.002746672300866258
2019,pi_total,8035,0.4244136911050074
2019,so_total,5836,0.30826114515106695
2020,co_total,17,0.002533532041728763
2020,cu_total,262,0.03904619970193741
2020,he_total,8,0.0011922503725782414
2020,pi_total,3678,0.5481371087928465
2020,so_total,2745,0.4090909090909091
2021,cu_total,1517,0.6873584050747621
2021,he_total,20,0.009062075215224286
2021,pi_total,500,0.22655188038060717
2021,so_total,170,0.07702763932940643
2022,co_total,2,3.1872509960159364e-4
2022,cu_total,948,0.15107569721115538
2022,he_total,1,1.5936254980079682e-4
2022,pi_total,5245,0.8358565737051793
2022,so_total,79,0.012589641434262949
