year,species,mean_catch,sd,n,se,lower_ci,upper_ci
2015,Chum,96.7,115.6,41,18.1,36.5,36.5
2015,Pink,8.5,20.9,22,4.5,9.3,9.3
2015,Sockeye,201.3,479.6,41,74.9,151.4,151.4
2016,Chum,66.8,74.4,32,13.2,26.8,26.8
2016,Pink,83.7,106.5,32,18.8,38.4,38.4
2016,Sockeye,236.2,268.8,33,46.8,95.3,95.3
2017,Chum,331.9,460.7,16,115.2,245.5,245.5
2017,Pink,5.7,6.8,7,2.6,6.3,6.3
2017,Sockeye,87.1,127.5,17,30.9,65.6,65.6
2018,Chum,451.6,693.8,15,179.1,384.2,384.2
2018,Pink,672.2,1072,16,268,571.2,571.2
2018,Sockeye,141.4,383.3,17,93,197.1,197.1
2019,Chum,185.1,187.6,27,36.1,74.2,74.2
2019,Pink,422.9,1055,19,242,508.5,508.5
2019,Sockeye,194.5,423.3,30,77.3,158.1,158.1
2020,Chum,20.2,24,13,6.7,14.5,14.5
2020,Pink,229.9,370.1,16,92.5,197.2,197.2
2020,Sockeye,152.5,460.5,18,108.5,229,229
2021,Chum,189.6,123.4,8,43.6,103.2,103.2
2021,Pink,71.4,63.3,7,23.9,58.5,58.5
2021,Sockeye,21.2,17.6,8,6.2,14.7,14.7
2022,Chum,135.4,132.7,7,50.2,122.7,122.7
2022,Pink,749.3,872.5,7,329.8,806.9,806.9
2022,Sockeye,11.3,16,7,6.1,14.8,14.8
