week,min_temp,max_temp,station
5,7.123803333333333,7.9655,QU39
6,6.88244821829806,7.932916666666666,QU39
7,6.65823,7.983951724137931,QU39
8,6.7786566666666666,8.033063333333333,QU39
9,6.9186499999999995,7.6252971870740724,QU39
10,6.800273333333333,8.338366666666667,QU39
11,7.286103333333333,9.027393333333334,QU39
12,7.594203333333334,9.158583333333333,QU39
13,7.61263,9.49267,QU39
14,8.035463333333333,9.589426666666666,QU39
15,8.339386666666666,10.171491666666666,QU39
16,8.71668,9.760133333333334,QU39
17,9.300203333333334,10.6833,QU39
18,9.890036666666667,10.764023333333334,QU39
19,9.64499,11.852723333333333,QU39
20,10.099681087275137,12.245266666666666,QU39
21,11.987516666666666,13.549776666666666,QU39
22,10.588175,12.85435,QU39
23,10.799183333333334,13.117313333333334,QU39
24,9.910562500000001,13.538463333333333,QU39
25,10.3957,13.602123333333333,QU39
26,10.439588235294117,13.338916666666666,QU39
27,10.15095,12.393854545454545,QU39
28,11.485151666666667,15.008198333333333,QU39
29,10.925063333333334,14.941324339756171,QU39
30,10.967776666666666,13.006542857142858,QU39
31,10.99898,13.45083,QU39
