yday,predicted_mean_temp,mean_temp,mean_do,mean_salinity,diff
35,7.678653781737284,7.533673333333334,6.560083333333333,28.211660000000002,neg
39,7.510673832281837,7.078385714285714,6.781528571428572,27.3931,neg
41,7.4419390391250495,7.642276666666667,5.692573333333334,28.617393333333332,pos
50,7.2584116560313054,7.31304,6.103576666666667,28.763856666666666,pos
54,7.242016089409385,6.88193,6.9622166666666665,28.371933333333335,neg
68,7.5920108126395345,7.30245,6.790173333333334,28.71647,neg
75,7.948616777472949,7.322403333333333,6.857033333333334,28.767656666666667,neg
85,8.611181947554078,7.61263,7.796336666666667,28.723863333333334,neg
89,8.817617951987579,7.821546666666666,7.549986666666666,28.946006666666666,neg
95,9.058193681408374,8.266423333333334,7.536103333333333,29.136493333333334,neg
104,9.262059221909624,8.749416666666667,7.51131,29.30545,neg
109,9.457658386443377,9.136966666666666,7.33561,29.26223,neg
116,9.790825326962722,9.300203333333334,5.569916666666667,29.568043333333332,neg
124,10.37920709678259,10.282773333333333,6.789196666666666,29.263963333333333,neg
138,11.606266528814283,10.115654514154317,5.034238447600351,29.604620263119738,neg
139,11.673892848857918,10.209832365509257,5.285240237579965,29.529394475884835,neg
140,11.741470879528691,10.099681087275137,5.037138293019586,29.556720417692645,neg
148,12.161583775927998,12.85435,6.957933333333333,27.398006666666667,pos
152,12.172908344348908,12.247586666666667,5.812706666666666,28.022826666666667,pos
160,11.981697237319011,12.306993333333333,5.132733333333333,27.748436666666667,pos
166,11.792793494696028,13.538463333333333,5.585953333333333,26.291976666666667,pos
173,11.699498946045193,10.669536666666668,4.035066666666666,28.426923333333335,neg
179,11.735647130423136,12.631493333333333,5.53718,28.008666666666667,pos
187,12.125930960879248,11.48029,4.54459,27.764376666666667,neg
194,12.391008439350442,11.565606666666667,4.477406666666667,27.924916666666668,neg
201,12.486989241496694,14.941324339756171,5.007794185324444,26.270737181666675,pos
202,12.488305338818149,13.564282425574083,4.4560650834420965,27.04150284289653,pos
203,12.485082110324383,12.845327181205086,4.253297617089306,27.451024921183375,pos
208,12.405938624963166,12.317946666666666,4.279593333333334,27.492826666666666,neg
40,7.475034203737241,7.475034203737241,NA,NA,NA
52,7.245041148680775,7.245041148680775,NA,NA,NA
144,11.991504619892538,11.991504619892538,NA,NA,NA
169.5,11.727080303661284,11.727080303661284,NA,NA,NA
176,11.698395524990008,11.698395524990008,NA,NA,NA
183,11.885898581346838,11.885898581346838,NA,NA,NA
197.5,12.453567944783465,12.453567944783465,NA,NA,NA
205.5,12.45762680985517,12.45762680985517,NA,NA,NA
