station,date,yday,mean_temp,mean_do,mean_salinity
QU39,2015-03-18,77,9.02521475409836,6.653063934426229,28.107383606557377
QU39,2015-03-24,83,9.157388333333333,6.7107,26.299783333333334
QU39,2015-03-26,85,9.247362711864406,6.597815254237288,28.068047457627117
QU39,2015-03-31,90,9.487204918032786,6.371380327868852,27.99496229508197
QU39,2015-04-06,96,9.567544262295081,6.4061360655737705,27.77231475409836
QU39,2015-04-14,104,9.897126666666667,7.202801666666667,25.93089
QU39,2015-04-15,105,9.892027868852459,7.245327868852459,27.631522950819672
QU39,2015-04-22,112,9.744173770491804,5.6006967213114756,28.497114754098362
QU39,2015-05-01,121,10.469995,7.255745,28.016226666666668
QU39,2015-05-05,125,10.714621666666666,7.148158333333333,28.034925
QU39,2015-05-11,131,11.245441666666666,6.75724,28.074315
QU39,2015-05-12,132,10.734044262295082,6.186362295081968,28.421490163934426
QU39,2015-05-13,133,10.773668965517242,6.187939655172414,28.50854827586207
QU39,2015-05-21,141,11.987516666666666,5.54654,28.37085666666667
QU39,2015-05-26,146,12.84689,5.875963333333333,28.046243333333333
QU39,2015-05-27,147,12.39205,5.60739,28.287286666666667
QU39,2015-06-03,154,11.758592857142856,4.954042857142857,28.543950000000002
QU39,2015-06-09,160,10.799183333333334,3.9502866666666665,28.6887
QU39,2015-06-15,166,10.413886666666667,3.9925966666666666,29.08049
QU39,2015-06-16,167,10.898056666666667,4.547206666666667,28.701293333333332
QU39,2015-06-17,168,9.910562500000001,3.3666875,29.3543625
QU39,2015-06-22,173,10.3957,3.7531999999999996,29.207050000000002
QU39,2015-06-24,175,13.383686666666666,5.59875,27.98582
QU39,2015-06-30,181,10.439588235294117,3.9528823529411765,24.984070588235294
QU39,2015-07-06,187,10.830483333333333,3.79002,28.939473333333332
QU39,2015-07-07,188,10.15095,3.550678125,26.877903125
QU39,2015-07-16,197,13.140226666666667,4.53282,28.140706666666667
QU39,2015-07-22,203,12.29804,4.374113333333334,28.35367
QU39,2015-07-23,204,11.885593333333333,4.137573333333333,28.382076666666666
QU39,2015-07-28,209,12.893265625,4.5047875,26.595915625
QU39,2016-02-02,33,7.995081666666667,6.453750847457627,28.494578333333333
QU39,2016-02-04,35,7.942378333333333,6.976023333333333,28.307156666666668
QU39,2016-02-09,40,7.911308333333333,6.848246666666666,28.2495675
QU39,2016-02-16,47,7.969031666666667,NaN,27.642425
QU39,2016-02-22,53,8.040867213114755,7.012998360655738,27.795275409836066
QU39,2016-02-23,54,8.048196666666666,7.066376666666667,27.671515
QU39,2016-03-07,67,8.341945,7.249735,27.101516666666665
QU39,2016-03-15,75,8.265361666666667,6.552615,26.896108333333334
QU39,2016-03-18,78,8.38566153846154,6.806071978021978,27.13862032967033
QU39,2016-03-21,81,8.59264,5.705586666666667,27.370946666666665
QU39,2016-03-22,82,8.695265,5.684706666666667,27.366658333333334
QU39,2016-03-24,84,8.8666366666666665,5.84652,27.60731
QU39,2016-03-28,88,8.985326666666667,5.24405,28.083650000000002
QU39,2016-03-29,89,8.991816666666667,5.430283333333334,27.866591666666668
QU39,2016-03-30,90,9.127593333333333,5.434136666666666,27.917223333333332
QU39,2016-03-31,91,9.193616666666667,6.24443,27.754096666666666
QU39,2016-04-01,92,9.309113333333332,6.337053333333333,27.826236666666667
QU39,2016-04-04,95,9.569303333333334,6.3732,27.9907
QU39,2016-04-08,99,10.029770000000001,7.319798333333333,27.63742
QU39,2016-04-14,105,10.171491666666666,7.09487,27.752245
QU39,2016-04-22,113,10.6833,6.33211,27.76842
QU39,2016-04-26,117,10.50899,5.661063333333333,27.98078
QU39,2016-04-27,118,10.375425806451613,5.6712096774193546,26.953864516129034
QU39,2016-04-28,119,10.456943333333333,5.444366666666666,28.165933333333335
QU39,2016-05-04,125,10.305413333333334,5.117063333333333,28.270123333333334
QU39,2016-05-06,127,10.11433,4.83659,28.57104
QU39,2016-05-08,129,10.203693333333334,4.708706666666667,28.98084
QU39,2016-05-09,130,9.960143333333333,4.890725,28.873985
QU39,2016-05-18,139,12.245266666666666,7.045546666666667,27.921413333333334
QU39,2016-05-19,140,12.089018918918919,7.5020837837837835,28.086927027027027
QU39,2016-05-29,150,11.740856666666666,5.7396899999999995,28.29186
QU39,2016-05-30,151,12.314345,5.9864,27.868258333333333
QU39,2016-06-06,158,12.157776666666667,5.086216666666667,27.956476666666667
QU39,2016-06-08,160,11.52976,4.8677866666666665,28.17161
QU39,2016-06-09,161,11.918758333333333,5.028638333333333,27.956716666666665
QU39,2016-06-19,171,12.688636666666667,4.93135,27.507686666666668
QU39,2016-06-20,172,12.722405,4.9172633333333335,27.492446666666666
QU39,2016-06-29,181,12.079136666666667,4.328076666666667,27.779633333333333
QU39,2016-06-30,182,11.438085,4.114301666666667,28.174623333333333
QU39,2016-07-10,192,14.585366666666667,5.0151200000000005,26.995543333333334
QU39,2016-07-11,193,15.008198333333333,5.106928333333333,26.788745
QU39,2016-07-20,202,13.632723333333333,4.421666666666667,27.535989999999998
QU39,2016-07-21,203,13.492516666666667,4.311886666666666,27.529631666666667
QU39,2016-07-29,211,11.427533333333333,3.9373633333333333,28.481363333333334
QU39,2017-02-02,33,7.3673383333333335,6.154635,28.606148333333334
QU39,2017-02-03,34,7.160750819672131,6.2143852459016395,28.59672950819672
QU39,2017-02-14,45,6.680596666666666,6.7067266666666665,28.275198333333332
QU39,2017-02-17,48,6.905106666666667,6.582496666666667,28.44558
QU39,2017-02-23,54,6.995552459016394,6.512386885245902,28.45357049180328
