yday,predicted_mean_temp,station,date,mean_temp,mean_do,mean_salinity,diff
49,7.248066930875868,QU39,2020-02-18,7.21807,6.360116666666666,28.259543333333333,neg
57,7.228627125599015,QU39,2020-02-26,7.134516666666666,6.431996666666667,28.051053333333332,neg
66,7.459496838672443,QU39,2020-03-06,7.2323466666666665,6.56269,28.333306666666665,neg
72,7.718085418541625,QU39,2020-03-12,7.44244,6.155783333333333,28.62649,neg
78,8.155358766378063,QU39,2020-03-18,8.088146666666667,5.871406666666666,29.244876666666666,neg
108,9.420612870671128,QU39,2020-04-17,9.33769,5.20568,29.717773333333334,neg
120,10.01411252054624,QU39,2020-04-29,10.393193333333333,6.93168,29.288286666666668,pos
135,11.315604389703893,QU39,2020-05-14,11.62632258064516,6.681609677419355,28.103664516129033,pos
147,12.143391457107725,QU39,2020-05-26,12.007316666666666,5.335336666666667,28.654933333333332,neg
156,11.925107466564837,QU39,2020-06-04,13.117313333333334,5.63808,27.968303333333335,pos
163,11.700613294975007,QU39,2020-06-11,13.2615,5.695616666666667,27.45117,pos
169,11.592513234306494,QU39,2020-06-17,13.56176,5.54695,26.913843333333332,pos
177,11.777315569047072,QU39,2020-06-25,12.09719,4.4289266666666665,27.50936,pos
182,11.947750362761806,QU39,2020-06-30,10.450573333333333,4.085516666666667,28.70399666666667,neg
191,12.332144144392984,QU39,2020-07-09,14.1199,5.543036666666667,24.979356666666668,pos
197,12.37619626637696,QU39,2020-07-15,12.839269999999999,4.693993333333333,26.067946666666668,pos
204,12.302533435942978,QU39,2020-07-22,10.967776666666666,3.96871,28.415696666666665,neg
211,12.04679228393801,QU39,2020-07-29,13.009346666666666,5.198903333333333,27.337333333333333,pos
114,9.699903181506166,QU39,NA,9.699903181506166,NA,NA,NA
141,11.849261358777554,QU39,NA,11.849261358777554,NA,NA,NA
151.5,12.05521846677811,QU39,NA,12.05521846677811,NA,NA,NA
179.5,11.857400635601158,QU39,NA,11.857400635601158,NA,NA,NA
186.5,12.166105698271666,QU39,NA,12.166105698271666,NA,NA,NA
200.5,12.361828602599289,QU39,NA,12.361828602599289,NA,NA,NA
207.5,12.194987102088787,QU39,NA,12.194987102088787,NA,NA,NA
