survey_date,species,weight,fork_length,year
2015-05-16,SO,22.5,128,2015
2015-05-16,SO,10.8,95,2015
2015-05-16,SO,10.8,103,2015
2015-05-16,SO,11,101,2015
2015-05-16,SO,16,116,2015
2015-05-16,SO,9,100,2015
2015-05-16,SO,9.3,94,2015
2015-05-16,SO,12.7,104,2015
2015-05-16,SO,12.9,109,2015
2015-05-16,SO,10.6,99,2015
2015-05-16,PI,7.4,86,2015
2015-05-16,CU,14.9,114,2015
2015-05-16,CU,14.6,114,2015
2015-05-16,CU,17.9,122,2015
2015-05-16,CU,10.7,101,2015
2015-05-16,CU,7.1,90,2015
2015-05-16,CO,24.5,130,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,SO,NA,NA,2015
2015-05-16,CU,NA,NA,2015
2015-05-16,CU,NA,NA,2015
2015-05-16,CU,NA,NA,2015
2015-05-16,CU,NA,NA,2015
2015-05-16,CU,NA,NA,2015
2015-05-19,SO,11.5,104,2015
2015-05-19,SO,6.9,89,2015
2015-05-19,SO,9.4,96,2015
2015-05-19,SO,9.6,96,2015
2015-05-19,SO,8.9,97,2015
2015-05-19,SO,5.2,76,2015
2015-05-19,SO,9.2,95,2015
2015-05-19,SO,9.2,94,2015
2015-05-19,CU,16.5,118,2015
2015-05-19,CU,16.4,120,2015
2015-05-19,SO,7.4,97,2015
2015-05-19,SO,7.7,95,2015
2015-05-19,SO,7.4,94,2015
2015-05-19,SO,20,127,2015
2015-05-19,SO,11.3,108,2015
2015-05-19,SO,9.2,104,2015
2015-05-19,SO,10.3,107,2015
2015-05-19,SO,13,112,2015
2015-05-19,SO,9.1,99,2015
2015-05-19,SO,11.1,108,2015
2015-05-19,CU,12.9,107,2015
2015-05-19,CU,13.4,109,2015
2015-05-19,CU,12.8,108,2015
2015-05-19,CU,NA,120,2015
2015-05-19,CU,15.8,114,2015
2015-05-19,CU,16.1,116,2015
2015-05-19,CU,7.2,89,2015
2015-05-19,CO,30.3,140,2015
2015-05-19,CO,21.8,123,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
2015-05-19,SO,NA,NA,2015
