ufn,sample_type,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U10969,sealice_microbiome,S10969LC1,,TChang_UBC,raw,
U10129,sealice_microbiome,S10129LC1,,TChang_UBC,raw,
U10489,sealice_microbiome,S10489LC1,,TChang_UBC,raw,
U12804,sealice_microbiome,S12804LC1,,TChang_UBC,raw,
U12806,sealice_microbiome,S12806LC1,,TChang_UBC,raw,
U10168,sealice_microbiome,S10168LC1,,TChang_UBC,raw,
U10164,sealice_microbiome,S10164LC1,,TChang_UBC,raw,
U10167,sealice_microbiome,S10167LC1,,TChang_UBC,raw,
U12410,sealice_microbiome,S12410LC1,,TChang_UBC,raw,
U13201,sealice_microbiome,S13201LC1,,TChang_UBC,raw,
U10530,sealice_microbiome,S10530LC1,,TChang_UBC,raw,
U10177,sealice_microbiome,S10177LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10180,sealice_microbiome,S10180LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10178,sealice_microbiome,S10178LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10590,sealice_microbiome,S10590LC1,sea louse found post-dissection; thawed. Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10669,sealice_microbiome,S10669LC1,Ucal thawed. Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10662,sealice_microbiome,S10662LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10667,sealice_microbiome,S10667LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U12654,sealice_microbiome,S12654LC1,thawed. Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U12653,sealice_microbiome,S12653LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U12655,sealice_microbiome,S12655LC1,thawed. Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U12658,sealice_microbiome,S12658LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10506,sealice_microbiome,S10506LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10504,sealice_microbiome,S10504LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10503,sealice_microbiome,S10503LC1,CM thawed. Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10502,sealice_microbiome,S10502LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U12587,sealice_microbiome,S12587LC1,Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U12582,sealice_microbiome,S12582LC1,Thawed. Sample accidentally left in dry ice cooler at -65C overnight,TChang_UBC,raw,
U10782,sealice_microbiome,S10782LC1,,TChang_UBC,raw,
U10623,sealice_microbiome,S10623LC1,,TChang_UBC,raw,
U10301,sealice_microbiome,S10301LC1,,TChang_UBC,raw,
U10593,sealice_microbiome,S10593LC1,,TChang_UBC,raw,
U10752,sealice_microbiome,S10752LC1,,TChang_UBC,raw,
U10751,sealice_microbiome,S10751LC1,,TChang_UBC,raw,
U11311,sealice_microbiome,S11311LC1,,TChang_UBC,raw,
U10804,sealice_microbiome,S10804LC1,,TChang_UBC,raw,
U12647,sealice_microbiome,S12647LC1,,TChang_UBC,raw,
U12641,sealice_microbiome,S12641LC1,,TChang_UBC,raw,
U11128,sealice_microbiome,S11128LC1,,TChang_UBC,raw,
U11121,sealice_microbiome,S11121LL1,,TChang_UBC,raw,
U11129,sealice_microbiome,S11129LC1,,TChang_UBC,raw,
U5074,sealice_microbiome,S5074LC1,,TChang_UBC,raw,
U10606,sealice_microbiome,S10606LC1,,TChang_UBC,raw,
U11046,sealice_microbiome,S11046LC1,,TChang_UBC,raw,
U10798,sealice_microbiome,S10798LC1,,TChang_UBC,raw,
U10803,sealice_microbiome,S10803LC1,,TChang_UBC,raw,
U10808,sealice_microbiome,S10808LC1,,TChang_UBC,raw,
U10645,sealice_microbiome,S10645LC1,,TChang_UBC,raw,
U10646,sealice_microbiome,S10646LC1,,TChang_UBC,raw,
U10647,sealice_microbiome,S10647LC1,,TChang_UBC,raw,
U12999,sealice_microbiome,S12999LC1,,TChang_UBC,raw,
U12998,sealice_microbiome,S12998LC1,,TChang_UBC,raw,
U13000,sealice_microbiome,S13000LC1,,TChang_UBC,raw,
U12991,sealice_microbiome,S12991LC1,,TChang_UBC,raw,
U12992,sealice_microbiome,S12992LC1,,TChang_UBC,raw,
U12996,sealice_microbiome,S12996LC1,CM severed genital segment,TChang_UBC,raw,
U12993,sealice_microbiome,S12993LC1,,TChang_UBC,raw,
U12994,sealice_microbiome,S12994LC1,,TChang_UBC,raw,
U12994,sealice_microbiome,S12994LL1,,TChang_UBC,raw,
U10684,sealice_microbiome,S10684LC1,,TChang_UBC,raw,
U4918,sealice_microbiome,SLC5418,,TChang_UBC,raw,
U4921,sealice_microbiome,SLC5421,,TChang_UBC,raw,
U11126,sealice_microbiome,S11126LC1,,TChang_UBC,raw,
U11124,sealice_microbiome,S11124LC1,,TChang_UBC,raw,
U4928,sealice_microbiome,SLC5428,,TChang_UBC,raw,
U4924,sealice_microbiome,SLC5424,,TChang_UBC,raw,
U4929,sealice_microbiome,SLC5429,,TChang_UBC,raw,
U4925,sealice_microbiome,SLC5425,,TChang_UBC,raw,
U10882,sealice_microbiome,S10882LC1,,TChang_UBC,raw,
U4926,sealice_microbiome,SLC5426,,TChang_UBC,raw,
U4932,sealice_microbiome,SLC5432,,TChang_UBC,raw,
U5052,sealice_microbiome,SLC5591,,TChang_UBC,raw,
U4933,sealice_microbiome,SLC5433,,TChang_UBC,raw,
U5056,sealice_microbiome,SLC5595,,TChang_UBC,raw,
U4936,sealice_microbiome,SLC5436,,TChang_UBC,raw,
U5058,sealice_microbiome,SLC5597,,TChang_UBC,raw,
U5062,sealice_microbiome,SLC5601,,TChang_UBC,raw,
U5068,sealice_microbiome,SLC5607,,TChang_UBC,raw,
U5069,sealice_microbiome,SLC5608,,TChang_UBC,raw,
U5070,sealice_microbiome,SLL5609,,TChang_UBC,raw,
U4933,sealice_microbiome,SLL5433,,TChang_UBC,raw,
U5047,sealice_microbiome,SLL5587,,TChang_UBC,raw,
U4927,sealice_microbiome,SLL5427,,TChang_UBC,raw,
U12808,sealice_microbiome,S12808LC1,,TChang_UBC,raw,
U12605,sealice_microbiome,S12605LC1,,TChang_UBC,raw,
U12607,sealice_microbiome,S12607LC1,,TChang_UBC,raw,
U12604,sealice_microbiome,S12604LC1,,TChang_UBC,raw,
U10769,sealice_microbiome,S10769LC1,,TChang_UBC,raw,
U10768,sealice_microbiome,S10768LC1,,TChang_UBC,raw,
U10770,sealice_microbiome,S10770LC1,,TChang_UBC,raw,
U10764,sealice_microbiome,S10764LC1,,TChang_UBC,raw,
U10765,sealice_microbiome,S10765LC1,,TChang_UBC,raw,
U10842,sealice_microbiome,S10842LC1,,TChang_UBC,raw,
U10849,sealice_microbiome,S10849LC1,,TChang_UBC,raw,
U10843,sealice_microbiome,S10843LC1,,TChang_UBC,raw,
U12770,sealice_microbiome,S12770LC1,,TChang_UBC,raw,
U12767,sealice_microbiome,S12767LC1,,TChang_UBC,raw,
U11408,sealice_microbiome,S11408LC1,,TChang_UBC,raw,
U11409,sealice_microbiome,S11409LC1,,TChang_UBC,raw,
