sample_id,sample_type,ufn,sample_comments,analyzing_lab,quality_level,quality_log
SXM5104,extra_muscle,U1721,NA,NA,raw,NA
SXM5105,extra_muscle,U1722,NA,NA,raw,NA
SXM5106,extra_muscle,U1723,NA,NA,raw,NA
SXM5107,extra_muscle,U1724,NA,NA,raw,NA
SXM5108,extra_muscle,U1725,NA,NA,raw,NA
SXM5109,extra_muscle,U1726,NA,NA,raw,NA
SXM5110,extra_muscle,U1727,NA,NA,raw,NA
SXM5111,extra_muscle,U1728,NA,NA,raw,NA
SXM5112,extra_muscle,U1729,NA,NA,raw,NA
SXM5113,extra_muscle,U1730,NA,NA,raw,NA
SXM5114,extra_muscle,U1751,NA,NA,raw,NA
SXM5115,extra_muscle,U1752,NA,NA,raw,NA
SXM5116,extra_muscle,U1753,NA,NA,raw,NA
SXM5117,extra_muscle,U1754,NA,NA,raw,NA
SXM5118,extra_muscle,U1755,NA,NA,raw,NA
SXM5119,extra_muscle,U1756,NA,NA,raw,NA
SXM5120,extra_muscle,U1757,NA,NA,raw,NA
SXM5121,extra_muscle,U1758,NA,NA,raw,NA
SXM5122,extra_muscle,U1759,NA,NA,raw,NA
SXM5123,extra_muscle,U1760,NA,NA,raw,NA
SXM5124,extra_muscle,U1791,NA,NA,raw,NA
SXM5125,extra_muscle,U1792,NA,NA,raw,NA
SXM5126,extra_muscle,U1793,NA,NA,raw,NA
SXM5127,extra_muscle,U1794,NA,NA,raw,NA
SXM5128,extra_muscle,U1795,NA,NA,raw,NA
SXM5129,extra_muscle,U1796,NA,NA,raw,NA
SXM5130,extra_muscle,U1797,NA,NA,raw,NA
SXM5131,extra_muscle,U1798,NA,NA,raw,NA
SXM5132,extra_muscle,U1799,NA,NA,raw,NA
SXM5133,extra_muscle,U1800,NA,NA,raw,NA
SXM5134,extra_muscle,U1871,NA,NA,raw,NA
SXM5135,extra_muscle,U1872,NA,NA,raw,NA
SXM5136,extra_muscle,U1873,NA,NA,raw,NA
SXM5137,extra_muscle,U1874,NA,NA,raw,NA
SXM5138,extra_muscle,U1875,NA,NA,raw,NA
SXM5139,extra_muscle,U1881,NA,NA,raw,NA
SXM5140,extra_muscle,U1882,NA,NA,raw,NA
SXM5141,extra_muscle,U1883,NA,NA,raw,NA
SXM5142,extra_muscle,U1884,NA,NA,raw,NA
SXM5143,extra_muscle,U1885,NA,NA,raw,NA
SXM5144,extra_muscle,U2191,NA,NA,raw,NA
SXM5145,extra_muscle,U2192,NA,NA,raw,NA
SXM5146,extra_muscle,U2193,NA,NA,raw,NA
SXM5147,extra_muscle,U2194,NA,NA,raw,NA
SXM5148,extra_muscle,U2195,NA,NA,raw,NA
SXM5149,extra_muscle,U2196,NA,NA,raw,NA
