ufn,sample_id,tissue_type,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,quality_level,quality_log
U136,SDN149,liver,Chilko,3,0.68,CHILKO_SOUTH,2,0.32,EAGLE_L,4,0,CHILKO-NORTH,3,0,PORTAGE_CR,4,0,PBS,provisional,NA
U156,SDN143,liver,Chilko,3,0.48,CHILKO_SOUTH,2,0.18,THOMPSON_N,2,0.13,LITTLE,4,0.1,L_SHUSWAP,4,0.04,PBS,provisional,NA
U158,SDN145,liver,Kuzkwa_Cr,3,0.58,PINCHI_CR,3,0.22,STELLAKO,3,0.09,TACHIE,3,0.04,MITCHELL,3,0.02,PBS,provisional,NA
U159,SDN152,liver,Porter_Cr,1,0.31,KUZKWA_CR,3,0.29,PINCHI_CR,3,0.2,NARROWS,1,0.05,FORFAR,1,0.03,PBS,provisional,NA
U160,SDN153,liver,Birkenhead,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U161,SDN154,liver,Porter_Cr,1,0.81,FORFAR,1,0.07,NARROWS,1,0.06,BIVOUAC,1,0.03,HUDSON_BAY,1,0.01,PBS,provisional,NA
U162,SDN155,liver,Chilko,3,0.96,CHILKO_SOUTH,2,0.04,LITTLE,4,0,MCKINLEY,3,0,KUZKWA_CR,3,0,PBS,provisional,NA
U171,SDN156,liver,Porter_Cr,1,0.6,PORTAGE_CR,4,0.13,LITTLE,4,0.09,EAGLE_L,4,0.04,NARROWS,1,0.02,PBS,provisional,NA
U200,SDN205,liver,Chilko,3,0.93,QUESNEL_HORSEF,3,0.04,MCKINLEY,3,0.02,U_HORSEFLY,3,0.01,MIDDLE,3,0,PBS,provisional,NA
U207,SDN206,liver,Chilko,3,0.99,BLUE_LEAD_CK,3,0.01,QUESNEL_DECEPT,3,0,DUST,1,0,SINTA,1,0,PBS,provisional,NA
U208,SDN207,liver,Chilko,3,0.97,QUESNEL_HORSEF,3,0.01,U_HORSEFLY,3,0.01,MIDDLE,3,0,EAGLE_L,4,0,PBS,provisional,NA
U209,SDN208,liver,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U210,SDN209,liver,Chilko,3,0.99,CHILKO_SOUTH,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U213,SDN210,liver,Quesnel_Horsef,3,0.64,U_HORSEFLY,3,0.2,MCKINLEY,3,0.12,BLUE_LEAD_CK,3,0.04,HORSEFLY,3,0.01,PBS,provisional,NA
U214,SDN211,liver,Chilko,3,0.99,MCKINLEY,3,0.01,QUESNEL_HORSEF,3,0,BLUE_LEAD_CK,3,0,THOMPSON_N,2,0,PBS,provisional,NA
U215,SDN212,liver,Middle,3,1,TACHIE,3,0,KUZKWA_CR,3,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U216,SDN213,liver,Chilko,3,1,CHILKO_SOUTH,2,0,WEAVER,4,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U217,SDN214,liver,Thompson_N,2,0.69,CHILKO,3,0.2,RAFT,2,0.11,WEAVER,4,0,LITTLE,4,0,PBS,provisional,NA
U218,SDN222,liver,Stellako,3,0.9,BLACKWATER,1,0.06,HUDSON_BAY,1,0.02,NADINA,2,0.01,SANDPOINT,1,0.01,PBS,provisional,NA
U219,SDN223,liver,Chilko,3,0.78,TACHIE,3,0.07,PORTAGE_CR,4,0.04,L_ADAMS,4,0.03,ROARING,3,0.02,PBS,provisional,NA
U220,SDN224,liver,Scotch,2,0.96,L_ADAMS,4,0.03,CHILKO,3,0.01,PITT,2,0,EAGLE_L,4,0,PBS,provisional,NA
U221,SDN225,liver,Chilko,3,0.98,TACHIE,3,0.01,PITT,2,0.01,CHILKO-NORTH,3,0.01,L_ADAMS,4,0,PBS,provisional,NA
U222,SDN226,liver,Chilko,3,1,CHILKO-NORTH,3,0,L_ADAMS,4,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U223,SDN227,liver,Seymour,2,0.82,SCOTCH,2,0.16,CHILKO-NORTH,3,0.02,EAGLE,2,0,NA,NA,NA,PBS,provisional,NA
U224,SDN248,liver,L_Adams,4,0.88,RAFT,2,0.1,THOMPSON_N,2,0.03,EAGLE_L,4,0,NA,NA,NA,PBS,provisional,NA
U225,SDN249,liver,L_Adams,4,0.96,RAFT,2,0.02,MIDDLESHUSWAP,4,0.01,FORFAR,1,0,FIVEMILE,1,0,PBS,provisional,NA
U226,SDN250,liver,Chilko,3,0.99,PAULA,1,0,SANDPOINT,1,0,CHILKO-NORTH,3,0,TACHIE,3,0,PBS,provisional,NA
U227,SDN251,liver,Chilko,3,0.56,L_ADAMS,4,0.3,CHILKO-NORTH,3,0.03,RAFT,2,0.03,LITTLE,4,0.02,PBS,provisional,NA
U228,SDN252,liver,Tachie,3,0.77,CHILKO,3,0.19,CHILKO-NORTH,3,0.02,PAULA,1,0.02,L_ADAMS,4,0,PBS,provisional,NA
U229,SDN253,liver,Chilko,3,0.82,RAFT,2,0.11,THOMPSON_N,2,0.04,L_ADAMS,4,0.02,CHILKO-NORTH,3,0.01,PBS,provisional,NA
U230,SDN264,liver,Stellako,3,1,CHILKO,3,0,TACHIE,3,0,KYNOCK,1,0,NA,NA,NA,PBS,provisional,NA
U231,SDN215,liver,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U232,SDN216,liver,Blue_Lead_Ck,3,0.76,QUESNEL_MITCHE,3,0.14,MITCHELL,3,0.1,QUESNEL_DECEPT,3,0,ROARING,3,0,PBS,provisional,NA
U233,SDN217,liver,Chilko,3,0.99,RAFT,2,0,THOMPSON_N,2,0,STELLAKO,3,0,FENNELL,2,0,PBS,provisional,NA
U234,SDN218,liver,Quesnel_Horsef,3,0.97,U_HORSEFLY,3,0.01,CHILKO,3,0.01,HORSEFLY,3,0,L_HORSEFLY,3,0,PBS,provisional,NA
U235,SDN219,liver,Chilko,3,0.36,RAFT,2,0.32,THOMPSON_N,2,0.23,FENNELL,2,0.06,KYNOCK,1,0.02,PBS,provisional,NA
U236,SDN228,liver,Chilko,3,0.97,BLACKWATER,1,0.01,SANDPOINT,1,0,HUDSON_BAY,1,0,FORFAR,1,0,PBS,provisional,NA
U237,SDN229,liver,Chilko,3,0.87,L_ADAMS,4,0.11,CHILKO_SOUTH,2,0.01,EAGLE_L,4,0.01,CHILKO-NORTH,3,0,PBS,provisional,NA
U238,SDN230,liver,Paula,1,0.99,TACHIE,3,0.01,SANDPOINT,1,0,BLACKWATER,1,0,NA,NA,NA,PBS,provisional,NA
U239,SDN231,liver,L_Adams,4,0.82,CHILKO,3,0.08,PORTAGE_CR,4,0.04,LITTLE,4,0.03,PITT,2,0.02,PBS,provisional,NA
U240,SDN232,liver,Chilko-North,3,0.95,BLACKWATER,1,0.04,NARROWS,1,0.01,GLUSKIE,1,0,FELIX,1,0,PBS,provisional,NA
U241,SDN220,liver,Birkenhead,3,1,WEAVER,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U242,SDN233,liver,Chilko,3,0.95,CHILKO-NORTH,3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U243,SDN234,liver,Paula,1,0.71,TACHIE,3,0.19,SANDPOINT,1,0.04,FORFAR,1,0.01,GLUSKIE,1,0.01,PBS,provisional,NA
U244,SDN235,liver,Paula,1,0.85,SANDPOINT,1,0.06,ROSSETTE,1,0.03,FELIX,1,0.02,FORFAR,1,0.01,PBS,provisional,NA
U245,SDN236,liver,Chilko-North,3,0.99,BIRKENHEAD,3,0.01,CHILKO,3,0,NARROWS,1,0,CHILKO_SOUTH,2,0,PBS,provisional,NA
U246,SDN237,liver,Quesnel_Horsef,3,0.87,U_HORSEFLY,3,0.1,SEYMOUR,2,0.02,SCOTCH,2,0,L_HORSEFLY,3,0,PBS,provisional,NA
U247,SDN238,liver,Quesnel_Horsef,3,0.91,U_HORSEFLY,3,0.08,L_HORSEFLY,3,0,M_HORSEFLY,3,0,MCKINLEY,3,0,PBS,provisional,NA
U248,SDN239,liver,Quesnel_Horsef,3,0.91,U_HORSEFLY,3,0.09,HORSEFLY,3,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U249,SDN240,liver,L_Adams,4,1,EAGLE_L,4,0,L_SHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U250,SDN241,liver,L_Adams,4,0.99,BOWRON,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U251,SDN242,liver,Seymour,2,0.78,SCOTCH,2,0.11,CHILKO-NORTH,3,0.08,QUESNEL_HORSEF,3,0.02,RAFT,2,0.01,PBS,provisional,NA
U252,SDN243,liver,Quesnel_Mitche,3,0.55,QUESNEL_HORSEF,3,0.35,BLACKWATER,1,0.02,PAULA,1,0.02,NARROWS,1,0.02,PBS,provisional,NA
U253,SDN244,liver,Chilko-North,3,0.98,RAFT,2,0.01,BIRKENHEAD,3,0.01,QUESNEL_HORSEF,3,0,U_HORSEFLY,3,0,PBS,provisional,NA
U254,SDN245,liver,L_Adams,4,0.96,CHILKO-NORTH,3,0.02,RAFT,2,0.01,MIDDLESHUSWAP,4,0.01,THOMPSON_N,2,0,PBS,provisional,NA
U255,SDN246,liver,L_Adams,4,0.99,BOWRON,2,0.01,EAGLE_L,4,0.01,CHILKO-NORTH,3,0,NA,NA,NA,PBS,provisional,NA
U256,SDN254,liver,L_Adams,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U257,SDN255,liver,Paula,1,0.85,SANDPOINT,1,0.08,TACHIE,3,0.02,ROSSETTE,1,0.01,FELIX,1,0.01,PBS,provisional,NA
U258,SDN256,liver,Chilko,3,0.98,L_ADAMS,4,0.01,CHILKO-NORTH,3,0,PAULA,1,0,THOMPSON_N,2,0,PBS,provisional,NA
U259,SDN257,liver,Chilko,3,0.96,L_ADAMS,4,0.04,LITTLE,4,0,PORTAGE_CR,4,0,ROARING,3,0,PBS,provisional,NA
U260,SDN258,liver,L_Adams,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U261,SDN259,liver,L_Adams,4,0.94,MIDDLESHUSWAP,4,0.02,RAFT,2,0.02,L_SHUSWAP,4,0.01,THOMPSON_N,2,0.01,PBS,provisional,NA
U262,SDN260,liver,L_Adams,4,1,CHILKO,3,0,LITTLE,4,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U264,SDN262,liver,Mitchell,3,0.85,QUESNEL_MITCHE,3,0.15,QUESNEL_DECEPT,3,0,WASKO_CR,3,0,ROARING,3,0,PBS,provisional,NA
U266,SDN276,liver,Scotch,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U267,SDN277,liver,Pitt,2,0.99,L_ADAMS,4,0,KALUM_LAKE,10,0,BIRKENHEAD,3,0,SCOTCH,2,0,PBS,provisional,NA
U268,SDN278,liver,Pinchi_Cr,3,0.95,TACHIE,3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U269,SDN279,liver,Pinchi_Cr,3,0.45,THOMPSON_N,2,0.26,RAFT,2,0.19,PITT,2,0.03,BIRKENHEAD,3,0.01,PBS,provisional,NA
U270,SDN280,liver,Chilko,3,0.99,QUESNEL_DECEPT,3,0,CHILKO-NORTH,3,0,CHILKO_SOUTH,2,0,NA,NA,NA,PBS,provisional,NA
U271,SDN265,liver,L_Adams,4,0.92,SCOTCH,2,0.05,LITTLE,4,0.02,EAGLE_L,4,0.01,PORTAGE_CR,4,0.01,PBS,provisional,NA
U272,SDN266,liver,Stellako,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U273,SDN267,liver,Chilko,3,0.85,THOMPSON_N,2,0.04,QUESNEL_HORSEF,3,0.04,BLACKWATER,1,0.02,SANDPOINT,1,0.02,PBS,provisional,NA
U274,SDN268,liver,Chilko,3,0.99,STELLAKO,3,0.01,CHILKO_SOUTH,2,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U275,SDN281,liver,Paula,1,0.88,TACHIE,3,0.07,HUDSON_BAY,1,0.02,ROSSETTE,1,0.02,FELIX,1,0.01,PBS,provisional,NA
U276,SDN282,liver,L_Adams,4,0.62,CHILKO,3,0.31,SCOTCH,2,0.02,EAGLE_L,4,0.02,LITTLE,4,0.01,PBS,provisional,NA
U277,SDN283,liver,Bowron,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U278,SDN284,liver,Chilko,3,1,QUESNEL_DECEPT,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U279,SDN285,liver,Chilko,3,0.99,THOMPSON_N,2,0.01,CHILKO-NORTH,3,0,QUESNEL_DECEPT,3,0,LITTLE,4,0,PBS,provisional,NA
U280,SDN292,liver,Pinchi_Cr,3,0.95,TACHIE,3,0.03,HUDSON_BAY,1,0.01,FORFAR,1,0,NA,NA,NA,PBS,provisional,NA
U281,SDN269,liver,Quesnel_Horsef,3,0.41,CHILKO,3,0.34,THOMPSON_N,2,0.15,STELLAKO,3,0.07,KYNOCK,1,0.01,PBS,provisional,NA
U284,SDN272,liver,Chilko,3,1,THOMPSON_N,2,0,CHILKO_SOUTH,2,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U285,SDN273,liver,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U286,SDN274,liver,Chilko,3,0.88,THOMPSON_N,2,0.06,RAFT,2,0.03,EAGLE_L,4,0.01,LITTLE,4,0.01,PBS,provisional,NA
U287,SDN286,liver,Chilko,3,0.88,THOMPSON_N,2,0.05,RAFT,2,0.03,FENNELL,2,0.02,CHILKO-NORTH,3,0.01,PBS,provisional,NA
U288,SDN287,liver,Scotch,2,1,L_ADAMS,4,0,SANDPOINT,1,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U289,SDN288,liver,Scotch,2,1,SEYMOUR,2,0,L_ADAMS,4,0,PITT,2,0,NA,NA,NA,PBS,provisional,NA
U290,SDN289,liver,Chilko,3,0.93,PINCHI_CR,3,0.05,CHILKO_SOUTH,2,0.02,CHILKO-NORTH,3,0.01,PORTAGE_CR,4,0,PBS,provisional,NA
U291,SDN290,liver,Chilko,3,0.87,QUESNEL_DECEPT,3,0.09,PINCHI_CR,3,0.02,EAGLE_L,4,0.01,THOMPSON_N,2,0.01,PBS,provisional,NA
U292,SDN293,liver,Pinchi_Cr,3,0.88,TACHIE,3,0.11,L_SHUSWAP,4,0.01,MIDDLE,3,0.01,MIDDLESHUSWAP,4,0,PBS,provisional,NA
U293,SDN294,liver,Chilko,3,1,CHILKO_SOUTH,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U294,SDN295,liver,Birkenhead,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U295,SDN296,liver,Quesnel_Decept,3,0.8,PINCHI_CR,3,0.09,CHILKO,3,0.04,MITCHELL,3,0.03,PITT,2,0.03,PBS,provisional,NA
U296,SDN297,liver,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U297,SDN298,liver,Chilko,3,0.99,CHILKO_SOUTH,2,0.01,CHILKO-NORTH,3,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U298,SDN308,liver,Chilko,3,0.91,THOMPSON_N,2,0.07,CHILKO_SOUTH,2,0.01,TACHIE,3,0,PINCHI_CR,3,0,PBS,provisional,NA
U299,SDN309,liver,Weaver,4,0.89,CHILKO,3,0.07,WANNOCK,18,0.01,MARBLE_CR,18,0.01,PITT,2,0.01,PBS,provisional,NA
U300,SDN310,liver,Chilko,3,1,STELLAKO,3,0,CHILKO_SOUTH,2,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U301,SDN299,liver,Pinchi_Cr,3,0.88,TACHIE,3,0.09,CHILKO,3,0.01,NARROWS,1,0.01,HUDSON_BAY,1,0,PBS,provisional,NA
U302,SDN300,liver,Weaver,4,1,TACHIE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U303,SDN301,liver,Chilko,3,0.99,THOMPSON_N,2,0.01,CHILKO_SOUTH,2,0.01,PINCHI_CR,3,0,NA,NA,NA,PBS,provisional,NA
U304,SDN302,liver,Quesnel_Decept,3,0.84,WEAVER,4,0.06,PINCHI_CR,3,0.05,MITCHELL,3,0.02,THOMPSON_N,2,0.02,PBS,provisional,NA
U305,SDN303,liver,Weaver,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U306,SDN311,liver,Pinchi_Cr,3,0.91,TACHIE,3,0.08,MIDDLE,3,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U307,SDN312,liver,Quesnel_Horsef,3,0.98,U_HORSEFLY,3,0.01,L_HORSEFLY,3,0,HORSEFLY,3,0,LITTLE,4,0,PBS,provisional,NA
U308,SDN313,liver,Thompson_N,2,0.9,CHILKO,3,0.05,RAFT,2,0.04,QUESNEL_HORSEF,3,0.01,STELLAKO,3,0,PBS,provisional,NA
U309,SDN314,liver,Gluskie,1,0.97,MIDDLE,3,0.02,BLACKWATER,1,0.01,FIVEMILE,1,0,STELLAKO,3,0,PBS,provisional,NA
U310,SDN315,liver,Chilko,3,1,QUESNEL_MITCHE,3,0,STELLAKO,3,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U311,SDN304,liver,Chilko,3,0.65,THOMPSON_N,2,0.28,RAFT,2,0.03,L_SHUSWAP,4,0.01,L_ADAMS,4,0.01,PBS,provisional,NA
U312,SDN305,liver,Weaver,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U313,SDN306,liver,Pinchi_Cr,3,0.54,THOMPSON_N,2,0.31,QUESNEL_DECEPT,3,0.08,CHILKO,3,0.05,L_ADAMS,4,0.01,PBS,provisional,NA
U315,SDN307,liver,Pinchi_Cr,3,0.87,QUESNEL_DECEPT,3,0.05,CHILKO,3,0.04,TACHIE,3,0.01,HUDSON_BAY,1,0.01,PBS,provisional,NA
U316,SDN316,liver,Chilko,3,0.68,THOMPSON_N,2,0.13,PINCHI_CR,3,0.12,RAFT,2,0.03,QUESNEL_DECEPT,3,0.02,PBS,provisional,NA
U317,SDN317,liver,Mitchell,3,0.93,QUESNEL_MITCHE,3,0.07,BLUE_LEAD_CK,3,0,QUESNEL_DECEPT,3,0,ROARING,3,0,PBS,provisional,NA
U318,SDN318,liver,Chilko,3,1,CHILKO_SOUTH,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U319,SDN319,liver,Chilko,3,0.88,THOMPSON_N,2,0.11,RAFT,2,0,LITTLE,4,0,QUESNEL_HORSEF,3,0,PBS,provisional,NA
U320,SDN320,liver,Stellako,3,0.43,L_ADAMS,4,0.34,MIDDLE,3,0.12,SEYMOUR,2,0.06,CHILKO,3,0.04,PBS,provisional,NA
U321,SDN321,liver,Pinchi_Cr,3,0.94,TACHIE,3,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U322,SDN407,liver,Chilko,3,0.96,THOMPSON_N,2,0.02,MIDDLE,3,0.01,STELLAKO,3,0,EAGLE_L,4,0,PBS,provisional,NA
U323,SDN408,liver,Middle,3,0.95,STELLAKO,3,0.03,CHILKO,3,0.01,TACHIE,3,0,FORFAR,1,0,PBS,provisional,NA
U324,SDN409,liver,Blue_Lead_Ck,3,0.79,QUESNEL_MITCHE,3,0.11,MITCHELL,3,0.1,QUESNEL_DECEPT,3,0,WASKO_CR,3,0,PBS,provisional,NA
U325,SDN410,liver,Horsefly,3,0.44,L_ADAMS,4,0.39,CHILKO,3,0.1,STELLAKO,3,0.02,KALUM_LAKE,10,0.02,PBS,provisional,NA
U326,SDN415,liver,Middle,3,0.42,GLUSKIE,1,0.26,PORTER_CR,1,0.14,BLACKWATER,1,0.09,STELLAKO,3,0.03,PBS,provisional,NA
U327,SDN427,liver,Quesnel_Mitche,3,0.99,MITCHELL,3,0.01,BLUE_LEAD_CK,3,0,CHILKO,3,0,HORSEFLY,3,0,PBS,provisional,NA
U328,SDN453,liver,Quesnel_Horsef,3,0.95,LITTLE,4,0.01,CHILKO,3,0.01,U_HORSEFLY,3,0.01,QUESNEL_DECEPT,3,0.01,PBS,provisional,NA
U329,SDN571,liver,Pinchi_Cr,3,0.94,MIDDLE,3,0.06,PAULA,1,0,CHILKO,3,0,STELLAKO,3,0,PBS,provisional,NA
U330,SDN572,liver,L_Adams,4,0.33,SEYMOUR,2,0.25,PINCHI_CR,3,0.23,CHILKO_SOUTH,2,0.09,LITTLE,4,0.04,PBS,provisional,NA
U331,SDN322,liver,Blackwater,1,0.36,HUDSON_BAY,1,0.2,KYNOCK,1,0.16,SANDPOINT,1,0.12,FELIX,1,0.05,PBS,provisional,NA
U332,SDN323,liver,Chilko,3,0.29,THOMPSON_N,2,0.21,LITTLE,4,0.18,QUESNEL_HORSEF,3,0.14,EAGLE_L,4,0.04,PBS,provisional,NA
U333,SDN324,liver,Birkenhead,3,0.79,PITT,2,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U334,SDN325,liver,Chilko,3,1,MIDDLE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U335,SDN327,liver,L_Adams,4,0.37,GLUSKIE,1,0.2,KYNOCK,1,0.19,DUST,1,0.08,PORTER_CR,1,0.06,PBS,provisional,NA
U336,SDN328,liver,Stellako,3,0.99,L_ADAMS,4,0,MIDDLE,3,0,FELIX,1,0,DUST,1,0,PBS,provisional,NA
U337,SDN329,liver,Quesnel_Horsef,3,0.67,U_HORSEFLY,3,0.2,MCKINLEY,3,0.11,HORSEFLY,3,0.01,M_HORSEFLY,3,0.01,PBS,provisional,NA
U339,SDN331,liver,Chilko,3,1,QUESNEL_HORSEF,3,0,THOMPSON_N,2,0,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U340,SDN332,liver,Chilko,3,0.98,QUESNEL_HORSEF,3,0.01,U_HORSEFLY,3,0.01,MIDDLE,3,0,BLUE_LEAD_CK,3,0,PBS,provisional,NA
U341,SDN326,liver,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U342,SDN333,liver,Gates_Cr,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
