ufn,sample_id,tissue_type,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,quality_level,quality_log
U07,SDN17,liver,Kuzkwa_Cr,3,0.75,PINCHI_CR,3,0.2,TACHIE,3,0.04,WEAVER,4,0,CHILKO,3,0,PBS,provisional,NA
U10,SDN20,liver,Kuzkwa_Cr,3,0.36,PORTER_CR,1,0.34,WEAVER,4,0.12,PINCHI_CR,3,0.1,STELLAKO,3,0.04,PBS,provisional,NA
U16,SDN12,liver,Kuzkwa_Cr,3,0.41,PINCHI_CR,3,0.22,PORTAGE_CR,4,0.15,STELLAKO,3,0.14,TACHIE,3,0.04,PBS,provisional,NA
U17,SDN21,liver,Chilko_south,2,0.32,KUZKWA_CR,3,0.24,CHILKO,3,0.21,PINCHI_CR,3,0.1,TACHIE,3,0.04,PBS,provisional,NA
U20,SDN63,liver,Mitchell,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U21,SDN13,liver,L_Horsefly,3,0.68,CHILKO,3,0.24,MCKINLEY,3,0.05,U_HORSEFLY,3,0.03,TACHIE,3,0,PBS,provisional,NA
U25,SDN24,liver,Chilko,3,1,CHILKO_SOUTH,2,0,LITTLE,4,0,L_SHUSWAP,4,0,CHILKO-NORTH,3,0,PBS,provisional,NA
U31,SDN15,liver,Chilko,3,0.85,THOMPSON_N,2,0.06,EAGLE_L,4,0.04,PORTAGE_CR,4,0.02,SEYMOUR,2,0.01,PBS,provisional,NA
U35,SDN27,liver,Weaver,4,0.29,CHILKO_SOUTH,2,0.19,PINCHI_CR,3,0.12,KUZKWA_CR,3,0.11,THOMPSON_N,2,0.11,PBS,provisional,NA
U42,SDN30,liver,Mitchell,3,1,WASKO_CR,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U43,SDN31,liver,L_Horsefly,3,0.44,THOMPSON_N,2,0.44,PORTAGE_CR,4,0.07,LITTLE,4,0.02,CHILKO,3,0.01,PBS,provisional,NA
U69,SDN77,liver,Kuzkwa_Cr,3,0.48,STELLAKO,3,0.27,PINCHI_CR,3,0.22,TACHIE,3,0.03,NADINA,2,0,PBS,provisional,NA
U76,SDN79,liver,Chilko,3,0.5,L_ADAMS,4,0.25,U_HORSEFLY,3,0.13,MIDDLE,3,0.07,HORSEFLY,3,0.02,PBS,provisional,NA
U81,SDN84,liver,Kuzkwa_Cr,3,0.51,PINCHI_CR,3,0.18,STELLAKO,3,0.12,PORTAGE_CR,4,0.05,TACHIE,3,0.03,PBS,provisional,NA
U85,SDN90,liver,Kuzkwa_Cr,3,0.64,PINCHI_CR,3,0.2,STELLAKO,3,0.09,TACHIE,3,0.04,PORTER_CR,1,0.03,PBS,provisional,NA
U97,SDN95,liver,Chilko,3,0.93,CHILKO_SOUTH,2,0.06,THOMPSON_N,2,0,CHILKO-NORTH,3,0,MITCHELL,3,0,PBS,provisional,NA
U98,SDN96,liver,Chilko,3,0.87,THOMPSON_N,2,0.13,CHILKO_SOUTH,2,0,CHILKO-NORTH,3,0,RAFT,2,0,PBS,provisional,NA
U99,SDN123,liver,Chilko,3,0.99,U_HORSEFLY,3,0,NARROWS,1,0,SINTA,1,0,BLACKWATER,1,0,PBS,provisional,NA
U100,SDN120,liver,Mitchell,3,0.88,QUESNEL_MITCHE,3,0.05,QUESNEL_HORSEF,3,0.04,QUESNEL_DECEPT,3,0.02,BLUE_LEAD_CK,3,0.01,PBS,provisional,NA
U127,SDN204,liver,Chilko,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U128,SDN221,liver,Weaver,4,0.7,THOMPSON_N,2,0.29,CHILKO,3,0.01,EAGLE_L,4,0,CHILKO-NORTH,3,0,PBS,provisional,NA
U129,SDN247,liver,L_Adams,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,provisional,NA
U130,SDN275,liver,Chilko,3,0.91,CHILKO-NORTH,3,0.05,L_ADAMS,4,0.04,BOWRON,2,0,RAFT,2,0,PBS,provisional,NA
U133,SDN146,liver,Birkenhead,3,0.49,WEAVER,4,0.29,LAKEWASHINGTON,5,0.14,CHILKO,3,0.03,L_ADAMS,4,0.01,PBS,provisional,NA
U134,SDN147,liver,Porter_Cr,1,0.84,FORFAR,1,0.06,NARROWS,1,0.04,BIVOUAC,1,0.03,FIVEMILE,1,0.01,PBS,provisional,NA
U135,SDN148,liver,Kuzkwa_Cr,3,0.72,PINCHI_CR,3,0.12,CHILKO,3,0.06,TACHIE,3,0.04,WEAVER,4,0.03,PBS,provisional,NA
