ufn,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U365,S365FA1,NA,NA,Raw,
U366,S366FA1,NA,NA,Raw,
U367,S367FA1,NA,NA,Raw,
U368,S368FA1,NA,NA,Raw,
U369,S369FA1,NA,NA,Raw,
U370,S370FA1,NA,NA,Raw,
U371,S371FA1,NA,NA,Raw,
U372,S372FA1,NA,NA,Raw,
U373,S373FA1,NA,NA,Raw,
U374,S374FA1,NA,NA,Raw,
U375,S375FA1,NA,NA,Raw,
U376,S376FA1,NA,NA,Raw,
U377,S377FA1,NA,NA,Raw,
U378,S378FA1,NA,NA,Raw,
U379,S379FA1,NA,NA,Raw,
U380,S380FA1,NA,NA,Raw,
U381,S381FA1,NA,NA,Raw,
U382,S382FA1,NA,NA,Raw,
U383,S383FA1,NA,NA,Raw,
U384,S384FA1,NA,NA,Raw,
U385,S385FA1,NA,NA,Raw,
U386,S386FA1,NA,NA,Raw,
U387,S387FA1,NA,NA,Raw,
U388,S388FA1,NA,NA,Raw,
U389,S389FA1,NA,NA,Raw,
U390,S390FA1,NA,NA,Raw,
U391,S391FA1,NA,NA,Raw,
U392,S392FA1,NA,NA,Raw,
U393,S393FA1,NA,NA,Raw,
U394,S394FA1,NA,NA,Raw,
U395,S395FA1,NA,NA,Raw,
U396,S396FA1,NA,NA,Raw,
U397,S397FA1,NA,NA,Raw,
U398,S398FA1,NA,NA,Raw,
U399,S399FA1,NA,NA,Raw,
U400,S400FA1,NA,NA,Raw,
U401,S401FA1,NA,NA,Raw,
U402,S402FA1,NA,NA,Raw,
U403,S403FA1,NA,NA,Raw,
U404,S404FA1,NA,NA,Raw,
U405,S405FA1,NA,NA,Raw,
U406,S406FA1,NA,NA,Raw,
U407,S407FA1,NA,NA,Raw,
U408,S408FA1,NA,NA,Raw,
U409,S409FA1,NA,NA,Raw,
U410,S410FA1,NA,NA,Raw,
U411,S411FA1,NA,NA,Raw,
U412,S412FA1,NA,NA,Raw,
U413,S413FA1,NA,NA,Raw,
U414,S414FA1,NA,NA,Raw,
U415,S415FA1,NA,NA,Raw,
U416,S416FA1,NA,NA,Raw,
U417,S417FA1,NA,NA,Raw,
U418,S418FA1,NA,NA,Raw,
U419,S419FA1,NA,NA,Raw,
U420,S420FA1,NA,NA,Raw,
U421,S421FA1,NA,NA,Raw,
U422,S422FA1,NA,NA,Raw,
U423,S423FA1,NA,NA,Raw,
U424,S424FA1,NA,NA,Raw,
U425,S425FA1,NA,NA,Raw,
U426,S426FA1,NA,NA,Raw,
U427,S427FA1,NA,NA,Raw,
U428,S428FA1,NA,NA,Raw,
U429,S429FA1,NA,NA,Raw,
U430,S430FA1,NA,NA,Raw,
U431,S431FA1,NA,NA,Raw,
U432,S432FA1,NA,NA,Raw,
U433,S433FA1,NA,NA,Raw,
U434,S434FA1,NA,NA,Raw,
U435,S435FA1,NA,NA,Raw,
U436,S436FA1,NA,NA,Raw,
U437,S437FA1,NA,NA,Raw,
U438,S438FA1,NA,NA,Raw,
U439,S439FA1,NA,NA,Raw,
U440,S440FA1,NA,NA,Raw,
U441,S441FA1,NA,NA,Raw,
U442,S442FA1,NA,NA,Raw,
U443,S443FA1,NA,NA,Raw,
U444,S444FA1,NA,NA,Raw,
U445,S445FA1,NA,NA,Raw,
U446,S446FA1,NA,NA,Raw,
U447,S447FA1,NA,NA,Raw,
U448,S448FA1,NA,NA,Raw,
U449,S449FA1,NA,NA,Raw,
U450,S450FA1,NA,NA,Raw,
U451,S451FA1,NA,NA,Raw,
U452,S452FA1,NA,NA,Raw,
U453,S453FA1,NA,NA,Raw,
U454,S454FA1,NA,NA,Raw,
U455,S455FA1,NA,NA,Raw,
U456,S456FA1,NA,NA,Raw,
U457,S457FA1,NA,NA,Raw,
U458,S458FA1,NA,NA,Raw,
U459,S459FA1,NA,NA,Raw,
U460,S460FA1,NA,NA,Raw,
U461,S461FA1,NA,NA,Raw,
U462,S462FA1,NA,NA,Raw,
U463,S463FA1,NA,NA,Raw,
U464,S464FA1,NA,NA,Raw,
U465,S465FA1,NA,NA,Raw,
U466,S466FA1,NA,NA,Raw,
U467,S467FA1,NA,NA,Raw,
U468,S468FA1,NA,NA,Raw,
U469,S469FA1,NA,NA,Raw,
U470,S470FA1,NA,NA,Raw,
U471,S471FA1,NA,NA,Raw,
U472,S472FA1,NA,NA,Raw,
U473,S473FA1,NA,NA,Raw,
U474,S474FA1,NA,NA,Raw,
U475,S475FA1,NA,NA,Raw,
U476,S476FA1,NA,NA,Raw,
U477,S477FA1,NA,NA,Raw,
U478,S478FA1,NA,NA,Raw,
U479,S479FA1,NA,NA,Raw,
U480,S480FA1,NA,NA,Raw,
U481,S481FA1,NA,NA,Raw,
U482,S482FA1,NA,NA,Raw,
U483,S483FA1,NA,NA,Raw,
U484,S484FA1,NA,NA,Raw,
U485,S485FA1,NA,NA,Raw,
U486,S486FA1,NA,NA,Raw,
U487,S487FA1,NA,NA,Raw,
U489,S489FA1,NA,NA,Raw,
U490,S490FA1,NA,NA,Raw,
U491,S491FA1,NA,NA,Raw,
U492,S492FA1,NA,NA,Raw,
U493,S493FA1,NA,NA,Raw,
U494,S494FA1,NA,NA,Raw,
U495,S495FA1,NA,NA,Raw,
U496,S496FA1,NA,NA,Raw,
U497,S497FA1,NA,NA,Raw,
U498,S498FA1,NA,NA,Raw,
U499,S499FA1,NA,NA,Raw,
U500,S500FA1,NA,NA,Raw,
U501,S501FA1,NA,NA,Raw,
U502,S502FA1,NA,NA,Raw,
U503,S503FA1,NA,NA,Raw,
U504,S504FA1,NA,NA,Raw,
U505,S505FA1,NA,NA,Raw,
U506,S506FA1,NA,NA,Raw,
U507,S507FA1,NA,NA,Raw,
U508,S508FA1,NA,NA,Raw,
U509,S509FA1,NA,NA,Raw,
U510,S510FA1,NA,NA,Raw,
U511,S511FA1,NA,NA,Raw,
U512,S512FA1,NA,NA,Raw,
U513,S513FA1,NA,NA,Raw,
U514,S514FA1,NA,NA,Raw,
U515,S515FA1,NA,NA,Raw,
U516,S516FA1,NA,NA,Raw,
U517,S517FA1,NA,NA,Raw,
U518,S518FA1,NA,NA,Raw,
U519,S519FA1,NA,NA,Raw,
U520,S520FA1,NA,NA,Raw,
U521,S521FA1,NA,NA,Raw,
U522,S522FA1,NA,NA,Raw,
U523,S523FA1,NA,NA,Raw,
U524,S524FA1,NA,NA,Raw,
U525,S525FA1,NA,NA,Raw,
U526,S526FA1,NA,NA,Raw,
U527,S527FA1,NA,NA,Raw,
U528,S528FA1,NA,NA,Raw,
U529,S529FA1,NA,NA,Raw,
U530,S530FA1,NA,NA,Raw,
U531,S531FA1,NA,NA,Raw,
U532,S532FA1,NA,NA,Raw,
U533,S533FA1,NA,NA,Raw,
U534,S534FA1,NA,NA,Raw,
U535,S535FA1,NA,NA,Raw,
U536,S536FA1,NA,NA,Raw,
U537,S537FA1,NA,NA,Raw,
U538,S538FA1,NA,NA,Raw,
U539,S539FA1,NA,NA,Raw,
U540,S540FA1,NA,NA,Raw,
U541,S541FA1,NA,NA,Raw,
U542,S542FA1,NA,NA,Raw,
U543,S543FA1,NA,NA,Raw,
U544,S544FA1,NA,NA,Raw,
U545,S545FA1,NA,NA,Raw,
U546,S546FA1,NA,NA,Raw,
U547,S547FA1,NA,NA,Raw,
U548,S548FA1,NA,NA,Raw,
U549,S549FA1,NA,NA,Raw,
U550,S550FA1,NA,NA,Raw,
U551,S551FA1,NA,NA,Raw,
U552,S552FA1,NA,NA,Raw,
U553,S553FA1,NA,NA,Raw,
U554,S554FA1,NA,NA,Raw,
U555,S555FA1,NA,NA,Raw,
U556,S556FA1,NA,NA,Raw,
U557,S557FA1,NA,NA,Raw,
U558,S558FA1,NA,NA,Raw,
U559,S559FA1,NA,NA,Raw,
U560,S560FA1,NA,NA,Raw,
U561,S561FA1,NA,NA,Raw,
U562,S562FA1,NA,NA,Raw,
U563,S563FA1,NA,NA,Raw,
U564,S564FA1,NA,NA,Raw,
U565,S565FA1,NA,NA,Raw,
U566,S566FA1,NA,NA,Raw,
U567,S567FA1,NA,NA,Raw,
U568,S568FA1,NA,NA,Raw,
U570,S570FA1,NA,NA,Raw,
U571,S571FA1,NA,NA,Raw,
U572,S572FA1,NA,NA,Raw,
U573,S573FA1,NA,NA,Raw,
U574,S574FA1,NA,NA,Raw,
U575,S575FA1,NA,NA,Raw,
U576,S576FA1,NA,NA,Raw,
U577,S577FA1,NA,NA,Raw,
U578,S578FA1,NA,NA,Raw,
U579,S579FA1,NA,NA,Raw,
U580,S580FA1,NA,NA,Raw,
U581,S581FA1,NA,NA,Raw,
U582,S582FA1,NA,NA,Raw,
U583,S583FA1,NA,NA,Raw,
U584,S584FA1,NA,NA,Raw,
U586,S586FA1,NA,NA,Raw,
U587,S587FA1,NA,NA,Raw,
U588,S588FA1,NA,NA,Raw,
U589,S589FA1,NA,NA,Raw,
U590,S590FA1,NA,NA,Raw,
U591,S591FA1,NA,NA,Raw,
U592,S592FA1,NA,NA,Raw,
U593,S593FA1,NA,NA,Raw,
U594,S594FA1,NA,NA,Raw,
U595,S595FA1,NA,NA,Raw,
U596,S596FA1,NA,NA,Raw,
U597,S597FA1,NA,NA,Raw,
U598,S598FA1,NA,NA,Raw,
U599,S599FA1,NA,NA,Raw,
U600,S600FA1,NA,NA,Raw,
U601,S601FA1,Fish fell on floor,NA,Raw,
U602,S602FA1,NA,NA,Raw,
U603,S603FA1,NA,NA,Raw,
U604,S604FA1,NA,NA,Raw,
U605,S605FA1,NA,NA,Raw,
U606,S606FA1,NA,NA,Raw,
U607,S607FA1,NA,NA,Raw,
U608,S608FA1,NA,NA,Raw,
U609,S609FA1,NA,NA,Raw,
U610,S610FA1,NA,NA,Raw,
U611,S611FA1,NA,NA,Raw,
U613,S613FA1,NA,NA,Raw,
U614,S614FA1,NA,NA,Raw,
U615,S615FA1,NA,NA,Raw,
U616,S616FA1,NA,NA,Raw,
U617,S617FA1,NA,NA,Raw,
U618,S618FA1,NA,NA,Raw,
U619,S619FA1,NA,NA,Raw,
U620,S620FA1,NA,NA,Raw,
U621,S621FA1,NA,NA,Raw,
U622,S622FA1,NA,NA,Raw,
U623,S623FA1,NA,NA,Raw,
U624,S624FA1,NA,NA,Raw,
U625,S625FA1,NA,NA,Raw,
U626,S626FA1,NA,NA,Raw,
U627,S627FA1,NA,NA,Raw,
