sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,stock_id_quality_flag,stock_id_quality_level,stock_id_quality_log
DS00977,EAGLE_L,4,0.43,L_SHUSWAP,4,0.42,MIDDLESHUSWAP,4,0.14,SEYMOUR,2,0.01,CHILKO,3,0,PBS,AV,level1,NA
DS00974,SINTA,1,0.49,CHILKO,3,0.29,CHILKO-NORTH,3,0.1,DUST,1,0.02,SEYMOUR,2,0.02,PBS,AV,level1,NA
DS00248,L_ADAMS,4,0.92,L_SHUSWAP,4,0.03,SCOTCH,2,0.02,EAGLE_L,4,0.02,MCKINLEY,3,0.01,PBS,AV,level1,NA
DS00251,SCOTCH,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS00258,SCOTCH,2,0.98,L_ADAMS,4,0.02,EAGLE_L,4,0,L_SHUSWAP,4,0,SEYMOUR,2,0,PBS,AV,level1,NA
DS00261,MCKINLEY,3,0.92,QUESNEL_HORSEF,3,0.06,L_ADAMS,4,0.01,CHILKO-NORTH,3,0,M_HORSEFLY,3,0,PBS,AV,level1,NA
DS00461,L_SHUSWAP,4,0.85,L_ADAMS,4,0.13,MIDDLESHUSWAP,4,0.02,LITTLE,4,0.01,SEYMOUR,2,0,PBS,AV,level1,NA
DS00468,L_SHUSWAP,4,1,MIDDLESHUSWAP,4,0,L_ADAMS,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
DS00480,SEYMOUR,2,0.96,L_ADAMS,4,0.02,L_SHUSWAP,4,0.01,LITTLE,4,0.01,SCOTCH,2,0.01,PBS,AV,level1,NA
DS00457,L_SHUSWAP,4,0.94,MIDDLESHUSWAP,4,0.05,L_ADAMS,4,0.01,LITTLE,4,0,NA,NA,NA,PBS,AV,level1,NA
