ufn,survey_date,site_id,species,motile_lep,motile_caligus,all_lice
U344,2015-05-12T00:00:00Z,D01,SO,0,0,0
U338,2015-05-12T00:00:00Z,D01,SO,0,0,0
U340,2015-05-12T00:00:00Z,D01,SO,0,0,0
U352,2015-05-12T00:00:00Z,D01,SO,0,0,0
U337,2015-05-12T00:00:00Z,D01,SO,0,0,0
U339,2015-05-12T00:00:00Z,D01,SO,0,0,0
U354,2015-05-12T00:00:00Z,D01,SO,0,0,0
U345,2015-05-12T00:00:00Z,D01,SO,0,0,0
U346,2015-05-12T00:00:00Z,D01,SO,0,0,0
U353,2015-05-12T00:00:00Z,D01,SO,0,0,0
U418,2015-05-13T00:00:00Z,D02,SO,0,0,0
U425,2015-05-13T00:00:00Z,D02,SO,0,0,0
U419,2015-05-13T00:00:00Z,D02,SO,0,0,0
U322,2015-05-13T00:00:00Z,D02,SO,0,0,0
U420,2015-05-13T00:00:00Z,D02,SO,0,0,0
U426,2015-05-13T00:00:00Z,D02,SO,0,0,0
U324,2015-05-13T00:00:00Z,D02,SO,0,0,0
U431,2015-05-13T00:00:00Z,D02,SO,0,0,0
U323,2015-05-13T00:00:00Z,D02,SO,0,0,0
U417,2015-05-13T00:00:00Z,D02,SO,0,0,0
U386,2015-05-14T00:00:00Z,D04,SO,0,1,1
U385,2015-05-14T00:00:00Z,D04,SO,0,1,1
U392,2015-05-14T00:00:00Z,D04,SO,0,0,0
U395,2015-05-14T00:00:00Z,D04,SO,0,0,0
U388,2015-05-14T00:00:00Z,D04,SO,0,0,0
U384,2015-05-14T00:00:00Z,D04,SO,0,0,0
U389,2015-05-14T00:00:00Z,D04,SO,0,0,0
U387,2015-05-14T00:00:00Z,D04,SO,0,0,0
U393,2015-05-14T00:00:00Z,D04,SO,0,0,0
U391,2015-05-14T00:00:00Z,D04,SO,0,0,0
U99,2015-05-15T00:00:00Z,D05,SO,0,0,0
U214,2015-05-15T00:00:00Z,D05,SO,0,0,0
U231,2015-05-15T00:00:00Z,D05,SO,0,0,0
U232,2015-05-15T00:00:00Z,D05,SO,0,0,0
U208,2015-05-15T00:00:00Z,D05,SO,0,0,0
U213,2015-05-15T00:00:00Z,D05,SO,0,0,0
U209,2015-05-15T00:00:00Z,D05,SO,0,0,0
U207,2015-05-15T00:00:00Z,D05,SO,0,0,0
U215,2015-05-15T00:00:00Z,D05,SO,0,0,0
U127,2015-05-15T00:00:00Z,D05,SO,0,0,0
U200,2015-05-15T00:00:00Z,D05,SO,0,0,0
U364,2015-05-15T00:00:00Z,D02,SO,0,0,0
U373,2015-05-15T00:00:00Z,D02,SO,0,0,0
U359,2015-05-15T00:00:00Z,D02,SO,0,0,0
U371,2015-05-15T00:00:00Z,D02,SO,0,0,0
U358,2015-05-15T00:00:00Z,D02,SO,0,0,0
U366,2015-05-15T00:00:00Z,D02,SO,0,0,0
U372,2015-05-15T00:00:00Z,D02,SO,0,0,0
U360,2015-05-15T00:00:00Z,D02,SO,0,0,0
U374,2015-05-15T00:00:00Z,D02,SO,0,0,0
U365,2015-05-15T00:00:00Z,D02,SO,0,0,0
U367,2015-05-15T00:00:00Z,D02,SO,0,0,0
U268,2015-05-15T00:00:00Z,D03,SO,0,1,1
U269,2015-05-15T00:00:00Z,D03,SO,0,0,0
U291,2015-05-15T00:00:00Z,D03,SO,0,1,1
U278,2015-05-15T00:00:00Z,D03,SO,0,0,0
U270,2015-05-15T00:00:00Z,D03,SO,0,0,0
U280,2015-05-15T00:00:00Z,D03,SO,0,2,2
U279,2015-05-15T00:00:00Z,D03,SO,0,0,0
U290,2015-05-15T00:00:00Z,D03,SO,0,0,0
U1060,2015-05-15T00:00:00Z,D03,SO,0,0,0
U1082,2015-05-15T00:00:00Z,D03,SO,0,0,0
U5040,2015-05-16T00:00:00Z,D06,CO,0,0,0
U5036,2015-05-16T00:00:00Z,D06,CO,0,0,0
U5037,2015-05-16T00:00:00Z,D06,CO,0,0,0
U5041,2015-05-16T00:00:00Z,D06,CO,0,0,0
U4131,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4129,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4099,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4126,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4130,2015-05-16T00:00:00Z,D06,CU,0,2,2
U4133,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4128,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4132,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4127,2015-05-16T00:00:00Z,D06,CU,0,0,0
U4100,2015-05-16T00:00:00Z,D06,CU,0,0,0
U306,2015-05-16T00:00:00Z,D06,SO,0,0,0
U316,2015-05-16T00:00:00Z,D06,SO,0,0,0
U321,2015-05-16T00:00:00Z,D06,SO,0,0,0
U297,2015-05-16T00:00:00Z,D06,SO,0,1,1
U298,2015-05-16T00:00:00Z,D06,SO,0,0,0
U315,2015-05-16T00:00:00Z,D06,SO,0,0,0
U296,2015-05-16T00:00:00Z,D06,SO,0,0,0
U305,2015-05-16T00:00:00Z,D06,SO,0,0,0
U304,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4719,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4874,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4876,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4837,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4838,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4835,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4836,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4834,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4875,2015-05-16T00:00:00Z,D06,SO,0,0,0
U4718,2015-05-16T00:00:00Z,D06,SO,0,0,0
U3065,2015-05-16T00:00:00Z,D07,CO,0,0,0
U2912,2015-05-16T00:00:00Z,D07,CU,0,0,0
U2828,2015-05-16T00:00:00Z,D07,CU,0,1,1
U2827,2015-05-16T00:00:00Z,D07,CU,0,1,1
U2830,2015-05-16T00:00:00Z,D07,CU,0,0,0
U2635,2015-05-16T00:00:00Z,D07,CU,0,1,1
U2935,2015-05-16T00:00:00Z,D07,HE,0,1,1
U2940,2015-05-16T00:00:00Z,D07,HE,0,0,0
U3281,2015-05-16T00:00:00Z,D07,HE,0,1,1
U2936,2015-05-16T00:00:00Z,D07,HE,0,0,0
U3285,2015-05-16T00:00:00Z,D07,HE,0,1,1
U1396,2015-05-16T00:00:00Z,D07,PI,0,0,0
U312,2015-05-16T00:00:00Z,D07,SO,1,0,1
U292,2015-05-16T00:00:00Z,D07,SO,0,1,1
U302,2015-05-16T00:00:00Z,D07,SO,0,0,0
U295,2015-05-16T00:00:00Z,D07,SO,0,1,1
U294,2015-05-16T00:00:00Z,D07,SO,0,0,0
U293,2015-05-16T00:00:00Z,D07,SO,0,2,2
U301,2015-05-16T00:00:00Z,D07,SO,0,0,0
U303,2015-05-16T00:00:00Z,D07,SO,0,2,2
U311,2015-05-16T00:00:00Z,D07,SO,0,0,0
U313,2015-05-16T00:00:00Z,D07,SO,0,0,0
U522,2015-05-17T00:00:00Z,D02,SO,0,1,1
U510,2015-05-17T00:00:00Z,D02,SO,0,2,2
U520,2015-05-17T00:00:00Z,D02,SO,0,0,0
U460,2015-05-17T00:00:00Z,D02,SO,0,0,0
U531,2015-05-17T00:00:00Z,D02,SO,0,0,0
U541,2015-05-17T00:00:00Z,D02,SO,0,0,0
U521,2015-05-17T00:00:00Z,D02,SO,0,0,0
U542,2015-05-17T00:00:00Z,D02,SO,0,0,0
U507,2015-05-18T00:00:00Z,D03,SO,0,1,1
U519,2015-05-18T00:00:00Z,D03,SO,0,0,0
U518,2015-05-18T00:00:00Z,D03,SO,0,0,0
U508,2015-05-18T00:00:00Z,D03,SO,0,0,0
U459,2015-05-18T00:00:00Z,D03,SO,0,0,0
U458,2015-05-18T00:00:00Z,D03,SO,0,1,1
U517,2015-05-18T00:00:00Z,D03,SO,0,1,1
U457,2015-05-18T00:00:00Z,D03,SO,0,0,0
U516,2015-05-18T00:00:00Z,D03,SO,0,0,0
U509,2015-05-18T00:00:00Z,D03,SO,0,2,2
U368,2015-05-18T00:00:00Z,D05,SO,0,3,3
U369,2015-05-18T00:00:00Z,D05,SO,0,0,0
U383,2015-05-18T00:00:00Z,D05,SO,0,0,0
U370,2015-05-18T00:00:00Z,D05,SO,0,2,2
U382,2015-05-18T00:00:00Z,D05,SO,0,0,0
U381,2015-05-18T00:00:00Z,D05,SO,0,0,0
U5039,2015-05-19T00:00:00Z,D08,CO,0,0,0
U5038,2015-05-19T00:00:00Z,D08,CO,0,0,0
U4976,2015-05-19T00:00:00Z,D08,CU,0,0,0
U4973,2015-05-19T00:00:00Z,D08,CU,0,0,0
U4975,2015-05-19T00:00:00Z,D08,CU,0,1,1
U4978,2015-05-19T00:00:00Z,D08,CU,1,0,1
U4171,2015-05-19T00:00:00Z,D08,CU,0,0,0
U4977,2015-05-19T00:00:00Z,D08,CU,0,0,0
U4172,2015-05-19T00:00:00Z,D08,CU,0,0,0
U4972,2015-05-19T00:00:00Z,D08,CU,0,0,0
U4974,2015-05-19T00:00:00Z,D08,CU,0,0,0
U5026,2015-05-19T00:00:00Z,D08,HE,0,0,0
U5025,2015-05-19T00:00:00Z,D08,HE,0,0,0
U5027,2015-05-19T00:00:00Z,D08,HE,0,0,0
U5028,2015-05-19T00:00:00Z,D08,HE,0,1,1
U5029,2015-05-19T00:00:00Z,D08,HE,0,1,1
U230,2015-05-19T00:00:00Z,D08,SO,0,1,1
U273,2015-05-19T00:00:00Z,D08,SO,0,0,0
U286,2015-05-19T00:00:00Z,D08,SO,0,0,0
U285,2015-05-19T00:00:00Z,D08,SO,0,0,0
U272,2015-05-19T00:00:00Z,D08,SO,0,0,0
U274,2015-05-19T00:00:00Z,D08,SO,0,1,1
U281,2015-05-19T00:00:00Z,D08,SO,0,0,0
U284,2015-05-19T00:00:00Z,D08,SO,0,0,0
U4751,2015-05-19T00:00:00Z,D08,SO,0,1,1
U4705,2015-05-19T00:00:00Z,D08,SO,0,0,0
U4831,2015-05-19T00:00:00Z,D08,SO,0,2,2
