hkg_Alert,Unique,ufn,Alternate,Prog,Species,Trip,Location,SWFW,Gear,Year,Date,SEASON1,Stock,Histology,SmAd,HW,HatcheryWild,Set,STATION,STATION_NAME,Length,Mass,Sex,Comments,Comments2,Dissection Comments,catch_R,Catch_Sub_region,Catch_Region,Latitude,Longitude,Unique1,Tissue,LOD,Value,ae_sal,Arena1,arena2,ascv,c_b_cys,ce_sha,cov,cr_sal,ctv,de_sal,fa_mar,fl_psy,hkg,ic_hof,ic_mul,ihnv,ku_thy,lo_sal,mitov,my_arc,my_ins,na_sal,ne_per,ortho,pa_kab,pa_min,pa_pse,pa_ther,pch_sal,pisck_sal,prv,pspv,re_sal,reov,rlo,sch,SGPV,smallUK,sp_des,te_bry,te_mar,toti,ven,ver,vhsv,vi_ang,vi_sal,ye_ruc_glnA
OK,2015-0047-108-2513,U2513,2015-06-07-D07-PI-6,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-07,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-67,D07,Hoskyn Channel,NA,NA,NA,At Hakai Quadra,NA,NA,P013,DI,VIN,50.190769,-125.143142,2015-0047-108-2513,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,140.0651684,0,0,0,0,0,0,0,0,0,0,27951.58706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2514,U2514,2015-06-22-D09-PI-4,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-22,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-109,D09,Okisollo Channel,NA,NA,NA,At Hakai Quadra,NA,NA,P013,DI,VIN,50.307276,-125.329834,2015-0047-108-2514,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,9527.47703,491.980095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2515,U2515,2015-06-22-D09-PI-2,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-22,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-109,D09,Okisollo Channel,NA,NA,NA,At Hakai Quadra,NA,NA,P013,DI,VIN,50.307276,-125.329834,2015-0047-108-2515,Mixed,NO,AvgCopy,0,0,0,0,14774.44525,0,0,0,0,0,0,0,NA,0,0,0,26.38583241,0,0,0,0,0,0,0,0,0,0,3352.40114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2516,U2516,2015-06-22-D09-PI-1,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-22,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-109,D09,Okisollo Channel,NA,NA,NA,At Hakai Quadra,NA,NA,P013,DI,VIN,50.307276,-125.329834,2015-0047-108-2516,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1213.789332,0,1701.361476,1336.690075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2517,U2517,2015-06-09-D07-PI-1,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-09,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-77,D07,Hoskyn Channel,NA,NA,NA,At Hakai Quadra,NA,NA,P013,DI,VIN,50.190769,-125.143142,2015-0047-108-2517,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.015823623,46535.49422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2518,U2518,2015-06-23-J09-PI-9,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-23,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-111,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2518,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,-999,0,0,0,0,0,0,0,0,0,0,6523.039118,0,1427.435566,965.1417032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2519,U2519,2015-06-23-J09-PI-1,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-23,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-111,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2519,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1734.361716,47.87685309,586.2319465,2346.796706,0,0,0,0,0,0,0,106.5989002,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2520,U2520,2015-06-23-J09-PI-3,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-23,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-111,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2520,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,10.14772568,0,0,0,0,0,0,0,0,0,0,135.5795426,0,5409.833277,2292.437378,0,0,0,0,0,0,0,8.601242154,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2521,U2521,2015-06-16-J09-PI-4,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-16,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-92,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2521,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,416.7432725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2522,U2522,2015-06-16-J09-PI-9,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-16,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-92,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2522,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,33.00160287,0,0,0,0,0,0,0,0,0,0,879.7331655,0,35782.10757,4927.434626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2523,U2523,2015-06-19-J09-PI-10,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-19,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-101,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2523,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3090.037888,433.0978873,0,0,0,0,0,0,0,113.3468465,0,0,0,0,0,0,0,0,0,0,0,0
OK,2015-0047-108-2524,U2524,2015-06-19-J09-PI-2,Hakai,Pink,2015 Hakai Collections,NA,SW,NA,2015,2015-06-19,Summer,NA,NA,Smolt,NA,Wild,2015-0047-S-101,J09,Blinkhorn Peninsula,NA,NA,NA,At Hakai Quadra,NA,NA,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2524,Mixed,NO,AvgCopy,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,7659.95747,0,692.5505967,5680.711525,0,0,0,0,0,0,0,54.64259516,0,0,0,0,0,0,0,0,0,0,0,0
