sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S01OT1,otolith,U01,1 otolith collected,NA,AV,NA
S11OT1,otolith,U11,NA,NA,AV,NA
S12OT1,otolith,U12,1 broken otolith,NA,AV,NA
S02OT1,otolith,U02,NA,NA,AV,NA
S13OT1,otolith,U13,NA,NA,AV,NA
S03OT1,otolith,U03,NA,NA,AV,NA
S14OT1,otolith,U14,NA,NA,AV,NA
S15OT1,otolith,U15,NA,NA,AV,NA
S04OT1,otolith,U04,One otolith smaller than the other (broken?),NA,AV,NA
S05OT1,otolith,U05,NA,NA,AV,NA
S16OT1,otolith,U16,NA,UBC_Hunt,AV,NA
S21OT1,otolith,U21,NA,UBC_Hunt,AV,NA
S22OT1,otolith,U22,NA,NA,AV,NA
S31OT1,otolith,U31,NA,UBC_Hunt,AV,NA
S32OT1,otolith,U32,NA,NA,AV,NA
S07OT1,otolith,U07,NA,UBC_Hunt,AV,NA
S08OT1,otolith,U08,NA,NA,AV,NA
S09OT1,otolith,U09,NA,NA,AV,NA
S10OT1,otolith,U10,NA,UBC_Hunt,AV,NA
S17OT1,otolith,U17,NA,UBC_Hunt,AV,NA
S23OT1,otolith,U23,NA,NA,AV,NA
S24OT1,otolith,U24,NA,NA,AV,NA
S25OT1,otolith,U25,1 otolith,UBC_Hunt,AV,NA
S33OT1,otolith,U33,NA,NA,AV,NA
S34OT1,otolith,U34,NA,NA,AV,NA
S35OT1,otolith,U35,NA,UBC_Hunt,AV,NA
S36OT1,otolith,U36,NA,NA,AV,NA
S41OT1,otolith,U41,NA,NA,AV,NA
S42OT1,otolith,U42,NA,UBC_Hunt,AV,NA
S43OT1,otolith,U43,NA,UBC_Hunt,AV,NA
S18OT1,otolith,U18,NA,NA,AV,NA
S26OT1,otolith,U26,NA,UBC_Hunt,AV,NA
S27OT1,otolith,U27,NA,UBC_Hunt,AV,NA
S37OT1,otolith,U37,NA,UBC_Hunt,AV,NA
S38OT1,otolith,U38,NA,UBC_Hunt,AV,NA
S45OT1,otolith,U45,NA,UBC_Hunt,AV,NA
S46OT1,otolith,U46,NA,UBC_Hunt,AV,NA
S19OT1,otolith,U19,NA,UBC_Hunt,AV,NA
S28OT1,otolith,U28,NA,UBC_Hunt,AV,NA
S29OT1,otolith,U29,NA,UBC_Hunt,AV,NA
S30OT1,otolith,U30,1 otolith,UBC_Hunt,AV,NA
S40OT1,otolith,U40,NA,UBC_Hunt,AV,NA
S47OT1,otolith,U47,NA,UBC_Hunt,AV,NA
S48OT1,otolith,U48,NA,UBC_Hunt,AV,NA
S49OT1,otolith,U49,NA,UBC_Hunt,AV,NA
S50OT1,otolith,U50,NA,UBC_Hunt,AV,NA
S51OT1,otolith,U51,NA,UBC_Hunt,AV,NA
S52OT1,otolith,U52,1 otolith,UBC_Hunt,AV,NA
S61OT1,otolith,U61,NA,UBC_Hunt,AV,NA
S62OT1,otolith,U62,NA,UBC_Hunt,AV,NA
S53OT1,otolith,U53,NA,UBC_Hunt,AV,NA
S54OT1,otolith,U54,NA,UBC_Hunt,AV,NA
S63OT1,otolith,U63,1 otolith,UBC_Hunt,AV,NA
S71OT1,otolith,U71,NA,UBC_Hunt,AV,NA
S72OT1,otolith,U72,NA,UBC_Hunt,AV,NA
S73OT1,otolith,U73,NA,UBC_Hunt,AV,NA
S101OT1,otolith,U101,NA,UBC_Hunt,AV,NA
S102OT1,otolith,U102,NA,UBC_Hunt,AV,NA
S103OT1,otolith,U103,NA,UBC_Hunt,AV,NA
S20OT1,otolith,U20,NA,UBC_Hunt,AV,NA
S55OT1,otolith,U55,1 otolith,UBC_Hunt,AV,NA
S56OT1,otolith,U56,NA,UBC_Hunt,AV,NA
S57OT1,otolith,U57,NA,UBC_Hunt,AV,NA
S58OT1,otolith,U58,NA,UBC_Hunt,AV,NA
S60OT1,otolith,U60,NA,UBC_Hunt,AV,NA
S64OT1,otolith,U64,NA,UBC_Hunt,AV,NA
S65OT1,otolith,U65,NA,UBC_Hunt,AV,NA
S66OT1,otolith,U66,NA,UBC_Hunt,AV,NA
S74OT1,otolith,U74,NA,UBC_Hunt,AV,NA
S75OT1,otolith,U75,NA,UBC_Hunt,AV,NA
S59OT1,otolith,U59,NA,UBC_Hunt,AV,NA
S68OT1,otolith,U68,NA,UBC_Hunt,AV,NA
S69OT1,otolith,U69,NA,UBC_Hunt,AV,NA
S70OT1,otolith,U70,NA,UBC_Hunt,AV,NA
S76OT1,otolith,U76,NA,UBC_Hunt,AV,NA
S77OT1,otolith,U77,NA,UBC_Hunt,AV,NA
S78OT1,otolith,U78,NA,UBC_Hunt,AV,NA
S79OT1,otolith,U79,NA,UBC_Hunt,AV,NA
S80OT1,otolith,U80,NA,UBC_Hunt,AV,NA
S81OT1,otolith,U81,NA,UBC_Hunt,AV,NA
S91OT1,otolith,U91,NA,UBC_Hunt,AV,NA
S92OT1,otolith,U92,NA,UBC_Hunt,AV,NA
S82OT1,otolith,U82,NA,UBC_Hunt,AV,NA
S83OT1,otolith,U83,NA,UBC_Hunt,AV,NA
S84OT1,otolith,U84,NA,UBC_Hunt,AV,NA
S85OT1,otolith,U85,NA,UBC_Hunt,AV,NA
S93OT1,otolith,U93,NA,UBC_Hunt,AV,NA
S94OT1,otolith,U94,NA,UBC_Hunt,AV,NA
S95OT1,otolith,U95,1 otolith,UBC_Hunt,AV,NA
S96OT1,otolith,U96,1 otolith,UBC_Hunt,AV,NA
S97OT1,otolith,U97,NA,UBC_Hunt,AV,NA
S98OT1,otolith,U98,NA,UBC_Hunt,AV,NA
S111OT1,otolith,U111,NA,UBC_Hunt,AV,NA
S112OT1,otolith,U112,NA,UBC_Hunt,AV,NA
S86OT1,otolith,U86,NA,UBC_Hunt,AV,NA
S87OT1,otolith,U87,NA,UBC_Hunt,AV,NA
S88OT1,otolith,U88,NA,UBC_Hunt,AV,NA
S89OT1,otolith,U89,NA,UBC_Hunt,AV,NA
S90OT1,otolith,U90,NA,UBC_Hunt,AV,NA
S104OT1,otolith,U104,NA,UBC_Hunt,AV,NA
S105OT1,otolith,U105,1 otolith,UBC_Hunt,AV,NA
S106OT1,otolith,U106,NA,UBC_Hunt,AV,NA
S107OT1,otolith,U107,NA,UBC_Hunt,AV,NA
S108OT1,otolith,U108,NA,UBC_Hunt,AV,NA
S113OT1,otolith,U113,NA,UBC_Hunt,AV,NA
S114OT1,otolith,U114,NA,UBC_Hunt,AV,NA
S115OT1,otolith,U115,NA,UBC_Hunt,AV,NA
S116OT1,otolith,U116,NA,UBC_Hunt,AV,NA
S121OT1,otolith,U121,NA,UBC_Hunt,AV,NA
S122OT1,otolith,U122,1 otolith,UBC_Hunt,AV,NA
S123OT1,otolith,U123,NA,UBC_Hunt,AV,NA
S109OT1,otolith,U109,NA,UBC_Hunt,AV,NA
S117OT1,otolith,U117,NA,UBC_Hunt,AV,NA
S118OT1,otolith,U118,NA,UBC_Hunt,AV,NA
S124OT1,otolith,U124,NA,UBC_Hunt,AV,NA
S100OT1,otolith,U100,NA,UBC_Hunt,AV,NA
S110OT1,otolith,U110,NA,NA,AV,NA
S119OT1,otolith,U119,NA,UBC_Hunt,AV,NA
S99OT1,otolith,U99,NA,UBC_Hunt,AV,NA
S120OT1,otolith,U120,NA,UBC_Hunt,AV,NA
S141OT1,otolith,U141,NA,UBC_Hunt,AV,NA
S142OT1,otolith,U142,NA,UBC_Hunt,AV,NA
S143OT1,otolith,U143,NA,UBC_Hunt,AV,NA
S144OT1,otolith,U144,NA,UBC_Hunt,AV,NA
