year,species,louse_species,life_stage,mean_abundance,sd,se,n_hosts
2015,Chum,Caligus clemensi,Motile,0.4545454545454543,0.7345675209368088,0.05371689717205169,187
2015,Chum,Lepeophtheirus salmonis,Motile,0.13903743315508016,0.4542808729128394,0.0332203075169561,187
2015,Pink,Caligus clemensi,Attached,0,0,0,5
2015,Pink,Caligus clemensi,Motile,0.7846153846153847,0.9098816491086167,0.11285692885477858,65
2015,Pink,Lepeophtheirus salmonis,Attached,0,0,0,5
2015,Pink,Lepeophtheirus salmonis,Motile,0.8307692307692306,1.329582062731917,0.16491435826552564,65
2015,Sockeye,Caligus clemensi,Attached,6.86233766233766,6.773436146405842,0.3452062708397831,385
2015,Sockeye,Caligus clemensi,Motile,0.6791208791208787,1.0122070450733596,0.04745299819372785,455
2015,Sockeye,Lepeophtheirus salmonis,Attached,0.3740259740259742,0.8752086949638134,0.0446047653310097,385
2015,Sockeye,Lepeophtheirus salmonis,Motile,0.01758241758241758,0.1315725010714444,0.006168213989495607,455
2016,Chum,Caligus clemensi,Motile,0.20863309352517997,0.488636377413374,0.04144559659609481,139
2016,Chum,Lepeophtheirus salmonis,Motile,0.08633093525179855,0.5033512961833018,0.042693699716274076,139
2016,Pink,Caligus clemensi,Motile,0.22222222222222215,0.5042045440317079,0.044918110871933974,126
2016,Pink,Lepeophtheirus salmonis,Motile,0.13492063492063494,0.44457934460655485,0.03960627592271985,126
2016,Sockeye,Caligus clemensi,Motile,0.2978723404255322,0.6525953658624698,0.02640118257112976,611
2016,Sockeye,Lepeophtheirus salmonis,Motile,0.016366612111293005,0.12698479242166028,0.005137254819532071,611
2017,Chum,Caligus clemensi,Attached,0.9849056603773586,1.864668209020318,0.2228704790337409,70
2017,Chum,Caligus clemensi,Motile,0.4277777777777781,0.8189825787572543,0.06104335728297653,180
2017,Chum,Lepeophtheirus salmonis,Attached,0.07223719676549867,0.2260267252645276,0.027015360851032837,70
2017,Chum,Lepeophtheirus salmonis,Motile,0.03333333333333331,0.256752385985987,0.019137192948331043,180
2017,Pink,Caligus clemensi,Motile,0.39999999999999997,0.6746646676632055,0.12317635241028796,30
2017,Pink,Lepeophtheirus salmonis,Motile,0.09999999999999998,0.40257789993644877,0.07350033231608352,30
2017,Sockeye,Caligus clemensi,Attached,3.0681958317918365,2.6717582180840878,0.21599884978966116,153
2017,Sockeye,Caligus clemensi,Motile,0.3114754098360651,0.8984816067032888,0.051446907140995125,305
2017,Sockeye,Lepeophtheirus salmonis,Attached,0.154026390430386,0.2504745969788306,0.020249670977994762,153
