sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
SLC4625,sealice_microbiome,mot_cal,U4225,NA,UBC_Suttle,AV,NA
SLC4638,sealice_microbiome,mot_cal,U4238,NA,UBC_Suttle,AV,NA
SLC4644,sealice_microbiome,mot_cal,U4244,NA,UBC_Suttle,AV,NA
SLC4646,sealice_microbiome,mot_cal,U4246,NA,UBC_Suttle,AV,NA
SLC4651,sealice_microbiome,mot_cal,U4251,NA,UBC_Suttle,AV,NA
SLC4652,sealice_microbiome,mot_cal,U4252,NA,UBC_Suttle,AV,NA
SLC4654,sealice_microbiome,mot_cal,U4254,NA,UBC_Suttle,AV,NA
SLC4656,sealice_microbiome,mot_cal,U4256,NA,UBC_Suttle,AV,NA
SLC4657,sealice_microbiome,mot_cal,U4257,NA,UBC_Suttle,AV,NA
SLC4660,sealice_microbiome,mot_cal,U4260,NA,UBC_Suttle,AV,NA
SLC4667,sealice_microbiome,mot_cal,U4267,NA,UBC_Suttle,AV,NA
SLC4680,sealice_microbiome,mot_cal,U4280,NA,UBC_Suttle,AV,NA
SLC4605,sealice_microbiome,mot_cal,U4205,NA,UBC_Suttle,AV,NA
SLC4606,sealice_microbiome,mot_cal,U4206,NA,UBC_Suttle,AV,NA
SLC4608,sealice_microbiome,mot_cal,U4208,NA,UBC_Suttle,AV,NA
SLC4672,sealice_microbiome,mot_cal,U4272,NA,UBC_Suttle,AV,NA
SLC4700,sealice_microbiome,mot_cal,U4300,NA,UBC_Suttle,AV,NA
SLC4690,sealice_microbiome,mot_cal,U4290,NA,UBC_Suttle,AV,NA
SLC4692,sealice_microbiome,mot_cal,U4292,NA,UBC_Suttle,AV,NA
SLC4577,sealice_microbiome,mot_cal,U4177,NA,UBC_Suttle,AV,NA
SLC4707,sealice_microbiome,mot_cal,U4307,NA,UBC_Suttle,AV,NA
SLC4708,sealice_microbiome,mot_cal,U4308,NA,UBC_Suttle,AV,NA
SLC4584,sealice_microbiome,mot_cal,U4184,NA,UBC_Suttle,AV,NA
SLC4586,sealice_microbiome,mot_cal,U4186,NA,UBC_Suttle,AV,NA
SLC4710,sealice_microbiome,mot_cal,U4310,NA,UBC_Suttle,AV,NA
SLC4589,sealice_microbiome,mot_cal,U4189,NA,UBC_Suttle,AV,NA
SLC4711,sealice_microbiome,mot_cal,U4311,NA,UBC_Suttle,AV,NA
SLC4595,sealice_microbiome,mot_cal,U4195,NA,UBC_Suttle,AV,NA
SLC4714,sealice_microbiome,mot_cal,U4314,NA,UBC_Suttle,AV,NA
SLC4597,sealice_microbiome,mot_cal,U4197,NA,UBC_Suttle,AV,NA
SLC4716,sealice_microbiome,mot_cal,U4316,NA,UBC_Suttle,AV,NA
SLC4613,sealice_microbiome,mot_cal,U4213,NA,UBC_Suttle,AV,NA
SLC4631,sealice_microbiome,mot_cal,U4231,NA,UBC_Suttle,AV,NA
SLC4748,sealice_microbiome,mot_cal,U4348,NA,UBC_Suttle,AV,NA
SLC4751,sealice_microbiome,mot_cal,U4351,NA,UBC_Suttle,AV,NA
SLC4615,sealice_microbiome,mot_cal,U4215,NA,UBC_Suttle,AV,NA
SLC4753,sealice_microbiome,mot_cal,U4353,NA,UBC_Suttle,AV,NA
SLC4720,sealice_microbiome,mot_cal,U4320,NA,UBC_Suttle,AV,NA
SLC4721,sealice_microbiome,mot_cal,U4321,NA,UBC_Suttle,AV,NA
SLC4725,sealice_microbiome,mot_cal,U4325,NA,UBC_Suttle,AV,NA
SLC4733,sealice_microbiome,mot_cal,U4333,NA,UBC_Suttle,AV,NA
SLC4763,sealice_microbiome,mot_cal,U4363,NA,UBC_Suttle,AV,NA
SLC4637,sealice_microbiome,mot_cal,U4237,NA,UBC_Suttle,AV,NA
SLC4769,sealice_microbiome,mot_cal,U4369,NA,UBC_Suttle,AV,NA
SLC4741,sealice_microbiome,mot_cal,U4341,NA,UBC_Suttle,AV,NA
SLC5404,sealice_microbiome,mot_cal,U4904,NA,UBC_Suttle,SVC,Cannot be verified. Transcribed duplicate location BLC2-10
SLC4426,sealice_microbiome,mot_cal,U4026,NA,UBC_Suttle,SVC,Cannot be verified. Transcribed duplicate location BLC2-10
SLC4790,sealice_microbiome,mot_cal,U4390,NA,UBC_Suttle,AV,NA
SLC4794,sealice_microbiome,mot_cal,U4394,NA,UBC_Suttle,AV,NA
