sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S01IS1,isotope,bulk,U01,NA,UBC_Hunt,AV,NA
S02IS1,isotope,bulk,U02,NA,UBC_Hunt,AV,NA
S03IS1,isotope,bulk,U03,NA,UBC_Hunt,AV,NA
S04IS1,isotope,bulk,U04,NA,UBC_Hunt,AV,NA
S05IS1,isotope,bulk,U05,NA,UBC_Hunt,AV,NA
S07IS1,isotope,bulk,U07,NA,UBC_Hunt,AV,NA
S08IS1,isotope,bulk,U08,NA,UBC_Hunt,AV,NA
S09IS1,isotope,bulk,U09,NA,UBC_Hunt,AV,NA
S10IS1,isotope,bulk,U10,NA,UBC_Hunt,AV,NA
S11IS1,isotope,bulk,U11,NA,UBC_Hunt,AV,NA
S12IS1,isotope,bulk,U12,NA,UBC_Hunt,AV,NA
S13IS1,isotope,bulk,U13,NA,UBC_Hunt,AV,NA
S14IS1,isotope,bulk,U14,NA,UBC_Hunt,AV,NA
S15IS1,isotope,bulk,U15,NA,UBC_Hunt,AV,NA
S16IS1,isotope,bulk,U16,NA,UBC_Hunt,AV,NA
S17IS1,isotope,bulk,U17,NA,UBC_Hunt,AV,NA
S18IS1,isotope,bulk,U18,NA,UBC_Hunt,AV,NA
S19IS1,isotope,bulk,U19,NA,UBC_Hunt,AV,NA
S20IS1,isotope,bulk,U20,NA,UBC_Hunt,AV,NA
S21IS1,isotope,bulk,U21,NA,UBC_Hunt,AV,NA
S22IS1,isotope,bulk,U22,NA,UBC_Hunt,AV,NA
S23IS1,isotope,bulk,U23,NA,UBC_Hunt,AV,NA
S24IS1,isotope,bulk,U24,NA,UBC_Hunt,AV,NA
S25IS1,isotope,bulk,U25,NA,UBC_Hunt,AV,NA
S26IS1,isotope,bulk,U26,NA,UBC_Hunt,AV,NA
S27IS1,isotope,bulk,U27,NA,UBC_Hunt,AV,NA
S28IS1,isotope,bulk,U28,NA,UBC_Hunt,AV,NA
S29IS1,isotope,bulk,U29,NA,UBC_Hunt,AV,NA
S30IS1,isotope,bulk,U30,NA,UBC_Hunt,AV,NA
S31IS1,isotope,bulk,U31,NA,UBC_Hunt,AV,NA
S32IS1,isotope,bulk,U32,NA,UBC_Hunt,AV,NA
S33IS1,isotope,bulk,U33,NA,UBC_Hunt,AV,NA
S34IS1,isotope,bulk,U34,NA,UBC_Hunt,AV,NA
S35IS1,isotope,bulk,U35,NA,UBC_Hunt,AV,NA
S36IS1,isotope,bulk,U36,NA,UBC_Hunt,AV,NA
S37IS1,isotope,bulk,U37,NA,UBC_Hunt,AV,NA
S38IS1,isotope,bulk,U38,NA,UBC_Hunt,AV,NA
S40IS1,isotope,bulk,U40,NA,UBC_Hunt,AV,NA
S41IS1,isotope,bulk,U41,NA,UBC_Hunt,AV,NA
