survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
2015-05-12T00:00:00Z,D01,NA,NA,15B102233,1,2015-05-12 13:40:00 PDT,"Location: lat 49 57.681' N Lon 124 44.911' W. This sample may be no good altogether because we had errors with our flow meter. It seems it didn't turn enough times compared to when we used it the next day (only turned 700 times, whereas on Wednesday it turned a couple thousand times). The sample was still processed in the lab.
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",13.9,13.2,26.9,26.9
2015-05-13T00:00:00Z,D02,NA,NA,15B102233,1,2015-05-13 11:49:00 PDT,"Lat 50 4.741N Lon 124 51.057W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",14.6,14.6,26.1,26.1
2015-05-15T00:00:00Z,D02,50.080506,-124.852219,15B102233,1,2015-05-15 12:21:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,15.2,14.9,25.7,25.8
2015-05-17T00:00:00Z,D02,NA,NA,15B102233,1,2015-05-17 11:00:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,16,15.8,26.2,26.3
2015-05-31T00:00:00Z,D02,NA,NA,15B102233,1,2015-05-31 09:47:00 PDT,YSI time estimated 15 min after time of set (no fish caught) (no data recorded). Added 2018-07-18 JG,18,17.7,23.7,24
2015-05-15T00:00:00Z,D03,NA,NA,15B102233,1,2015-05-15 15:28:00 PDT,"Device location did not work on site. The site location for this sample is: 50*07.105N 125*04.507W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",15.3,14.5,27,27.2
2015-05-18T00:00:00Z,D03,50.114208,-125.078328,15B102233,1,2015-05-18 09:30:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,14.9,14.8,27.1,27.1
2015-05-21T00:00:00Z,D03,50.136943,-125.116789,15B102233,1,2015-05-21 11:45:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,16.1,15.9,25.9,25.1
2015-05-14T00:00:00Z,D04,NA,NA,15B102233,1,2015-05-04 09:38:00 PDT,"Location: lat: 49 59.949N Lon: 125 08.369W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",13.5,13.5,27.1,27.2
2015-06-19T00:00:00Z,D04,50.003478,-125.138713,15B102233,1,2015-06-19 07:42:00 PDT,Secchi 4.0,14,14,26.4,26.7
2016-05-10T00:00:00Z,D04,NA,NA,15B102233,1,2016-05-10 06:53:15 PDT,NA,11.4,11.4,27.6,27.6
2016-05-13T00:00:00Z,D04,NA,NA,15B102233,1,2016-05-13 15:34:37 PDT,NA,14.4,13.9,27.4,27.3
2016-05-18T00:00:00Z,D04,NA,NA,15B102233,1,2016-05-18 13:30:00 PDT,NA,15.1,15.1,25.4,25.5
2016-06-09T00:00:00Z,D04,NA,NA,15B102233,1,2016-06-09 13:24:00 PDT,NA,15.1,15.1,26.1,26.1
2016-06-11T00:00:00Z,D04,49.996406,-125.147189,15B102233,1,2016-06-11 09:40:00 PDT,NA,16.4,16.4,25.5,25.5
2016-06-24T00:00:00Z,D04,NA,NA,15B102233,1,2016-06-24 12:03:00 PDT,Added 2018-07-19 JG,17.3,16.9,23.6,24
