sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S01DN1,DNA,liver,U01,NA,NA,AV,NA
S02DN1,DNA,liver,U02,NA,NA,AV,NA
S03DN1,DNA,liver,U03,NA,NA,AV,NA
S04DN1,DNA,liver,U04,NA,NA,AV,NA
S05DN1,DNA,liver,U05,NA,NA,AV,NA
SDN17,DNA,liver,U07,NA,PBS,AV,NA
S08DN1,DNA,liver,U08,NA,NA,AV,NA
S09DN1,DNA,liver,U09,NA,NA,AV,NA
SDN20,DNA,liver,U10,NA,PBS,AV,NA
SDN120,DNA,liver,U100,NA,PBS,AV,NA
SDN955,DNA,liver,U1000,NA,PBS,AV,NA
SDN938,DNA,liver,U1001,NA,PBS,AV,NA
SDN939,DNA,liver,U1002,NA,PBS,AV,NA
SDN940,DNA,liver,U1003,NA,PBS,AV,NA
S10031DN1,DNA,liver,U10031,NA,NA,AV,NA
S10032DN1,DNA,liver,U10032,NA,NA,AV,NA
S10033DN1,DNA,liver,U10033,NA,NA,AV,NA
S10034DN1,DNA,liver,U10034,NA,NA,AV,NA
SDN941,DNA,liver,U1004,NA,PBS,AV,NA
S10041DN1,DNA,liver,U10041,NA,NA,AV,NA
S10042DN1,DNA,liver,U10042,NA,NA,AV,NA
S10043DN1,DNA,liver,U10043,NA,NA,AV,NA
S10044DN1,DNA,liver,U10044,NA,NA,AV,NA
SDN942,DNA,liver,U1005,NA,PBS,AV,NA
SDN943,DNA,liver,U1006,NA,PBS,AV,NA
SDN956,DNA,liver,U1007,NA,PBS,AV,NA
SDN957,DNA,liver,U1008,NA,PBS,AV,NA
SDN958,DNA,liver,U1009,NA,PBS,AV,NA
S101DN1,DNA,liver,U101,NA,NA,AV,NA
SDN959,DNA,liver,U1010,NA,PBS,AV,NA
SDN944,DNA,liver,U1011,NA,PBS,AV,NA
S10111DN1,DNA,liver,U10111,NA,NA,AV,NA
S10112DN1,DNA,liver,U10112,NA,NA,AV,NA
SDN945,DNA,liver,U1012,NA,PBS,AV,NA
